eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
-10,-10,case_weighted,185,4,0.6959292706082004,0.8107666100954843,1.9273172190542043,73.8042727565996,77.21145294097869,21.445670225656443,17.097798031795918,0.7409623474574895,17.015602313172746,28.78918918918919,73.8042727565996,77.21145294097869,21.445670225656443,17.097798031795918,0.3504273504273504,0.0,0.1752136752136752
-10,-5,case_weighted,185,4,0.760451523222549,0.8682134659318025,1.8663331311380913,75.46567089543629,78.06677618564713,21.19657142202297,16.17457222857588,0.7113187562158336,15.706301368805667,26.854054054054053,75.46567089543629,78.06677618564713,21.19657142202297,16.17457222857588,0.41025641025641024,0.0,0.20512820512820512
-10,0,case_weighted,185,4,0.8048104734975756,0.913786918400286,1.7721148295969467,72.78826388701088,71.55833116400932,20.270191320326006,15.563547578683512,0.7067393604051545,15.543370827315332,27.35135135135135,72.78826388701088,71.55833116400932,20.270191320326006,15.563547578683512,0.38461538461538464,0.0,0.19230769230769232
-10,5,case_weighted,185,4,0.8359726361777483,0.937896258638973,1.6191080571929677,65.20851086217974,64.16745039696801,19.295083522231973,13.012694593595342,0.6369002918158106,12.483109313825322,26.054054054054053,65.20851086217974,64.16745039696801,19.295083522231973,13.012694593595342,0.5042735042735043,0.0,0.25213675213675213
-10,10,case_weighted,185,4,0.8764054022906321,0.9682149186447977,1.2314528501006101,38.766747332310814,39.87508064834846,15.69892448179214,10.736529438048803,0.4997448438437931,10.736529444196654,23.8,38.766747332310814,39.87508064834846,15.69892448179214,10.736529438048803,0.5555555555555556,0.3382352941176471,0.44689542483660133
-10,15,case_weighted,185,4,0.8869680102718527,0.9680691294674126,1.0179556028107457,11.24660015457109,16.796280493400012,13.131553301657162,9.497102525329643,0.455378143731285,9.497102525329643,24.21081081081081,11.24660015457109,16.796280493400012,13.131553301657162,9.497102525329643,0.5811965811965812,0.8823529411764706,0.731774761186526
-10,20,case_weighted,185,4,0.8939345760923753,0.9743473838529684,1.0240662827608396,10.011776923347625,14.281291913485184,13.121578691052829,9.123231294209786,0.4818120002336048,9.123231294209786,25.405405405405407,10.011776923347625,14.281291913485184,13.121578691052829,9.123231294209786,0.6239316239316239,0.9117647058823529,0.7678481649069884
-5,-10,case_weighted,185,4,0.7236175872634388,0.8358485167762932,1.8903219363453003,74.63690554700757,77.61928869971055,21.594295390498658,19.544756868206562,0.748614010975908,19.859212330673095,30.194594594594594,74.63690554700757,77.61928869971055,21.594295390498658,19.544756868206562,0.27350427350427353,0.0,0.13675213675213677
-5,-5,case_weighted,185,4,0.7838081195211537,0.9002864201890327,1.8100123822735792,74.3230030320746,77.46020867735572,21.17780887720823,18.47397341620762,0.7431324528098256,18.563832368784862,28.086486486486486,74.3230030320746,77.46020867735572,21.17780887720823,18.47397341620762,0.3076923076923077,0.0,0.15384615384615385
-5,0,case_weighted,185,4,0.8329125732142953,0.9364240539089349,1.704683481635872,70.44583188031709,73.79003608977436,20.046152228080867,14.717610061478386,0.7195074875840958,14.266246733636226,27.52972972972973,70.44583188031709,73.79003608977436,20.046152228080867,14.717610061478386,0.4017094017094017,0.0,0.20085470085470086
