eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_score,deep_peak_distance_mm,active_count,deep_sensitivity,deep_specificity,deep_balanced_accuracy
-10,-10,scenario_macro,185,4,0.6863849913487431,0.8346019254498238,1.9303292502955944,70.3839822144382,74.11233336049439,21.386203081610933,16.38507341114077,70.3839822144382,74.11233336049439,21.386203081610933,16.38507341114077,0.7352698164210539,16.340973891473013,28.579411764705885,0.3588235294117647,0.0,0.17941176470588235
-10,-5,scenario_macro,185,4,0.7323359079324578,0.8793269262831587,1.850953788464235,72.03748453961292,75.22766780957045,20.860382611833916,15.666344232274307,72.03748453961292,75.22766780957045,20.860382611833916,15.666344232274307,0.7419095430799202,15.26785840377437,26.83970588235294,0.44248366013071894,0.0,0.22124183006535947
-10,0,scenario_macro,185,4,0.7940477533265979,0.9226228162096876,1.7363275047001878,69.30224407276299,69.29529900789029,18.904107409808983,14.058249909487268,69.30224407276299,69.29529900789029,18.904107409808983,14.058249909487268,0.7306144102118698,14.046677949122392,26.281372549019608,0.46503267973856205,0.0,0.23251633986928102
-10,5,scenario_macro,185,4,0.8263467866372566,0.9463129084401308,1.599149784378961,63.259969884106646,62.6617442542266,17.957926770401354,11.947823497616127,63.259969884106646,62.6617442542266,17.957926770401354,11.947823497616127,0.7109717774843411,11.53447958577,24.93921568627451,0.545751633986928,0.0,0.272875816993464
-10,10,scenario_macro,185,4,0.8616663792047344,0.9719240177793638,1.2370800776628055,37.34593053135479,38.79766888764534,14.674453055255464,10.527445074986781,37.34593053135479,38.79766888764534,14.674453055255464,10.527445074986781,0.6042098168893908,10.527445082038726,22.186519607843138,0.5777777777777778,0.3382352941176471,0.45800653594771246
-10,15,scenario_macro,185,4,0.8778702023952976,0.9728555895669045,1.0381841158296756,11.36643819982855,17.626546840642426,12.984925395709555,9.162285161708963,11.36643819982855,17.626546840642426,12.984925395709555,9.162285161708963,0.575379977703549,9.162285161708963,22.50612745098039,0.5973856209150327,0.8823529411764706,0.7398692810457517
-10,20,scenario_macro,185,4,0.8816231183324621,0.9771854404247856,1.05191795600729,10.306100024930837,15.502277944970187,12.997511626607226,8.958789807575954,10.306100024930837,15.502277944970187,12.997511626607226,8.958789807575954,0.6021587838306348,8.958789807575954,24.78627450980392,0.6241830065359477,0.9117647058823529,0.7679738562091503
-5,-10,scenario_macro,185,4,0.7133962081317294,0.8569964849999717,1.884398156591277,71.10280534099071,74.36158445325003,21.130624743037217,18.95372958659881,71.10280534099071,74.36158445325003,21.130624743037217,18.95372958659881,0.7736373154316377,19.28146006634506,30.491911764705883,0.33692810457516337,0.0,0.16846405228758168
-5,-5,scenario_macro,185,4,0.7723598519008603,0.9082779563436791,1.7810464643206179,70.70879516662585,74.26066039081587,20.255443856314873,16.544685009757,70.70879516662585,74.26066039081587,20.255443856314873,16.544685009757,0.775291621769854,16.62777611738581,27.759313725490195,0.3986928104575163,0.0,0.19934640522875816
-5,0,scenario_macro,185,4,0.8182981130576239,0.9423139826808351,1.6670448425843785,67.37247726895725,70.84259015503523,18.527847018264325,13.439298955920856,67.37247726895725,70.84259015503523,18.527847018264325,13.439298955920856,0.7718849743191278,13.205851808202851,26.767892156862743,0.46993464052287587,0.0,0.23496732026143793
-5,5,scenario_macro,185,4,0.8500833425927252,0.960813936363318,1.4997550032238551,57.87304495600129,56.40550262690497,16.705450711403575,11.253794330822274,57.87304495600129,56.40550262690497,16.705450711403575,11.253794330822274,0.7438817309077311,11.253794330822274,25.62156862745098,0.5555555555555555,0.014705882352941176,0.2851307189542483
-5,10,scenario_macro,185,4,0.8745990640771784,0.9778443432542435,1.1679166163768802,27.60078903370668,29.265687874670736,14.024185239048181,9.714818900103575,27.60078903370668,29.265687874670736,14.024185239048181,9.714818900103575,0.6413797010959675,9.714818900103575,22.66470588235294,0.6218954248366013,0.3088235294117647,0.465359477124183
-5,15,scenario_macro,185,4,0.8860339438401419,0.9812130840118071,0.9969664926700992,8.713384099361038,14.506278229253715,12.276703647849738,9.042313807638912,8.713384099361038,14.506278229253715,12.276703647849738,9.042313807638912,0.5906142423077678,9.042313807638912,23.25906862745098,0.626797385620915,0.8235294117647058,0.7251633986928104
-5,20,scenario_macro,185,4,0.8903694247156133,0.9784500803676237,1.044096606936762,9.237426903293475,15.136292288527713,13.180938607134417,9.12312287049241,9.237426903293475,15.136292288527713,14.268258289265745,10.22797140996716,0.5650096675176219,9.12312287049241,23.721813725490197,0.5826797385620915,0.9558823529411765,0.769281045751634
0,-10,scenario_macro,185,4,0.772338716287164,0.9046243627205499,1.8084749847565675,70.78762827177,75.0783899549743,20.259000428415792,18.060125879014617,70.78762827177,75.0783899549743,20.259000428415792,18.060125879014617,0.7324702337240501,17.974663597641225,28.755147058823532,0.36666666666666664,0.0,0.18333333333333332
0,-5,scenario_macro,185,4,0.8070260131678775,0.930556509893594,1.7070354743659621,68.20802632222363,72.0331377874617,19.800305190466627,17.219630141831036,68.20802632222363,72.0331377874617,19.800305190466627,17.219630141831036,0.7668614886489296,17.19059293137433,29.28872549019608,0.38398692810457513,0.0,0.19199346405228757
0,0,scenario_macro,185,4,0.8390485139371024,0.9570430888105091,1.59056852677175,63.51414074820076,66.65374221993683,18.421436365385407,15.164092383839588,63.51414074820076,66.65374221993683,18.421436365385407,15.164092383839588,0.7809051431634992,15.162363154200179,27.04044117647059,0.43300653594771243,0.0,0.21650326797385622
0,5,scenario_macro,185,4,0.8624853752583963,0.9724387847933762,1.4095850543361899,55.820957844765566,56.22162333027177,16.040934837355714,11.350504316593188,55.820957844765566,56.22162333027177,16.040934837355714,11.350504316593188,0.7402424588663558,11.128282086647227,25.099999999999998,0.5826797385620915,0.029411764705882353,0.30604575163398695
0,10,scenario_macro,185,4,0.8848798234471241,0.9795752727239361,1.0961284944919005,23.824444353391446,25.19694352150981,13.628906089612611,9.081999763086047,23.824444353391446,25.19694352150981,13.628906089612611,9.081999763086047,0.6683751245772973,9.003296266429574,24.682843137254903,0.6562091503267974,0.3088235294117647,0.48251633986928105
0,15,scenario_macro,185,4,0.8775364229471554,0.9842614234792268,0.9790939278742732,7.907109657742839,15.153938112482217,12.604226206309542,9.94146206265185,7.907109657742839,15.153938112482217,13.692907386501943,11.039861024957597,0.5784176079638494,9.94146206265185,22.68455882352941,0.5777777777777778,0.8382352941176471,0.7080065359477125
0,20,scenario_macro,185,4,0.8848861057629823,0.9833266383224412,1.0062724307766617,7.976277938639243,13.86797083964965,12.805411862982856,9.174411478789967,7.976277938639243,13.86797083964965,12.805411862982856,9.174411478789967,0.5797858794595918,9.174411478789967,23.40122549019608,0.5973856209150327,0.9558823529411765,0.7766339869281046
5,-10,scenario_macro,185,4,0.8004800266793204,0.9324828678026346,1.710512945224382,70.32516391638494,75.28187824483418,19.910864333647833,16.848938994691494,70.32516391638494,75.28187824483418,19.910864333647833,16.848938994691494,0.6751028826506855,16.722255891117154,31.05220588235294,0.3738562091503268,0.0,0.1869281045751634
5,-5,scenario_macro,185,4,0.8266625590734435,0.9491901519560262,1.6115682971103706,65.80499548052049,67.80665462069317,18.299372119516672,14.448782182760832,65.80499548052049,67.80665462069317,18.299372119516672,14.448782182760832,0.7195558922888887,14.32440378353528,27.927205882352943,0.5215686274509804,0.0,0.2607843137254902
5,0,scenario_macro,185,4,0.8463457875350188,0.9625239498874821,1.5148088307055811,60.66614631184285,63.9141544154351,17.808315631887307,15.074565274131624,60.66614631184285,63.9141544154351,17.808315631887307,15.074565274131624,0.7808347819797298,15.041272582637697,29.054901960784314,0.4748366013071896,0.0,0.2374183006535948
5,5,scenario_macro,185,4,0.8700148968878465,0.9740558488404969,1.2974472925735463,47.623403350425995,48.395652879835104,15.267153514863464,11.658984541897405,47.623403350425995,48.395652879835104,15.267153514863464,11.658984541897405,0.7610883142687805,11.504607168922867,28.208823529411767,0.5408496732026143,0.04411764705882353,0.2924836601307189
5,10,scenario_macro,185,4,0.8950764066755622,0.9858456852576503,1.022695562818136,19.999661672818952,27.75512166290129,12.668840728478758,8.663343580679978,19.999661672818952,27.75512166290129,12.668840728478758,8.663343580679978,0.6691113791069838,8.663343580679978,26.072794117647057,0.6882352941176472,0.45588235294117646,0.5720588235294118
5,15,scenario_macro,185,4,0.8933427467397715,0.9881449215631053,0.957280997595892,7.806847118127692,14.503616859837473,12.198332708328268,8.918102000373482,7.806847118127692,14.503616859837473,12.198332708328268,8.918102000373482,0.5849275436911572,8.918102000373482,25.808578431372545,0.6169934640522876,0.8529411764705882,0.734967320261438
5,20,scenario_macro,185,4,0.9018671839411341,0.9855246366454647,0.9865178920443086,7.384311915398804,13.284843356465586,12.316874956781872,8.379986055511344,7.384311915398804,13.284843356465586,12.316874956781872,8.379986055511344,0.5783609418644327,8.379986055511344,24.422794117647058,0.6490196078431373,0.9264705882352942,0.7877450980392158
10,-10,scenario_macro,185,4,0.8451912302549254,0.964073890958258,1.546222787686621,60.81160496798966,67.40349648713168,17.315051754352975,12.75767574177317,60.81160496798966,67.40349648713168,18.360576565584,13.825541746122438,0.6266708631810421,12.737068099905756,30.72524509803921,0.5212418300653594,0.10294117647058823,0.3120915032679738
10,-5,scenario_macro,185,4,0.8535545696636074,0.9685913119741623,1.447637078985249,56.57545758491697,60.0191696433781,16.50078335258539,12.96641601261013,56.57545758491697,60.0191696433781,16.50078335258539,12.96641601261013,0.6879315810676321,13.102645732243161,30.96764705882353,0.538562091503268,0.11764705882352941,0.3281045751633987
10,0,scenario_macro,185,4,0.8703722793840462,0.975061459275578,1.3181983449601038,47.449689592566244,49.493063586437664,15.964317062043525,12.140450600937898,47.449689592566244,49.493063586437664,17.024993219507763,13.22265561208624,0.7291494207337413,12.038952923676467,28.7828431372549,0.5016339869281046,0.08823529411764706,0.2949346405228758
