eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
-10,-10,case_weighted,186,4,0.8333228521729521,0.9539325513724857,0.8505650663047651,5.078860916160946,8.105723666285252,17.013831400772286,15.665805916025297,0.15276222174342718,15.665805916025297,38.97849462365591,5.078860916160946,8.105723666285252,17.013831400772286,15.665805916025297,0.22033898305084745,0.9852941176470589,0.6028165503489532
-10,-5,case_weighted,186,4,0.8422153011715167,0.9533971964670186,0.8321180504908848,3.898146569776617,7.1492372548258585,14.242196426314734,13.587385335619821,0.21987935504914133,13.587385335619821,44.12903225806452,3.898146569776617,7.1492372548258585,14.242196426314734,13.587385335619821,0.3474576271186441,0.9852941176470589,0.6663758723828515
-10,0,case_weighted,186,4,0.8503679340467265,0.9533688259798503,0.8544530831246676,3.69769605650758,7.872198671082452,13.87257488748137,13.999620321074376,0.23047571240249654,13.999620321074376,50.60215053763441,3.69769605650758,7.872198671082452,13.87257488748137,13.999620321074376,0.3983050847457627,0.9852941176470589,0.6917996011964108
-10,5,case_weighted,186,4,0.8639383404829728,0.9523812221349992,0.8603254740193073,4.393682903628567,7.397519337990619,10.06193285885051,9.765450094957941,0.3055421449410528,9.765450094957941,51.76881720430107,4.393682903628567,7.397519337990619,10.06193285885051,9.765450094957941,0.5423728813559322,0.9852941176470589,0.7638334995014955
-10,10,case_weighted,186,4,0.8761602217873852,0.9508004049203252,0.8644516983843245,4.385657213808568,7.998030267852355,7.6167034387289405,6.964875999424818,0.35721866298902505,6.964875999424818,52.12903225806452,4.385657213808568,7.998030267852355,7.6167034387289405,6.964875999424818,0.6694915254237288,0.9411764705882353,0.805333998005982
-10,15,case_weighted,186,4,0.9019985786656443,0.9568935805215618,0.8305403037261607,4.584259463353944,8.663455463066153,4.024225190346033,3.938794490279282,0.41043936044385926,3.938794490279282,48.865591397849464,4.584259463353944,8.663455463066153,4.024225190346033,3.938794490279282,0.847457627118644,0.9411764705882353,0.8943170488534397
-10,20,case_weighted,186,4,0.9225411073768952,0.9555682574725917,0.8478219000301072,4.418304225315035,7.686517023997762,2.236028972552677,2.0285983580864744,0.4560739063744929,2.0285983580864744,55.22043010752688,4.418304225315035,7.686517023997762,2.236028972552677,2.0285983580864744,0.8983050847457628,0.9411764705882353,0.919740777666999
-5,-10,case_weighted,186,4,0.862634800913926,0.9672901248956814,0.7578362279367493,3.172509103368811,7.430464331404886,13.73829523097862,13.216574154570237,0.24252875129763243,13.216574154570237,33.365591397849464,3.172509103368811,7.430464331404886,13.73829523097862,13.216574154570237,0.3898305084745763,1.0,0.6949152542372882
-5,-5,case_weighted,186,4,0.8726031887236616,0.9645359404918171,0.7703961038439612,2.8524044791605245,7.373588478710232,11.41873279200759,10.767803547072262,0.275554644422447,10.767803547072262,36.81182795698925,2.8524044791605245,7.373588478710232,11.41873279200759,10.767803547072262,0.4830508474576271,1.0,0.7415254237288136
-5,0,case_weighted,186,4,0.8714239571638364,0.9616600707570676,0.7865861652863134,3.401764564166659,7.208163476823866,9.967887143915686,9.616233131740245,0.2873990956613546,9.616233131740245,50.81720430107527,3.401764564166659,7.208163476823866,9.967887143915686,9.616233131740245,0.5423728813559322,1.0,0.771186440677966
-5,5,case_weighted,186,4,0.8815562104839018,0.9574539622461868,0.8075250994204005,3.319767054542618,7.290731417884915,7.9547741852765785,7.870416921579798,0.34532292362728634,7.870416921579798,44.88172043010753,3.319767054542618,7.290731417884915,7.9547741852765785,7.870416921579798,0.6610169491525424,1.0,0.8305084745762712
-5,10,case_weighted,186,4,0.8944181361903959,0.9578035492819044,0.7896557319489912,3.8137798696823397,7.597940367399927,5.9409333009312455,5.932927936008983,0.3821952680094918,5.932927936008983,50.88709677419355,3.8137798696823397,7.597940367399927,5.9409333009312455,5.932927936008983,0.7372881355932204,0.9852941176470589,0.8612911266201396
-5,15,case_weighted,186,4,0.8912160489328982,0.9513386900109911,0.8542704892458526,3.7266182074021184,8.081783346206135,5.081928242352829,4.392028478884844,0.4081421483091154,4.392028478884844,49.82258064516129,3.7266182074021184,8.081783346206135,5.081928242352829,4.392028478884844,0.8050847457627118,0.9264705882352942,0.8657776669990029
-5,20,case_weighted,186,4,0.9176038774539349,0.9555614069160879,0.8114886760852771,4.0838263947217515,8.073587018481078,3.0466052029671475,3.1143300269486405,0.4648745116310889,3.1143300269486405,51.32258064516129,4.0838263947217515,8.073587018481078,3.0466052029671475,3.1143300269486405,0.8898305084745762,0.9264705882352942,0.9081505483549352
0,-10,case_weighted,186,4,0.8871753056776526,0.9698914120274916,0.7426965081928463,2.6328837189002616,7.682953494857509,10.242121874858746,10.042353222707519,0.33138971960353725,10.042353222707519,38.10752688172043,2.6328837189002616,7.682953494857509,10.242121874858746,10.042353222707519,0.5423728813559322,1.0,0.771186440677966
0,-5,case_weighted,186,4,0.9123415099238494,0.9764631623979625,0.6840486562927601,2.666998137916017,6.893803117393552,8.440978738028981,7.745619625905637,0.35501811936396166,7.745619625905637,38.403225806451616,2.666998137916017,6.893803117393552,8.440978738028981,7.745619625905637,0.652542372881356,1.0,0.826271186440678
0,0,case_weighted,186,4,0.9063521446681811,0.9725204176427517,0.7018405965693626,2.7780753970169028,6.646566895487949,7.858656510486944,7.99370039076549,0.33224495908609164,7.99370039076549,42.32795698924731,2.7780753970169028,6.646566895487949,7.858656510486944,7.99370039076549,0.6694915254237288,1.0,0.8347457627118644
0,5,case_weighted,186,4,0.9108368607949193,0.9654875168900051,0.7266585941392922,3.4310550721809037,7.018460126074374,6.429982348682831,6.428362444833282,0.36275324551794974,6.428362444833282,39.82258064516129,3.4310550721809037,7.018460126074374,6.429982348682831,6.428362444833282,0.711864406779661,1.0,0.8559322033898304
0,10,case_weighted,186,4,0.9149132862698625,0.967282477842466,0.7518999960241606,4.243072651117756,8.04746192520827,5.433775705481311,5.249413351092403,0.3937673183226019,5.249413351092403,49.68817204301075,4.243072651117756,8.04746192520827,5.433775705481311,5.249413351092403,0.788135593220339,0.9558823529411765,0.8720089730807578
0,15,case_weighted,186,4,0.9220794422108912,0.9614330614493983,0.7564607749880877,3.6229466635381846,7.774055188308347,3.525332795074297,3.452196326252124,0.4271863193325024,3.452196326252124,53.026881720430104,3.6229466635381846,7.774055188308347,3.525332795074297,3.452196326252124,0.8389830508474576,0.9558823529411765,0.8974327018943171
