case_id,method,auc,auc_tie_corrected,rmse,surface_sd_mm,deep_sd_mm,surface_dle_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count
strict-blind-03124-deep_plus_two_surface-eeg+00-meg+00,OASTER V19,0.9835503231763619,0.9906925203954906,0.5370428738204296,0.0,0.0,4.0387766896727,0.0,1,0.7930083364754295,0.0,1,0,8
strict-blind-03124-deep_plus_two_surface-eeg+00-meg+00,SISSES,0.9551708217913203,0.9321030855684321,1.8217571893071487,45.51697003746609,20.786641148731132,64.74336521608745,30.000001120084168,1,0.8673242187930658,30.000001120084168,0,0,23
strict-blind-03124-deep_plus_two_surface-eeg+00-meg+00,MNE,0.9096121883656508,0.8802309544883803,1.855720541297537,35.92205389008523,24.893701313061776,22.850502486810864,30.000001120084168,1,1.0,30.000001120084168,0,0,1282
strict-blind-03124-deep_plus_two_surface-eeg+00-meg+00,dSPM,0.8990027700831025,0.8712974208023714,1.871981707413679,30.793149085381028,19.212208792993675,15.175568996552753,10.000000188899337,1,0.3015152585268751,10.000000188899337,1,0,1989
strict-blind-03124-deep_plus_two_surface-eeg+00-meg+00,sLORETA,0.9328531855955678,0.8994222707093993,1.8591577892813738,38.27873708869224,20.41385674166735,36.74148248412412,30.000001120084168,1,0.7494469341336866,30.000001120084168,0,0,1812
strict-blind-03124-deep_plus_two_surface-eeg+00-meg+00,eLORETA,0.8979963065558634,0.8399614389713399,1.8627347176680977,39.21871105800947,20.637049590800533,6.487656473513891,30.000001120084168,1,0.44424055286525,30.000001120084168,0,0,2607
strict-blind-03124-deep_plus_two_surface-eeg+00-meg+00,LCMV,0.8858725761772854,0.7845694132822845,1.9473693444264843,39.345942021468915,16.149943141016443,36.588629596954,9.99999939935355,1,0.0,nan,0,0,2002
strict-blind-03124-deep_plus_two_surface-eeg+00-meg+00,Dipole fitting (grid),0.5086842105263157,0.5126901463535126,1.8918037831793733,24.968973566621198,nan,10.067443791018794,nan,1,0.0,nan,0,0,3
strict-blind-03124-deep_plus_two_surface-eeg+00-meg+00,RAP-MUSIC,0.5263157894736842,0.5384615384615384,1.6040944123788625,0.0,nan,6.487656473513891,nan,1,0.0,nan,0,0,3
