method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_score,deep_peak_distance_mm,active_count,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,scenario_macro,186,4,0.5478250917502444,0.5504151679133713,1.7327277960243181,9.436364458574786,18.598715025783562,3.749999873450805,3.749999873450805,9.436364458574786,18.598715025783562,195.64925985913962,195.64925985913962,0.125,3.749999873450805,1.2757352941176472,0.16666666666666666,1.0,0.5833333333333334
Dipole fitting (grid),-10,-5,scenario_macro,186,4,0.6039034416542932,0.6071012613637321,1.4883208781170472,8.371639422868071,11.856617722399548,5.714285945656643,5.714285945656643,8.371639422868071,11.856617722399548,165.08910562166105,165.08910562166105,0.22242647058823528,5.714285945656643,1.46875,0.2965686274509804,1.0,0.6482843137254902
Dipole fitting (grid),-10,0,scenario_macro,186,4,0.6230295860129865,0.6262107288986744,1.3607872450491914,7.338520214764611,11.774586522150193,3.958333120250753,3.958333120250754,7.338520214764611,11.774586522150193,153.09250918594938,153.09250918594938,0.25862605961157353,3.958333120250754,1.6011029411764706,0.34803921568627455,1.0,0.6740196078431373
Dipole fitting (grid),-10,5,scenario_macro,186,4,0.6409284067414136,0.6404277243258503,1.2865752136232316,8.126766501844871,10.775537392770227,2.4523408001283475,2.4523408001283475,8.126766501844871,10.775537392770227,145.91097715759577,145.91097715759577,0.27279142689145164,2.4523408001283475,1.7389705882352942,0.37254901960784315,1.0,0.6862745098039216
Dipole fitting (grid),-10,10,scenario_macro,186,4,0.6447916551117814,0.6401188679248523,1.2716430846274744,6.014097061144192,11.652754872099848,4.285714047093089,4.285714047093089,6.014097061144192,11.652754872099848,137.9583010781321,137.9583010781321,0.2963225516193703,4.285714047093089,1.838235294117647,0.41176470588235287,0.9852941176470589,0.6985294117647058
Dipole fitting (grid),-10,15,scenario_macro,186,4,0.6443938098644384,0.6404800651125159,1.2664264009851651,7.325774398509203,11.316304573258032,3.939393893116325,3.939393893116325,7.325774398509203,11.316304573258032,139.10550262021331,139.10550262021331,0.28454405090415413,3.939393893116325,1.9283088235294117,0.40686274509803927,1.0,0.7034313725490197
Dipole fitting (grid),-10,20,scenario_macro,186,4,0.6444993238640877,0.6408091317320959,1.2693025339210633,6.8972497977142275,11.475640656040419,3.939393750626902,3.939393750626902,6.8972497977142275,11.475640656040419,139.1055026107097,139.1055026107097,0.28747869569840606,3.939393750626902,1.9393382352941178,0.40686274509803927,1.0,0.7034313725490197
Dipole fitting (grid),-5,-10,scenario_macro,186,4,0.5723854128542571,0.575408811334007,1.6362761238860466,6.888282207416506,13.830924107097756,1.999999958825289,1.999999958825289,6.888282207416506,13.830924107097756,185.6897135443082,185.6897135443082,0.15625,1.999999958825289,1.3198529411764706,0.20833333333333334,1.0,0.6041666666666666
Dipole fitting (grid),-5,-5,scenario_macro,186,4,0.6360230057241671,0.6393839958873881,1.3653139916127677,5.73540992529469,9.319828866620767,4.999999699676777,4.999999699676777,5.73540992529469,9.319828866620767,154.92122598037648,154.92122598037648,0.2523648550686813,4.999999699676777,1.625,0.338235294117647,1.0,0.6691176470588235
Dipole fitting (grid),-5,0,scenario_macro,186,4,0.6406255184509967,0.6412287280705314,1.290854750815466,5.190763904620073,9.831333726639429,0.999999939935355,0.999999939935355,5.190763904620073,9.831333726639429,150.3324198655475,150.3324198655475,0.26605521106934504,0.999999939935355,1.65625,0.35784313725490197,1.0,0.678921568627451
Dipole fitting (grid),-5,5,scenario_macro,186,4,0.642553936117755,0.6415745914241044,1.2814164404977673,6.425519785184098,9.59366889986228,1.8967852619641492,1.8967852619641492,6.425519785184098,9.59366889986228,145.86195755128716,145.86195755128716,0.2754123016787576,1.8967852619641492,1.6930147058823528,0.37254901960784315,1.0,0.6862745098039216
Dipole fitting (grid),-5,10,scenario_macro,186,4,0.6451988307598,0.6415352985896318,1.2628951170031675,6.7544684334430976,10.575785520899617,2.471404436112601,2.471404436112601,6.7544684334430976,10.575785520899617,140.17496951642724,140.17496951642724,0.2821388887725911,2.471404436112601,1.9898897058823528,0.39705882352941174,1.0,0.6985294117647058
Dipole fitting (grid),-5,15,scenario_macro,186,4,0.6460485809287294,0.6405146528096785,1.266353879537459,6.443784252396938,10.318943687132178,3.84615376697171,3.84615376697171,6.443784252396938,10.318943687132178,136.81109955716553,136.81109955716553,0.2883585892814472,3.84615376697171,1.9742647058823528,0.4166666666666667,1.0,0.7083333333333334
Dipole fitting (grid),-5,20,scenario_macro,186,4,0.6433009587993495,0.6399700163547656,1.2723631099652186,7.114872336116601,12.50441561006465,2.9629628727209547,2.9629628727209547,7.114872336116601,12.50441561006465,139.10550261070966,139.10550261070966,0.2872969148038902,2.9629628727209547,1.9200367647058822,0.40686274509803916,1.0,0.7034313725490196
Dipole fitting (grid),0,-10,scenario_macro,186,4,0.6301564321561139,0.6320519181550972,1.3993345559566202,3.778548112233158,10.958920638015783,3.333333133117851,3.333333133117851,3.778548112233158,10.958920638015783,156.40424749615931,156.40424749615931,0.2461452539666368,3.333333133117851,1.401654411764706,0.3321078431372549,1.0,0.6660539215686274
Dipole fitting (grid),0,-5,scenario_macro,186,4,0.6316504880185263,0.6327969187449517,1.355007194825716,4.782454343129758,9.771534084092396,4.720178011958125,4.720178011958125,4.782454343129758,9.771534084092396,149.5118954641136,149.5118954641136,0.26882349200781774,4.720178011958125,1.5275735294117647,0.35784313725490197,1.0,0.678921568627451
Dipole fitting (grid),0,0,scenario_macro,186,4,0.6446723554271241,0.6430835012228686,1.2653261822521102,4.350478464515175,8.316274476913739,1.1111111720609435,1.1111111720609435,4.350478464515175,8.316274476913739,145.79263336688393,145.79263336688393,0.2750429928149199,1.1111111720609435,1.6332720588235294,0.37745098039215685,1.0,0.6887254901960784
Dipole fitting (grid),0,5,scenario_macro,186,4,0.6461229145488324,0.6428563457468827,1.2602923686354346,5.333306574638112,9.290159975187368,1.538461550988489,1.538461550988489,5.333306574638112,9.290159975187368,141.3018664639599,141.3018664639599,0.28535712516383405,1.538461550988489,1.754595588235294,0.39705882352941174,1.0,0.6985294117647058
Dipole fitting (grid),0,10,scenario_macro,186,4,0.6505090860255449,0.6433934277380101,1.238855013916687,4.8647840559921,9.467359115694682,0.6190291136173751,0.6190291136173751,4.8647840559921,9.467359115694682,136.63532571729453,136.63532571729453,0.2891284910764021,0.6190291136173751,1.9145220588235292,0.411764705882353,1.0,0.7058823529411765
Dipole fitting (grid),0,15,scenario_macro,186,4,0.6491402281359433,0.6416162029004921,1.2452487244683172,6.113853286112064,10.237025610307901,0.5128204820181309,0.5128204820181309,6.113853286112064,10.237025610307901,136.61502112595937,136.61502112595937,0.2932786058409192,0.5128204820181309,1.9917279411764708,0.4166666666666667,1.0,0.7083333333333334
Dipole fitting (grid),0,20,scenario_macro,186,4,0.6455040650279691,0.640492035729058,1.258012739697264,5.289795677353721,10.712598468267364,2.499999893702043,2.499999893702043,5.289795677353721,10.712598468267364,137.90928147710363,137.90928147710363,0.2895925939748946,2.499999893702043,1.8897058823529413,0.411764705882353,1.0,0.7058823529411765
Dipole fitting (grid),5,-10,scenario_macro,186,4,0.6442818943250127,0.6392502668252471,1.3126925604561235,4.675151607903689,10.200273744528843,1.0059223597778966,1.0059223597778966,4.675151607903689,10.200273744528843,140.07693030931623,140.07693030931623,0.2851281538860649,1.0059223597778966,1.5165441176470589,0.39705882352941174,0.9852941176470589,0.6911764705882353
Dipole fitting (grid),5,-5,scenario_macro,186,4,0.6469552307531098,0.6415032234537443,1.2738958641655482,4.120674184612038,9.302347555998686,2.422012413895962,2.422012413895962,4.120674184612038,9.302347555998686,134.5776102766255,134.5776102766255,0.30052362791359294,2.422012413895962,1.5477941176470589,0.411764705882353,0.9852941176470589,0.698529411764706
Dipole fitting (grid),5,0,scenario_macro,186,4,0.6525927996227114,0.6437061595192962,1.2428392758316436,4.243192588054821,8.693566517857517,2.241479458214163,2.241479458214163,4.243192588054821,8.693566517857517,126.60462961406874,126.60462961406874,0.3174913131662859,2.241479458214163,1.6838235294117647,0.45588235294117646,1.0,0.7279411764705882
Dipole fitting (grid),5,5,scenario_macro,186,4,0.6521189098270653,0.6445999462671327,1.2308001237204929,5.0244763206267224,7.853249582509743,1.9444444153793892,1.9444444153793892,5.0244763206267224,7.853249582509743,131.07509190975898,131.07509190975898,0.30436954557484,1.9444444153793892,1.7987132352941178,0.4411764705882353,0.9852941176470589,0.7132352941176471
Dipole fitting (grid),5,10,scenario_macro,186,4,0.6471648155618765,0.6432987491591494,1.2481563316313453,5.212004944744618,8.947092313545857,5.269600564553577,5.269600564553577,5.212004944744618,8.947092313545857,140.19527409568013,140.19527409568013,0.28276288881995204,5.269600564553577,2.0229779411764706,0.39215686274509803,1.0,0.696078431372549
Dipole fitting (grid),5,15,scenario_macro,186,4,0.6493457669112705,0.6433421470038152,1.24375069082622,5.825832659078832,9.058826410031457,2.8698430326683018,2.8698430326683018,5.825832659078832,9.058826410031457,136.75366951519172,136.75366951519172,0.286136240955543,2.8698430326683018,2.1075367647058822,0.40686274509803916,1.0,0.7034313725490196
Dipole fitting (grid),5,20,scenario_macro,186,4,0.6443432869292801,0.6416954288919611,1.2662754801306855,5.953651581077884,10.042956577503446,1.551915267250366,1.5519152672503658,5.953651581077884,10.042956577503446,143.5675544995793,143.5675544995793,0.27275589099607145,1.5519152672503658,1.9393382352941178,0.38235294117647056,1.0,0.6911764705882353
Dipole fitting (grid),10,-10,scenario_macro,186,4,0.6499200663504419,0.6399351931330497,1.2918445159865957,5.450742878112687,9.765819775584843,2.7972929772465918,2.7972929772465918,5.450742878112687,9.765819775584843,124.44887493140658,124.44887493140658,0.31076506279737276,2.7972929772465918,1.5744485294117647,0.45588235294117646,0.9852941176470589,0.7205882352941176
Dipole fitting (grid),10,-5,scenario_macro,186,4,0.6572188438378128,0.6420069417418025,1.2592741553378919,4.627035796966585,9.270082638795555,2.390082157844024,2.3900821578440237,4.627035796966585,9.270082638795555,115.32028232405041,115.32028232405041,0.3264106819754892,2.3900821578440237,1.6534926470588236,0.4950980392156863,0.9852941176470589,0.7401960784313726
Dipole fitting (grid),10,0,scenario_macro,186,4,0.6598728819679631,0.643752322285783,1.2337988620562799,4.736699694759831,9.061620653314804,0.23570225896769606,0.23570225896769612,4.736699694759831,9.061620653314804,123.96708929419617,123.96708929419617,0.30808276185672123,0.23570225896769612,1.6801470588235294,0.4656862745098039,0.9852941176470589,0.7254901960784313
