case,trials,oracle_family,local_An_cal_AUC,An_auc,surface_An_auc,deep_An_auc,surface_SD_mm,surface_DLE_mm,deep_DLE_mm,deep_detected,deep_false_positive
01,train20,surface-only,0.5620973625140291,0.9454587335590722,0.9453418959284583,nan,7.2813638989574345,nan,nan,0,0
01,combined40,surface-only,0.676489898989899,0.958675972634925,0.958587448811409,nan,6.234108683780616,8.590118035656378,nan,0,0
03,train20,full-ungated,0.7381944444444444,0.9642428285523681,0.9623143196672608,1.0,8.138029576321642,11.822374003563763,0.0,1,0
03,combined40,full-ungated,0.7381944444444444,0.9673536743794107,0.9654708853238265,1.0,8.138531103706672,11.822374003563763,0.0,1,0
