method,status,snr_pair_count,auc_tie_corrected,auc,rmse,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
OASTER,complete,49,0.9674241554835052,0.9247745010559042,0.6777916430499118,3.5303524673770847,8.498676553053896,4.540289626100683,4.213353776979294,0.8154261704681873,0.9774909963985593,0.8964585834333733
SISSES,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dSPM,complete,49,0.9360264092654074,0.887799765838848,1.8266907598808413,26.47618663769686,15.890145769357977,20.797457963725314,14.096689660656255,0.4921218487394959,0.08253301320528213,0.287327430972389
eLORETA,complete,49,0.9242010466133035,0.8663390956032377,1.8232680787650801,29.432929388848603,12.971502208647507,21.036613193673926,12.708136161371726,0.5483943577430972,0.10744297719087637,0.3279186674669868
sLORETA,complete,49,0.9180303034695964,0.8780800967680815,1.8361346598945925,32.01327041564092,20.183651183523946,20.866762067525293,12.979785322075655,0.5439675870348138,0.030012004801920764,0.2869897959183674
MNE,complete,49,0.9060166340969792,0.8169124180429732,1.833032134046787,34.373579025427055,30.09201392374785,21.047194654603317,16.319103647392648,0.39570828331332525,0.2496998799519808,0.3227040816326531
LCMV,complete,49,0.7590820391505758,0.8215193694056985,1.8146026963307835,51.47331269267675,47.91279125255336,13.39847837766297,4.753496613325644,0.7743347338935573,0.6089435774309724,0.6916391556622649
RAP-MUSIC,complete,49,0.6479966148205538,0.678227107513291,1.1831925151323686,4.596915935825391,8.534294206727424,97.48972447011111,97.48992538483306,0.5814825930372148,0.9987995198079231,0.7901410564225689
Dipole fitting (grid),complete,49,0.6420165571369836,0.6541765249944901,1.2617041447394914,6.048823040744499,9.618396283881635,126.15811282091465,126.15811282091465,0.45488195278111243,0.9960984393757504,0.7254901960784315
