method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
OASTER-ERP-v2,-10,-10,case_weighted,188,4,0.9070723855173968,0.9152651436112617,0.9067993760785873,0.5483333333333333,1.6143699274706882,41.98918498101419,46.20010438664137,22.15669276825379,20.521002535018077,0.05338975059409358,20.521002535018077,20.73936170212766,6.920212765957447,13.819148936170214,41.98918498101419,63.878128619077685,234.0291118562773,234.0291118562773,0.0,1.0,0.5
OASTER-ERP-v2,-10,-5,case_weighted,188,4,0.9303840175946673,0.943332637797474,0.9375044330599722,0.6400000000000001,1.2934540387995368,31.226374165437456,30.134021164921577,18.97187616439372,17.783927248715507,0.12990432980901,17.783927248715507,30.71276595744681,20.074468085106382,10.638297872340425,31.226374165437456,46.92538157479794,202.9918969320962,202.9918969320962,0.13333333333333333,1.0,0.5666666666666667
OASTER-ERP-v2,-10,0,case_weighted,188,4,0.9265083437768317,0.9532188493047117,0.9492812367851731,0.6711111111111111,1.150117759040335,22.380231905139087,22.943137302140677,17.073665328685852,15.62057365311122,0.15560790164614954,15.62057365311122,53.308510638297875,45.45744680851064,7.851063829787234,22.380231905139087,36.60164153799658,193.15735060975672,193.15735060975672,0.175,1.0,0.5875
OASTER-ERP-v2,-10,5,case_weighted,188,4,0.9259086979052344,0.9587494983054161,0.9561596807297967,0.6705555555555556,1.0819830986873213,14.309507209695989,13.26191322163137,16.241922989702502,14.876533326507525,0.22288829577116245,14.876533326507525,53.33510638297872,47.079787234042556,6.25531914893617,14.309507209695989,32.74137192468837,175.77183389634507,175.77183389634507,0.25,0.9705882352941176,0.6102941176470589
OASTER-ERP-v2,-10,10,case_weighted,188,4,0.9218556928760168,0.9593629210716764,0.9572569614425985,0.7027777777777778,0.9969453734216062,8.714958103813,11.23998740107361,12.741220221774453,12.503881651986768,0.32216047483317506,12.503881651986768,52.601063829787236,47.515957446808514,5.085106382978723,8.714958103813,25.655754277586794,139.05055782941588,139.05055782941588,0.4083333333333333,0.9705882352941176,0.6894607843137255
OASTER-ERP-v2,-10,15,case_weighted,188,4,0.929769071468616,0.959702836243187,0.9562489939736477,0.7799999999999999,0.9354549386050516,6.335942805687717,8.968214513428654,8.606287279288242,8.306634523715271,0.43703702816080564,8.306634523715271,55.648936170212764,51.691489361702125,3.9574468085106385,6.335942805687717,23.530978459142393,89.09425029270571,89.09425029270571,0.625,0.9264705882352942,0.7757352941176471
OASTER-ERP-v2,-10,20,case_weighted,188,4,0.9289829565670487,0.9604195581830944,0.9571303545737495,0.8222222222222222,0.8860380831726006,4.262333719554061,6.842715202282144,6.33891305012159,6.3872853385048,0.49644426993245677,6.3872853385048,49.48936170212766,46.452127659574465,3.0372340425531914,4.262333719554061,24.215792593470017,61.54085388260055,61.54085388260055,0.7416666666666667,0.7941176470588235,0.767892156862745
OASTER-ERP-v2,-5,-10,case_weighted,188,4,0.9278643343982169,0.9443223511130767,0.9390661598500685,0.5811111111111111,1.4528339945815207,35.693489407587045,38.661147005439574,21.40333059306769,18.098575130480693,0.057625034841895934,18.098575130480693,21.25531914893617,8.074468085106384,13.180851063829786,35.693489407587045,46.70571026400348,230.21195998700063,230.21195998700063,0.016666666666666666,1.0,0.5083333333333333
OASTER-ERP-v2,-5,-5,case_weighted,188,4,0.9350456998005265,0.9535035045485198,0.9488369330466303,0.6005555555555556,1.215379528712754,29.174178025380815,31.469623990310886,19.06715301879404,16.99489059501085,0.13360766142512,16.99489059501085,59.93617021276596,49.78191489361702,10.154255319148936,29.174178025380815,44.57641438163813,202.99189693867578,202.99189693867578,0.13333333333333333,0.9852941176470589,0.5593137254901961
OASTER-ERP-v2,-5,0,case_weighted,188,4,0.9292928977739349,0.9573289160776773,0.9540323854877288,0.5938888888888889,1.0524940286259172,16.66844024478464,15.403144702631531,18.157431942440077,18.105244283022223,0.1577700665581591,18.105244283022223,56.04255319148936,48.12234042553192,7.920212765957447,16.66844024478464,29.54953081257332,195.02425988023109,195.02425988023109,0.16666666666666666,1.0,0.5833333333333334
OASTER-ERP-v2,-5,5,case_weighted,188,4,0.9305288942324556,0.9590564542817972,0.9562912900066362,0.6772222222222223,1.021290227406733,9.656467247609198,10.866060064935894,15.442589149010113,14.265398439957975,0.23801485988855503,14.265398439957975,44.41489361702128,38.31382978723404,6.101063829787234,9.656467247609198,20.055126903402893,173.90492461629407,173.90492461629407,0.25833333333333336,0.9558823529411765,0.607107843137255
OASTER-ERP-v2,-5,10,case_weighted,188,4,0.925707133212739,0.9615096036096651,0.9591759987518794,0.6983333333333334,0.9867422749451511,7.802372211797809,10.627033151700353,13.044067529253859,12.777857709991828,0.2953353784745436,12.777857709991828,46.611702127659576,41.430851063829785,5.180851063829787,7.802372211797809,29.024851397959633,143.2843763786388,143.2843763786388,0.39166666666666666,1.0,0.6958333333333333
OASTER-ERP-v2,-5,15,case_weighted,188,4,0.915059016510171,0.9552357655645268,0.9522320916081467,0.7294444444444445,0.9870403008140809,7.577390521927778,9.04102907984041,11.430245479813605,11.181723045393808,0.3920464106289981,11.181723045393808,54.5531914893617,50.62765957446808,3.925531914893617,7.577390521927778,20.95216287388707,119.88146519359644,119.88146519359644,0.49166666666666664,0.8970588235294118,0.6943627450980392
OASTER-ERP-v2,-5,20,case_weighted,188,4,0.93280474857771,0.9613692026166857,0.9581062800753701,0.798888888888889,0.9116234308740814,4.6732915879482695,6.711411833955666,6.945833450849317,6.957344213395144,0.5126381994237765,6.957344213395144,57.3031914893617,54.138297872340424,3.1648936170212765,4.6732915879482695,24.094530070956733,65.77467242283221,65.77467242283221,0.725,0.8823529411764706,0.8036764705882353
OASTER-ERP-v2,0,-10,case_weighted,188,4,0.9427723237880464,0.9630676893246668,0.959844411382933,0.6438888888888888,1.1962209449609003,16.626478070640193,17.297253713117307,19.93620573791445,16.245312766152647,0.10281680151215825,16.245312766152647,48.712765957446805,37.840425531914896,10.872340425531915,16.626478070640193,33.87086639465307,214.6100192031617,214.6100192031617,0.08333333333333333,1.0,0.5416666666666666
OASTER-ERP-v2,0,-5,case_weighted,188,4,0.9473475212854672,0.9705174560462851,0.9681322497406989,0.6166666666666667,1.0583917960419316,16.40564904500769,16.522531605710736,18.144780172934237,16.796328092813393,0.1487822607501651,16.796328092813393,52.680851063829785,43.590425531914896,9.090425531914894,16.40564904500769,29.317036326332303,195.19092654346653,195.19092654346653,0.16666666666666666,1.0,0.5833333333333334
OASTER-ERP-v2,0,0,case_weighted,188,4,0.9399861699241393,0.9685291999228992,0.9665313860339221,0.6255555555555555,0.9920776244639447,10.59563099393784,11.360059542595767,16.825696010895385,15.743305051424098,0.16820457542612738,15.743305051424098,56.78191489361702,49.0,7.781914893617022,10.59563099393784,19.218967271313943,187.38995615125435,187.38995615125435,0.2,1.0,0.6
