method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,deep_sensitivity,deep_specificity,deep_balanced_accuracy
OASTER-ERP-v2,-10,-10,scenario_macro,188,4,0.9144191480252724,0.9145904951057677,0.8880827168153124,0.6231663035584605,1.6982555138805138,40.35401086159311,42.49394167095735,21.256597212004035,17.814251409671375,40.35401086159311,74.32925952972234,234.02911185627738,234.02911185627738,0.061716150850172596,17.814251409671375,20.93300653594771,7.203839869281046,13.729166666666668,0.0,1.0,0.5
OASTER-ERP-v2,-10,-5,scenario_macro,188,4,0.9376404906300506,0.9411549143981841,0.9215446501959379,0.7060275962236746,1.2844532646987084,29.501222742361108,28.169714784267043,15.713115529037717,14.493003555521822,29.501222742361108,57.30116085610945,165.05752313587493,165.05752313587493,0.2602927522586482,14.493003555521822,46.29697712418301,36.91789215686274,9.379084967320262,0.2962962962962963,1.0,0.6481481481481481
OASTER-ERP-v2,-10,0,scenario_macro,188,4,0.9348917655163971,0.951805677591501,0.936625726045135,0.7294117647058824,1.0711988092806892,20.536666363571673,20.49283656174859,13.90333446973761,12.84566250279981,20.536666363571673,44.454935094589,152.62682292296196,152.62682292296196,0.29749096261536556,12.84566250279981,109.20710784313725,102.33210784313725,6.875,0.34803921568627455,1.0,0.6740196078431373
OASTER-ERP-v2,-10,5,scenario_macro,188,4,0.9354137666334827,0.9570093317802638,0.9443442921159112,0.7326797385620916,0.9959528545628968,13.575738605091201,12.074238094263379,13.145289818797087,12.18193210882596,13.575738605091201,45.267150636522445,137.86026188136415,137.86026188136415,0.3627307945601427,12.18193210882596,111.47998366013071,106.00571895424837,5.474264705882353,0.411764705882353,0.9705882352941176,0.6911764705882353
OASTER-ERP-v2,-10,10,scenario_macro,188,4,0.9322705872236443,0.9579792603978814,0.9460625545451046,0.7594771241830065,0.9085550948356851,8.443646266725452,10.516505852620826,10.40708500820535,10.36574288577343,8.443646266725452,34.896486070497495,110.57252321899163,110.57252321899163,0.4643421594110907,10.36574288577343,113.10784313725492,108.80637254901961,4.3014705882352935,0.5294117647058824,0.9705882352941176,0.75
OASTER-ERP-v2,-10,15,scenario_macro,188,4,0.9360142603654783,0.9578847265023491,0.9445637847188607,0.8189542483660132,0.8506066108988766,6.01284266744042,8.130733754588292,7.031546225674187,6.823964548972469,6.01284266744042,32.81144203509981,69.81248389222473,69.81248389222473,0.5660646990064446,6.823964548972469,121.8357843137255,118.59681372549021,3.2389705882352944,0.7058823529411765,0.9264705882352942,0.8161764705882353
OASTER-ERP-v2,-10,20,scenario_macro,188,4,0.9365151052866462,0.9601367826974305,0.9478399351363925,0.8392156862745099,0.8155006877530404,4.458768674402822,6.6467028165739395,5.985215315588831,6.084343595040188,4.458768674402822,35.710264185470315,58.14439015352028,58.14439015352028,0.600220804508027,6.084343595040188,108.30923202614379,105.76511437908496,2.5441176470588234,0.7549019607843137,0.7941176470588235,0.7745098039215685
OASTER-ERP-v2,-5,-10,scenario_macro,188,4,0.9358899902153031,0.9443315283373287,0.9273795068578067,0.6584241103848947,1.5581666079921264,34.539891035352504,36.53503480717759,20.412520806501774,15.553789874982149,34.539891035352504,50.66862976923128,225.54655214677362,225.54655214677362,0.07434759698399179,15.553789874982149,21.76102941176471,8.679330065359476,13.081699346405228,0.037037037037037035,1.0,0.5185185185185185
OASTER-ERP-v2,-5,-5,scenario_macro,188,4,0.9417196208081235,0.9510735468190268,0.9348235899892642,0.675599128540305,1.2122301636285036,27.052081668108134,28.263245307969083,15.87616269662019,14.103876532033107,27.052081668108134,51.67545887154825,165.05752315049617,165.05752315049617,0.2627566627065906,14.103876532033107,123.22385620915031,114.1875,9.036356209150327,0.2962962962962963,0.9852941176470589,0.6407952069716776
OASTER-ERP-v2,-5,0,scenario_macro,188,4,0.9374936263090496,0.9556230362276822,0.9418319790969037,0.6666666666666666,0.9804311816844579,15.417895344156847,14.040643518761513,14.570753847676656,14.741770471821505,15.417895344156847,38.28406539188983,152.5778033180632,152.5778033180632,0.30440686708588455,14.741770471821505,115.56617647058823,108.65073529411764,6.915441176470588,0.34803921568627444,1.0,0.6740196078431372
OASTER-ERP-v2,-5,5,scenario_macro,188,4,0.9386649679919745,0.9571838209110171,0.9443108896024951,0.7421568627450981,0.9465453070557109,9.157901489819656,10.00563672631567,12.390485920423027,11.349114052868556,9.157901489819656,25.61455121499684,136.76207995192237,136.76207995192237,0.3796462424200635,11.349114052868556,88.20261437908498,82.95996732026144,5.242647058823529,0.4166666666666667,0.9558823529411765,0.6862745098039216
OASTER-ERP-v2,-5,10,scenario_macro,188,4,0.9352251058872085,0.9598243764539085,0.9479005835542883,0.765032679738562,0.904726804406802,7.420238268460724,9.391696892968575,10.225731440451197,9.984242486945698,7.420238268460724,40.77534012099425,108.67027704020063,108.67027704020063,0.45236538078636934,9.984242486945698,98.33823529411765,94.03676470588235,4.3014705882352935,0.5392156862745098,1.0,0.7696078431372548
OASTER-ERP-v2,-5,15,scenario_macro,188,4,0.924331211783755,0.9533098762337351,0.9394575790309494,0.7669934640522876,0.9077576230996891,7.411037297576926,8.7124669019376,9.74207629650399,9.551743370480589,7.411037297576926,28.70189421454833,99.39462558982285,99.39462558982285,0.5268159735878924,9.551743370480589,120.44035947712419,117.23815359477123,3.202205882352941,0.5784313725490197,0.8970588235294118,0.7377450980392157
