case,scenario,oracle_family,base_local_AUC,refined_local_AUC,surface_An_auc,deep_An_auc,surface_SD_mm,surface_DLE_mm,deep_DLE_mm,oracle_H1_deep_peak_within_10mm,active_count
00,surface_only,null,0.8874382716049383,0.9406790123456791,0.9861408199643493,nan,9.816564904855172,11.246353654562752,nan,0,160
01,surface_only,null,0.5620973625140291,0.9219249311294764,0.9812881750315097,nan,14.813037728494189,11.557318679391829,nan,0,172
02,deep_only,full,1.0,1.0,nan,1.0,nan,nan,0.0,1,2
03,deep_plus_surface,full,0.7381944444444444,0.9560030864197531,0.988116458704694,1.0,11.966890056233941,11.822374003563763,0.0,1,203
04,deep_plus_two_surface,full,0.8712880488385538,0.9590452504846444,0.981652900956136,1.0,8.188728079322342,nan,0.0,1,94
