case,variant,family,An_cal_AUC,An_auc,surface_An_auc,deep_An_auc,surface_SD_mm,deep_SD_mm,surface_DLE_mm,deep_DLE_mm,deep_score,deep_false_positive,deep_detected,confirmation_score,converged
01,baseline,H0,0.7166792929292929,0.9285605694146915,0.9284075327445394,,6.584720885130437,,,,0.0,0,0,0.007944832762870134,1
01,baseline,H1,0.739263468013468,0.7127312095455278,0.7126305972733273,,6.626922439646794,,,,1.0,1,0,0.007944832762870134,0
04,baseline,H0,0.7230235860286364,0.9540820416889361,0.9869206513358664,0.5,7.281360965772238,,,,0.0,0,0,-0.0027169209737524704,1
04,baseline,H1,0.732913393191171,0.7231204347051486,0.7135955050992377,1.0,7.2813609657722385,21.48471372131018,,0.0,1.0,0,1,-0.0027169209737524704,1
01,ridge .05,H0,0.7166638608305274,0.9286296731393822,0.92847678450238,,6.584329277840498,,,,0.0,0,0,7.108865632855985e-06,1
01,ridge .05,H1,0.7380274971941638,0.9285974247345266,0.928495251637804,,6.5842935286478275,,,,0.003964424094747179,0,0,7.108865632855985e-06,1
04,ridge .05,H0,0.7168390130258816,0.9533026011045783,0.986112714161061,0.5,7.2813609657722385,,,,0.0,0,0,0.013908895754532616,1
04,ridge .05,H1,0.732913393191171,0.7223877605558524,0.7135955050992377,1.0,7.2813609657722385,18.05995914388367,,0.0,1.0,0,1,0.013908895754532616,1
01,ridge .5,H0,0.713013468013468,0.9249487480708544,0.9247879742014118,,7.522505433258047,,,,0.0,0,0,-2.521474915821215e-06,1
01,ridge .5,H1,0.713013468013468,0.9272061364107526,0.9270501982908665,,7.522080115871818,,,,0.0,0,0,-2.521474915821215e-06,1
04,ridge .5,H0,0.5523073325851103,0.8234255300195972,0.8514872969192201,0.5,7.281360965772238,,,,0.0,0,0,0.004806756856505394,1
04,ridge .5,H1,0.7327618780396558,0.7222786388740424,0.7135955050992377,1.0,7.2813609657722385,16.262444767896344,,0.0,0.49442658090753977,0,1,0.004806756856505394,1
01,lambda .5 + ridge .05,H0,0.7243952147740026,0.9594729689263585,0.9593861524185021,,32.020809610065164,,38.41692987264249,,0.0,0,0,0.035624965725219,1
01,lambda .5 + ridge .05,H1,0.6485574176104479,0.9573261465459655,0.9588413719234905,,33.94111451210525,,18.60648236440892,,0.7449788738089985,1,0,0.035624965725219,1
04,lambda .5 + ridge .05,H0,0.5056023194912084,0.7676532157491536,0.7936759294740098,0.5,25.274051472474895,,30.0354026287827,,0.0,0,0,0.020372450206834564,1
04,lambda .5 + ridge .05,H1,0.671209315375982,0.8030464991982896,0.7978633524314291,0.9333333333333333,13.278437045798801,22.517232403236008,,20.000001097096984,0.6431048955895218,0,0,0.020372450206834564,1
