lambda_multiplier,family,confirmation_loss,converged,outer_converged,inner_converged,final_stationarity_gap_relative,auc,auc_tie_corrected,surface_dle_mm,deep_dle_mm,deep_score,deep_false_positive,active_count,surface_active_count,deep_active_count
1.0,H0,1703.5150182730508,True,True,True,0.0006915903338051699,0.7166792929292929,0.9285605694146915,,,0.0,0.0,13.0,13.0,0.0
1.0,H1,1690.4325165567702,False,False,False,0.950680827093648,0.739263468013468,0.7127312095455278,,,1.0,1.0,15.0,14.0,1.0
0.5,H0,1728.490881906383,True,True,True,0.0005954892985717551,0.7357796398326701,0.9700320180591067,17.034507288305267,,0.0,0.0,6.0,6.0,0.0
0.5,H1,1677.3424435061888,True,True,True,0.0007981790632993544,0.48830808080808086,0.9650703706263101,18.60648236440892,,1.0,1.0,18.0,14.0,4.0
0.25,H0,2231.541810293548,True,True,True,0.00048494331132755797,0.7665619579634732,0.9195402298850575,32.45813983721337,,0.0,0.0,10.0,10.0,0.0
0.25,H1,1836.4147729495003,False,False,True,0.014702598299767222,0.49001262626262626,0.8729504986985465,34.30792966225944,,1.0,1.0,21.0,16.0,5.0
