method,deep_sensitivity_mean,deep_specificity_mean,deep_balanced_accuracy_mean
OASTER-ERP,0.33588435374149667,0.9978991596638654,0.6668917567026811
MNE,0.3896308523409364,0.2490996398559424,0.3193652460984393
dSPM,0.4825930372148859,0.08043217286914765,0.2815126050420168
sLORETA,0.5384153661464586,0.02490996398559424,0.28166266506602644
eLORETA,0.5384903961584634,0.10264105642256903,0.32056572629051616
LCMV,0.1689925970388155,0.9297719087635055,0.5493822529011604
Dipole fitting (grid),0.4166416566626651,0.995498199279712,0.7060699279711885
RAP-MUSIC,0.4615346138455382,0.9996998799519807,0.7306172468987594
