comparison,snr_pair_count,mean_difference,mean_difference_ci95_low,mean_difference_ci95_high,median_difference,cohen_dz,wins,ties,losses,wilcoxon_statistic,wilcoxon_p,holm_adjusted_p
OASTER-ERP - MNE,49,-0.08190765639743529,-0.08858069583167025,-0.07561434232857275,-0.07396974728296635,-3.4704019963127757,0,0,49,0.0,3.552713678800501e-15,2.4868995751603507e-14
OASTER-ERP - dSPM,49,-0.10839462316689825,-0.12277605065844151,-0.09475471862711835,-0.0936634768191612,-2.1450526706871402,0,0,49,0.0,3.552713678800501e-15,2.4868995751603507e-14
OASTER-ERP - sLORETA,49,-0.0936577525846997,-0.10402498065990198,-0.0832556176457094,-0.08526543515175056,-2.47978277402162,0,0,49,0.0,3.552713678800501e-15,2.4868995751603507e-14
OASTER-ERP - eLORETA,49,-0.09863859664077174,-0.10920888334683426,-0.0885369779849475,-0.07692915466406869,-2.6181303844017703,0,0,49,0.0,3.552713678800501e-15,2.4868995751603507e-14
OASTER-ERP - LCMV,49,0.06475370515589066,0.04632087234714912,0.0821647539079763,0.08099277255107096,1.008494000411405,38,0,11,110.0,4.103956996459601e-08,4.103956996459601e-08
OASTER-ERP - Dipole fitting (grid),49,0.1860246624591519,0.16936894955292348,0.2015791379030689,0.20287824270557553,3.133244379062115,49,0,0,0.0,3.552713678800501e-15,2.4868995751603507e-14
OASTER-ERP - RAP-MUSIC,49,0.1815421115235216,0.1644604888518198,0.19738929325565416,0.19877184724840824,3.079334254218767,49,0,0,0.0,3.552713678800501e-15,2.4868995751603507e-14
