scenario,method,snr_pair_count,an_auc_mean,an_auc_sd,an_auc_min,an_auc_max,an_auc_ge_0_90_pairs
surface_only,OASTER-ERP,49,0.85251320104956,0.025174398295389613,0.7548047153821189,0.8870173385476006,0
surface_only,MNE,49,0.9152357406232219,0.05090985350029895,0.7259808507597589,0.9569725164591811,38
surface_only,dSPM,49,0.9352332082267163,0.020846753556292844,0.8428671380179914,0.9542271232908078,46
surface_only,sLORETA,49,0.9111864595367564,0.04696064967328372,0.725695370822588,0.948527338941696,37
surface_only,eLORETA,49,0.9300967453343064,0.04091841037204892,0.7500475467886247,0.9567461851114109,42
surface_only,LCMV,49,0.6704480595712192,0.0057298326300701885,0.6477398461694521,0.6798929441048787,0
surface_only,Dipole fitting (grid),49,0.5239937356779375,0.002986880492928974,0.5189131592170009,0.5324440738923674,0
surface_only,RAP-MUSIC,49,0.5286348547631049,0.004156043205427278,0.5185963475329581,0.5362612235574664,0
deep_only,OASTER-ERP,49,0.8158208594898094,0.19518070350396655,0.49447208172501,0.9999916810861174,24
deep_only,MNE,49,0.96828796073201,0.05265207099440362,0.7903051377612138,0.9995674164781047,42
deep_only,dSPM,49,0.9966445915515147,0.015097305543750186,0.8951151337681352,0.9999417676028218,48
deep_only,sLORETA,49,0.9980397922512543,0.006677115154570356,0.9623569146812192,1.0,49
deep_only,eLORETA,49,0.9835991763935709,0.05555573249181179,0.7328963130573671,1.0,46
deep_only,LCMV,49,0.9996358353004452,0.001333733900668834,0.9929538799414348,1.0,49
deep_only,Dipole fitting (grid),49,0.9827774714304729,0.06253121480464903,0.6561876081458804,1.0,46
deep_only,RAP-MUSIC,49,0.9846914158316062,0.06633964088811677,0.6249417676028217,1.0,47
deep_plus_surface,OASTER-ERP,49,0.8325204413903147,0.024463821861450383,0.7660021689348797,0.885630003318207,0
deep_plus_surface,MNE,49,0.8963000029507567,0.05803755329373224,0.7196040089554325,0.9473459436844425,31
deep_plus_surface,dSPM,49,0.9242712160193429,0.02629944858332371,0.8322099188876103,0.9486725891581514,43
deep_plus_surface,sLORETA,49,0.9046224309461408,0.047622553877105886,0.7397287837830993,0.9427159821297099,36
deep_plus_surface,eLORETA,49,0.9125489060202582,0.05054748409685105,0.7295606009078948,0.9512951830380691,37
deep_plus_surface,LCMV,49,0.6893379885931964,0.007906534005586158,0.6649121215509308,0.7030208196423067,0
deep_plus_surface,Dipole fitting (grid),49,0.5256090492626183,0.0038565598864111657,0.5165303951885536,0.5327675788993758,0
deep_plus_surface,RAP-MUSIC,49,0.5320573441413521,0.006553329346252996,0.5163394504448542,0.542153301965013,0
deep_plus_two_surface,OASTER-ERP,49,0.7933814231998612,0.047845284874876735,0.6066366663160142,0.8446975014707545,0
deep_plus_two_surface,MNE,49,0.8420428464132981,0.06871962130562494,0.6443431382784262,0.9090778410869376,7
deep_plus_two_surface,dSPM,49,0.8716654019995644,0.03463037799736941,0.7441668150550749,0.903182934914535,6
deep_plus_two_surface,sLORETA,49,0.8550182527341927,0.055704102073510106,0.6699825899895756,0.904769229337092,5
deep_plus_two_surface,eLORETA,49,0.8625454839444969,0.06322933051089331,0.6513247137568074,0.9116020310166585,14
deep_plus_two_surface,LCMV,49,0.6757992210411221,0.013287410101598902,0.6201277411769022,0.6918867460985817,0
deep_plus_two_surface,Dipole fitting (grid),49,0.517757018921909,0.0024988699708139136,0.5100295091020502,0.523854729547914,0
deep_plus_two_surface,RAP-MUSIC,49,0.5226838642993958,0.004047609649521375,0.5100502507975205,0.5312017642181712,0
