method,snr_pair_count,primary_metric,an_auc_mean,an_auc_sd,an_auc_min,an_auc_max,an_auc_ge_0_90_pairs,auc_mean,rmse_mean,surface_sd_mm_penalized_mean,surface_dle_mm_penalized_mean,deep_sd_mm_penalized_mean,deep_dle_mm_penalized_mean
OASTER-ERP,49,An_auc (auc_tie_corrected),0.8235589812823861,0.06874799080538055,0.6560456340977581,0.897604151100958,0,0.7757655793955192,1.0454078227444068,14.286111856392553,18.06709600110085,152.08290686009312,152.08290686009312
MNE,49,An_auc (auc_tie_corrected),0.9054666376798216,0.056765944845716884,0.7200582839387079,0.9528954924354116,34,0.8161718487090367,1.8329268156928673,34.451674251623636,30.62856921209682,21.04231798471542,16.37246625869664
dSPM,49,An_auc (auc_tie_corrected),0.9319536044492847,0.02293063925144957,0.8285897514322029,0.9509702532594044,46,0.8808907793979027,1.8265733529476214,26.834977188985945,16.226369722603078,20.803784062186352,14.404738706200108
sLORETA,49,An_auc (auc_tie_corrected),0.917216733867086,0.038829649772405196,0.7744409148191205,0.9489001503078537,39,0.8756614200044126,1.8360152006970742,32.12972079817869,20.622011501913498,20.864313691376818,13.016941611328486
eLORETA,49,An_auc (auc_tie_corrected),0.922197577923158,0.05076572983864651,0.7234879904199003,0.9544932562092259,42,0.862444717472068,1.8231276268811911,29.727914977844073,13.66186699833191,21.042780286292647,12.881780869268049
LCMV,49,An_auc (auc_tie_corrected),0.7588052761264957,0.006223959849585681,0.73143339720968,0.7660282665028543,0,0.8177012232675892,1.8322187502146612,51.18440583951578,48.86047783916844,13.856974202329425,6.069206012529196
Dipole fitting (grid),49,An_auc (auc_tie_corrected),0.6375343188232344,0.016856814116366713,0.5504151679133713,0.6456158340766843,0,0.6448864085941051,1.2852289419410545,5.546267061938947,10.124771496081793,135.32549114424174,135.32549114424174
RAP-MUSIC,49,An_auc (auc_tie_corrected),0.6420168697588647,0.018705860797381336,0.542676570641325,0.6510743771867156,0,0.6559129169005484,1.2396320760561643,4.851387246620052,9.285225659160737,125.65017487436998,125.64588509791636
