case_id,posthoc_role,eeg_snr_db_posthoc,meg_snr_db_posthoc,selection_reason_posthoc,old_eeg_weight,old_meg_weight,fit_eeg_weight,fit_meg_weight,old_eeg_gain,old_meg_gain,old_fixed_3_to_1_score,equal_eeg_gain,equal_meg_gain,equal_fixed_3_to_1_score,eeg_response_excess,meg_response_excess,snr_blind_consensus_score,energy_normalized_fixed_score,eeg_studentized_gain,meg_studentized_gain,studentized_fixed_3_to_1_score,full_deep_mode_norm,null_outer_iterations,full_outer_iterations,null_stationarity_gap_relative,full_stationarity_gap_relative,null_converged,full_converged,truth_used_by_score
erp-v6-hierarchical-v1-gate-calibration-001-eeg-10-meg-10,pure_surface_H0,-10,-10,largest retired-v1 H0 gate score in this SNR cell,1.0,0.6587395146961325,1.0,1.0,0.018416165325155172,0.00827384605909526,0.015880585508640195,0.013229714158549788,0.011735116375448296,0.012856064712774415,0.09626183182866188,0.15026424118729897,0.02336300856564151,0.01198696508668583,1.559726790720119,1.2484054845778803,1.4818964641845593,2.2712957605028796,5,4,0.000002119060352318937,0.0008972671934525916,1,1,0
erp-v6-hierarchical-v1-gate-calibration-033-eeg-10-meg+20,pure_surface_H0,-10,20,largest retired-v1 H0 gate score in this SNR cell,0.05100349820609684,1.0,1.0,1.0,0.022284683327786957,0.056600152845729716,0.030863550707272647,0.0016200784973049965,-0.005422492445849326,-0.00014056423848358415,0.16793628305516184,111.56689985886443,-0.001664739480509403,-0.000013248584844416767,0.5882175118050911,-0.24072726665835825,0.3809813171892288,0.4351301338336287,14,8,0.000870979262411133,0.0006529839190827997,1,1,0
erp-v6-hierarchical-v1-gate-calibration-054-eeg+20-meg-10,pure_surface_H0,20,-10,largest retired-v1 H0 gate score in this SNR cell,1.0,0.021884650876119783,1.0,1.0,0.12394189791343113,0.0002027167066261272,0.09300710261172988,0.116657585534,0.000217680098814,0.0875476091754,1102.74552551,0.0718999961712,0.000912042162369,0.00263517712868914,6.49351468406,0.670994839868,5.03788472301,0.100665942482,10,14,0.0004566007,0.0005323505,1,1,0
erp-v6-hierarchical-v1-surface-calibration-000-eeg-10-meg-10,pure_deep_H1,-10,-10,zero-weight and exactly zero retired-v1 gate score,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.017546416575315027,0.05118472610707421,0.025955993958254823,0.0,0.1516018850406622,0.04586738738100402,0.02418724929492785,2.2607326602741815,4.967198603950172,2.9373491461931795,0.6443755971166386,2,5,0.00010486271729377853,0.0005734098429481055,1,1,0
erp-v6-hierarchical-v1-surface-calibration-005-eeg-10-meg-10,pure_deep_H1,-10,-10,zero-weight weak retired-v1 gate score,1.0,0.0,1.0,1.0,0.011243166815652437,0.008665685389494538,0.010598796459112964,0.020320126071092147,0.02899836774337321,0.022489686489162414,0.0,0.038441337749643756,0.04417604806380615,0.02206949610277804,2.425988733061658,2.5488650189898108,2.4567078045436963,0.5318866973917536,18,7,0.000012919232818695617,0.0009995823578479392,1,1,0
erp-v6-hierarchical-v1-surface-calibration-027-eeg-10-meg+20,pure_deep_H1,-10,20,strong MEG but slightly negative EEG retired-v1 gate evidence,0.0382470474023337,1.0,1.0,1.0,-0.0029053066666127315,0.8189191454130746,0.2025508063533091,-0.0028813641248429003,0.8233705369603008,0.20368161114644304,0.0,64.4426290281106,-0.0010130548500368007,0.025178012955527806,-0.33595255858598505,15.356074374093359,3.5870541745838507,0.9881361910050677,12,2,0.00044510580275915836,0.0002547642545822283,1,1,0
