case_id,configuration_id,scenario,eeg_snr_db,meg_snr_db,method,status,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,deep_sd_mm,surface_dle_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,dSPM [train20],ok,1,0.6521198092031426,0.703171860963306,0.703547075036588,nan,1.9530714141712584,54.671747373708556,nan,13.869174974367844,nan,0,0.47681327345306507,nan,0,1,7514,7498,16
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,sLORETA [train20],ok,1,0.5525733343536374,0.5646142860433511,0.5656345076892535,nan,1.9552942544720153,47.186485373373124,nan,45.13680270542287,nan,0,0.5312346607377121,nan,0,1,2363,2347,16
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,eLORETA [train20],ok,1,0.6906200897867565,0.7533964480685509,0.7529466622961114,nan,1.9467438275924176,55.30882552118195,nan,50.63690868030757,nan,0,0.5674956380843863,nan,0,1,7158,7142,16
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,LCMV [train20],ok,1,0.5273635343332314,0.4843249717826458,0.48535325321674416,nan,1.9773306182989456,48.12541654444094,nan,49.1217312503923,nan,0,0.0,nan,0,0,1482,1466,16
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,Dipole fitting (grid) [train20],ok,1,0.5,0.4999331997327989,0.49993305663408755,nan,2.0000000000000004,4.336040431655803,nan,nan,nan,0,0.0,nan,0,0,1,1,0
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,RAP-MUSIC [train20],ok,1,0.5,0.4999331997327989,0.49993305663408755,nan,2.0000000000000004,4.336040431655803,nan,nan,nan,0,0.0,nan,0,0,1,1,0
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,MNE [combined40],ok,1,0.6208195592286501,0.696754428397024,0.6964926293045739,nan,1.9410327291088922,51.537096470607686,nan,27.232581082407876,nan,0,0.3236106887924155,nan,0,1,366,350,16
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,dSPM [combined40],ok,1,0.7582612743597592,0.8061087692626633,0.8061550962368595,nan,1.9411763182638737,54.364361762377975,nan,14.042053398806132,nan,0,0.40182091313602936,nan,0,1,7514,7498,16
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,sLORETA [combined40],ok,1,0.5862021732476279,0.6204685232534033,0.6214837419956509,nan,1.9456594848300166,46.809699413058546,nan,45.13680270542287,nan,0,0.5488405518070901,nan,0,1,2461,2445,16
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,eLORETA [combined40],ok,1,0.7710029588817469,0.8174556008568863,0.8170968739756511,nan,1.9332843427891044,55.09922443605519,nan,21.272988026234554,nan,0,0.33873303682600253,nan,0,1,7150,7134,16
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,LCMV [combined40],ok,1,0.5012624987246199,0.44060534862829104,0.4415168905037373,nan,1.9751986792502345,47.734841665949546,nan,64.92879338724023,nan,0,0.0,nan,0,0,1748,1732,16
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,Dipole fitting (grid) [combined40],ok,1,0.4993181818181818,0.49986639946559785,0.49986611326817515,nan,2.0000000000000004,5.447471482891925,nan,8.634180934549669,nan,0,0.0,nan,0,0,2,2,0
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,RAP-MUSIC [combined40],ok,1,0.4993181818181818,0.49986639946559785,0.49986611326817515,nan,1.9999999999999996,5.944773177537258,nan,8.980427174943037,nan,0,0.0,nan,0,0,2,2,0
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,v6-surface-only,ok,0,0.5,0.2516305071209903,nan,0.5,1.9999999999999947,nan,nan,nan,nan,1,0.0,nan,0,0,4,4,0
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,v6-full-ungated,ok,0,1.0,0.9997337947557567,nan,0.8666666666666667,1.5860575351798758,nan,11.568216721626749,nan,10.00000054854849,1,1.0,10.00000054854849,1,0,3,0,3
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,MNE [train20],ok,0,0.51,0.8814055636896047,nan,1.0,1.9832749186803589,nan,26.68666874869912,nan,0.0,1,0.15493765659793657,10.00000054854849,1,0,133,117,16
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,dSPM [train20],ok,0,0.82,0.9495541062158924,nan,0.6,1.9852863197379116,nan,27.638853061618587,nan,10.00000054854849,1,0.7591216260478275,10.00000054854849,1,0,7514,7498,16
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,sLORETA [train20],ok,0,0.75,0.9487554904831625,nan,0.8,1.9767002836305274,nan,28.402177316827753,nan,33.166248402824905,1,0.521060880438092,10.00000054854849,1,0,2302,2286,16
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,eLORETA [train20],ok,0,0.41,0.7419140157061094,nan,1.0,1.9865441790963545,nan,28.137230300343166,nan,0.0,1,0.48135002464546073,10.00000054854849,1,0,7311,7295,16
