case_id,scenario,eeg_snr_db,meg_snr_db,method,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,deep_sd_mm,surface_dle_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
erp-v6-development-01-eeg-10-meg-10,surface_only,-10,-10,residual-cluster-surface-only,0.5773246352413018,0.9698016723101375,0.9697369818237218,nan,2.0135024362227623,6.66133905976818,nan,8.590118035656378,nan,0,0.0,nan,0,0,14,14,0
erp-v6-development-01-eeg-10-meg-10,surface_only,-10,-10,residual-cluster-full-ungated,0.5239141414141415,0.9713035265934167,0.9713759400926127,nan,2.012496098587337,6.662852093544454,nan,8.590118035656378,nan,0,1.0,nan,0,1,15,14,1
erp-v6-development-03-eeg-10-meg-10,deep_plus_surface,-10,-10,residual-cluster-surface-only,0.705462962962963,0.957371581054036,0.996538918597742,0.5,2.075723840745105,6.753357893551539,nan,10.052841237374652,nan,1,0.0,nan,0,0,12,12,0
erp-v6-development-03-eeg-10-meg-10,deep_plus_surface,-10,-10,residual-cluster-full-ungated,0.9605246913580248,0.9966082651592288,0.9965463458110516,1.0,0.712415605123061,6.699025524513753,16.940384597271706,10.052841237374652,0.0,1,1.0,0.0,1,0,15,13,2
