metric,metric_label,direction,method,n_snr_pairs,mean,sd_across_snr_pairs,median,q25,q75,min,max,bootstrap_mean_ci_low,bootstrap_mean_ci_high
auc_tie_corrected,An_auc,higher,OASTER,49,0.9674241554835052,0.00803141686777282,0.9682242957474608,0.9624294418029486,0.973893334787233,0.9516558037399321,0.9810298308704749,0.9651853985489898,0.969623610909025
auc_tie_corrected,An_auc,higher,dSPM,49,0.9360264092654074,0.016466527773770185,0.9394101857806372,0.9339547375849532,0.9458591782422996,0.8607403606357384,0.9516118944128316,0.9310431074724443,0.94013217200466
auc_tie_corrected,An_auc,higher,eLORETA,49,0.9242010466133035,0.04857878813402753,0.9427675330402987,0.9261749789369376,0.9491359137537605,0.7243541886510986,0.9549666161043625,0.9096630410539701,0.9363492539638297
auc_tie_corrected,An_auc,higher,sLORETA,49,0.9180303034695964,0.03795827669499725,0.9320132083122478,0.9134521988207192,0.9415712054605252,0.7749060545023647,0.9494567228028415,0.9068273104452985,0.9277249910067868
auc_tie_corrected,An_auc,higher,MNE,49,0.9060166340969792,0.05648149816552577,0.9280192643173987,0.8951038107965124,0.9414838369479471,0.7149040031398538,0.9539088856011999,0.8897368132614037,0.9205758943546921
auc_tie_corrected,An_auc,higher,LCMV,49,0.7590820391505758,0.006393025197369775,0.7603880298337751,0.7584930812764226,0.7632157666373218,0.7323409726074492,0.7653648161450516,0.7571631743569013,0.7606939329872232
auc_tie_corrected,An_auc,higher,RAP-MUSIC,49,0.6479966148205538,0.004797195415755732,0.6485791594129585,0.6461893507348713,0.6511136211816138,0.6243858154783596,0.6537289907508261,0.6465376433427382,0.6492377496806424
auc_tie_corrected,An_auc,higher,Dipole fitting (grid),49,0.6420165571369836,0.005287280677885301,0.6421170340757293,0.6410689865750266,0.6444292106508065,0.6083624015585122,0.6466977542182716,0.6402736192260275,0.6431412174474871
auc,Parcel AUC,higher,OASTER,49,0.9247745010559042,0.026466864818214746,0.9305407282781184,0.9134370687905013,0.9437056081726852,0.8570238128183226,0.9667800974137017,0.9172305431051841,0.9319046129803339
auc,Parcel AUC,higher,dSPM,49,0.887799765838848,0.029389181738261005,0.8972762010807068,0.8782671048643138,0.90761192303144,0.7655831364910151,0.9156313643648983,0.8790925668008354,0.8954205919797044
auc,Parcel AUC,higher,eLORETA,49,0.8663390956032377,0.06527284249815304,0.8918957153369107,0.8531442658592406,0.9040261934818231,0.622755089008931,0.9173326394620259,0.846758644753219,0.8831032142767818
auc,Parcel AUC,higher,sLORETA,49,0.8780800967680815,0.03825778040479208,0.8895196710887151,0.8693636739596501,0.9033761384073772,0.7312013143924196,0.910171818187455,0.8670400799262251,0.887864542156542
auc,Parcel AUC,higher,MNE,49,0.8169124180429732,0.08893845910394636,0.8482472150883205,0.7841143353571657,0.8774238006257578,0.5521898320050198,0.9084518967639366,0.791313479717158,0.8401017797647037
auc,Parcel AUC,higher,LCMV,49,0.8215193694056985,0.010626138528219057,0.8255399466493298,0.817808021591815,0.8299047860752939,0.7874272640675865,0.8328316948456422,0.8184744547388432,0.824366634744435
auc,Parcel AUC,higher,RAP-MUSIC,49,0.678227107513291,0.024129487516038252,0.6792125232541059,0.6632536184428034,0.6949168038441743,0.6209089792115324,0.7134932503710814,0.6717129228607158,0.684889695348097
auc,Parcel AUC,higher,Dipole fitting (grid),49,0.6541765249944901,0.012091482355685907,0.6547026560511097,0.6474090334136999,0.6637307734190023,0.6049065514999157,0.6762141781408373,0.6506046844608961,0.657376208374513
rmse,Squared relative error (historical RMSE field),lower,OASTER,49,0.6777916430499118,0.062408420041234154,0.6686438260381565,0.625534356374619,0.723787729761083,0.5851992524163374,0.800315860269666,0.6609097170435269,0.6951313860639143
rmse,Squared relative error (historical RMSE field),lower,dSPM,49,1.8266907598808413,0.056080646600473925,1.810682459859931,1.7829323890083835,1.8694916204668253,1.7495576689837926,1.9551569400971027,1.8116290658722654,1.8423451334640066
rmse,Squared relative error (historical RMSE field),lower,eLORETA,49,1.8232680787650801,0.06004281155468894,1.8104754648854433,1.775011620921069,1.867008893982112,1.7353314557395392,1.9557091302276355,1.8069332965733282,1.8401185621059324
rmse,Squared relative error (historical RMSE field),lower,sLORETA,49,1.8361346598945925,0.05426169230229914,1.8289409094582627,1.7970067519083504,1.8738787824230168,1.7570960681820786,1.9564359378797074,1.8216803761005986,1.8515863541741553
