metric,metric_label,direction,baseline,n_snr_pairs,oaster_mean,baseline_mean,mean_oriented_difference,median_oriented_difference,bootstrap_difference_ci_low,bootstrap_difference_ci_high,oaster_wins,ties,oaster_losses,win_rate_excluding_ties,common_language_win_probability,wilcoxon_p_value,holm_p_value_within_metric,paired_rank_biserial
auc_tie_corrected,An_auc,positive difference favors OASTER,dSPM,49,0.9674241554835052,0.9360264092654074,0.031397746218097954,0.028643012544999458,0.027519057371967744,0.03584914989836419,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
auc_tie_corrected,An_auc,positive difference favors OASTER,eLORETA,49,0.9674241554835052,0.9242010466133035,0.04322310887020171,0.026920029631827602,0.030991098012093463,0.05759168455704415,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
auc_tie_corrected,An_auc,positive difference favors OASTER,sLORETA,49,0.9674241554835052,0.9180303034695964,0.04939385201390871,0.033759562293101175,0.04027051350984931,0.05974953554555111,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
auc_tie_corrected,An_auc,positive difference favors OASTER,MNE,49,0.9674241554835052,0.9060166340969792,0.06140752138652613,0.040681163675197585,0.0471998885419623,0.0772881214992771,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
auc_tie_corrected,An_auc,positive difference favors OASTER,LCMV,49,0.9674241554835052,0.7590820391505758,0.20834211633292932,0.2087536254115686,0.20557254171265607,0.21110354957263475,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
auc_tie_corrected,An_auc,positive difference favors OASTER,RAP-MUSIC,49,0.9674241554835052,0.6479966148205538,0.3194275406629515,0.3183346953202486,0.31748745046957594,0.32135049628796825,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
auc_tie_corrected,An_auc,positive difference favors OASTER,Dipole fitting (grid),49,0.9674241554835052,0.6420165571369836,0.3254075983465217,0.32574470815716783,0.3234102372476316,0.32748437286676685,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
auc,Parcel AUC,positive difference favors OASTER,dSPM,49,0.9247745010559042,0.887799765838848,0.036974735217056194,0.0370799125711494,0.033519083380637464,0.04083250676390388,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
auc,Parcel AUC,positive difference favors OASTER,eLORETA,49,0.9247745010559042,0.8663390956032377,0.05843540545266637,0.04560451770742846,0.04588422098455006,0.07320085040604625,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
auc,Parcel AUC,positive difference favors OASTER,sLORETA,49,0.9247745010559042,0.8780800967680815,0.04669440428782249,0.043803766614007644,0.041417324514100934,0.0525449999878186,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
auc,Parcel AUC,positive difference favors OASTER,MNE,49,0.9247745010559042,0.8169124180429732,0.10786208301293078,0.07995501312005793,0.08935903420044698,0.1271458205746543,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
auc,Parcel AUC,positive difference favors OASTER,LCMV,49,0.9247745010559042,0.8215193694056985,0.10325513165020545,0.10493739899571486,0.09858426126500422,0.10782929884907033,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
auc,Parcel AUC,positive difference favors OASTER,RAP-MUSIC,49,0.9247745010559042,0.678227107513291,0.2465473935426132,0.24768088373777875,0.242789218260351,0.250354845060952,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
auc,Parcel AUC,positive difference favors OASTER,Dipole fitting (grid),49,0.9247745010559042,0.6541765249944901,0.27059797606141395,0.2732009530869477,0.26567409459001357,0.27537901571670353,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,dSPM,49,0.6777916430499118,1.8266907598808413,1.1488991168309293,1.1502714013996602,1.1326884571070053,1.1647273587424403,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,eLORETA,49,0.6777916430499118,1.8232680787650801,1.1454764357151683,1.1441262468725515,1.1292552465295371,1.1619934987247649,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,sLORETA,49,0.6777916430499118,1.8361346598945925,1.1583430168446809,1.1561200776100415,1.1440833622938233,1.172955536722286,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,MNE,49,0.6777916430499118,1.833032134046787,1.1552404909968754,1.1496662235660096,1.1400268375380171,1.1704337034003822,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,LCMV,49,0.6777916430499118,1.8146026963307835,1.1368110532808717,1.1580317315007185,1.103764776283806,1.1683800493489738,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,RAP-MUSIC,49,0.6777916430499118,1.1831925151323686,0.5054008720824568,0.4833720563622561,0.4841333658129377,0.5292411598855905,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
rmse,Squared relative error (historical RMSE field),positive difference favors OASTER,Dipole fitting (grid),49,0.6777916430499118,1.2617041447394914,0.5839125016895796,0.5880343497276305,0.5676170226430308,0.6013150872978873,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,dSPM,49,3.5303524673770847,26.47618663769686,22.945834170319777,17.69417603570834,19.798534111582605,26.520349455313617,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,eLORETA,49,3.5303524673770847,29.432929388848603,25.90257692147152,17.76631290900392,21.809521837609843,30.41844071818667,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,sLORETA,49,3.5303524673770847,32.01327041564092,28.482917948263832,20.87870392900139,25.035974766129378,32.30635402675214,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
surface_sd_mm_penalized,Surface penalized SD (mm),positive difference favors OASTER,MNE,49,3.5303524673770847,34.373579025427055,30.843226558049963,22.08516452602288,26.090873625668607,36.00260517311355,49,0,0,1.0,1.0,3.552713678800501e-15,2.4868995751603507e-14,1.0
