case_id,shape,parcel,method,eeg_snr_db,meg_snr_db,surface_true_count,surface_estimated_count,surface_dice_10pct_energy,status,error,elapsed_seconds,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
shape_00_eeg-10_meg-10,uniform_1hop,postcentral-lh,OASTER-ERP-v3,-10,-10,7,2,0.0,ok,,0.7944377000094391,0.9395918367346938,0.9779634246132181,0.9792322215229705,nan,1.9069424338177101,60.18771957701271,17.677392585802846,nan,nan,0,0.041616223424899686,nan,0,0,18,2,16
shape_00_eeg-10_meg-10,uniform_1hop,postcentral-lh,OASTER-ERP-v5,-10,-10,7,7,0.14285714285714285,ok,,66.39432510000188,0.9212244897959185,0.9962511180041486,0.9964910273280319,nan,1.7502111804423566,55.03738690817092,3.868461542546071,nan,nan,0,1.0,nan,0,1,9,7,2
shape_00_eeg+05_meg+05,uniform_1hop,postcentral-lh,OASTER-ERP-v3,5,5,7,9,0.875,ok,,0.7100505999987945,0.9993877551020408,0.999942910426459,0.999942788489044,nan,0.29042736340187253,1.3603343522025946,0.7955892764969014,nan,nan,0,0.04014624807165255,nan,0,0,25,9,16
shape_00_eeg+05_meg+05,uniform_1hop,postcentral-lh,OASTER-ERP-v5,5,5,7,6,0.7692307692307693,ok,,94.62169729999732,1.0,0.9996574625587548,0.9998855769780881,nan,0.6701691532059753,1.4994781150597674,4.907009482744094,nan,nan,0,0.6197912327948358,nan,0,1,8,6,2
shape_00_eeg-10_meg+20,uniform_1hop,postcentral-lh,OASTER-ERP-v3,-10,20,7,9,0.875,ok,,0.9988156000035815,0.9993877551020408,0.999942910426459,0.999942788489044,nan,0.3688836998484412,1.3479375883485618,0.7955892764969014,nan,nan,0,0.0418682095244474,nan,0,0,25,9,16
shape_00_eeg-10_meg+20,uniform_1hop,postcentral-lh,OASTER-ERP-v5,-10,20,7,5,0.6666666666666666,ok,,488.7454577999888,0.9991836734693876,0.9993720146910502,0.9997902244598279,nan,1.2288371383751135,1.4796769936179373,5.278166051369966,nan,nan,0,1.0,nan,0,1,7,5,2
shape_01_eeg-10_meg-10,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v3,-10,-10,37,6,0.18604651162790697,ok,,0.9244309000205249,0.9389846603360117,0.9822735668663178,0.9833512644127843,nan,1.3973209156979156,51.95720043602012,7.773499826938458,nan,nan,0,0.040133358872829206,nan,0,0,22,6,16
shape_01_eeg-10_meg-10,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v5,-10,-10,37,5,0.23809523809523808,ok,,66.92739319999237,0.7006574141709276,0.9897270548601297,0.989973085268622,nan,1.760528662419349,0.0,15.913787998297543,nan,nan,0,1.0,nan,0,1,7,5,2
shape_01_eeg+05_meg+05,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v3,5,5,37,22,0.6101694915254238,ok,,0.9220806999946944,0.9787582176771366,0.9945309760743757,0.994646033246757,nan,0.5318816456468258,1.2674361859624277,7.418741221472945,nan,nan,0,0.03966981718720928,nan,0,0,34,22,12
shape_01_eeg+05_meg+05,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v5,5,5,37,6,0.27906976744186046,ok,,139.40739190002205,0.9712198685171658,0.9985902714269707,0.9991088796878905,nan,1.3176824019812463,0.0,9.551675519696808,nan,nan,0,1.0,nan,0,1,10,6,4
shape_01_eeg-10_meg+20,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v3,-10,20,37,19,0.5,ok,,0.7793034000205807,0.9662308254200147,0.9904066163261027,0.9909004299836628,nan,0.796716603818893,3.72721739611265,18.190876395368083,nan,nan,0,0.04480002520024208,nan,0,0,35,19,16
shape_01_eeg-10_meg+20,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v5,-10,20,37,13,0.48,ok,,1049.1546979999985,0.9182834185536888,0.9990131899988793,0.9995906642468766,nan,1.2037461681895103,0.6981472942099737,7.418741221472945,nan,nan,0,1.0,nan,0,1,15,13,2
shape_02_eeg-10_meg-10,thin_path,lateraloccipital-lh,OASTER-ERP-v3,-10,-10,10,17,0.14814814814814814,ok,,1.6217884999932721,0.9145,0.9726412579957356,0.9731036324786324,nan,1.6393260634212352,51.99170973574437,5.1164345184078375,nan,nan,0,0.04424289856606593,nan,0,0,25,17,8
shape_02_eeg-10_meg-10,thin_path,lateraloccipital-lh,OASTER-ERP-v5,-10,-10,10,5,0.0,ok,,189.9957638999913,0.5905000000000001,0.9815964818763326,0.9820913461538461,nan,1.9810820151180404,11.985176611702194,8.794984911911708,nan,nan,0,1.0,nan,0,1,9,5,4
shape_02_eeg+05_meg+05,thin_path,lateraloccipital-lh,OASTER-ERP-v3,5,5,10,4,0.2857142857142857,ok,,1.6051977000315674,0.9591999999999998,0.9900053304904052,0.9907318376068376,nan,1.3566315324461617,6.238895410232134,15.678064741129115,nan,nan,0,0.04400894435443465,nan,0,0,19,4,15
shape_02_eeg+05_meg+05,thin_path,lateraloccipital-lh,OASTER-ERP-v5,5,5,10,2,0.0,ok,,151.33695309999166,0.48900000000000005,0.9859408315565032,0.9860443376068376,nan,1.991926888886617,8.199352408434624,6.981376919260432,nan,nan,0,0.2719359787733578,nan,0,1,3,2,1
shape_02_eeg-10_meg+20,thin_path,lateraloccipital-lh,OASTER-ERP-v3,-10,20,10,11,0.19047619047619047,ok,,1.5964074000366963,0.9168500000000002,0.9868736673773988,0.9871527777777778,nan,1.714785877759111,7.454905819063507,13.585738789770081,nan,nan,0,0.6623397575867673,nan,0,1,12,11,1
shape_02_eeg-10_meg+20,thin_path,lateraloccipital-lh,OASTER-ERP-v5,-10,20,10,5,0.13333333333333333,ok,,263.3166146000149,0.6811000000000001,0.9841950959488274,0.9845619658119658,nan,1.8669554121746532,10.79232962416574,15.678064741129115,nan,nan,0,1.0,nan,0,1,8,5,3
shape_03_eeg-10_meg-10,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v3,-10,-10,37,1,0.0,ok,,1.8055945999803953,0.8890430971512051,0.7741544873419504,0.7695946851556019,0.2666666666666667,1.9205314412069272,119.42258057463046,125.62441476735655,19.179554019557365,20.000000377798674,1,0.047792897543448974,20.000000377798674,0,0,17,1,16
shape_03_eeg-10_meg-10,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v5,-10,-10,37,2,0.0,ok,,49.17125890002353,0.4929054054054054,0.9391332967249584,0.9646884520225896,0.43333333333333335,1.998874239385535,11.939419910012344,12.35097326717279,21.68142643631448,24.494897802791773,1,1.0,24.494897802791773,0,0,4,2,2
shape_03_eeg+05_meg+05,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v3,5,5,37,43,0.0,ok,,0.784665799990762,0.8798027757487217,0.8899460730477879,0.8884505736134205,0.8,1.8705945785544782,10.882844971694448,26.514978250837117,14.31368259820868,9.999999399353555,1,0.04671262450201611,9.999999399353555,0,0,57,43,14
shape_03_eeg+05_meg+05,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v5,5,5,37,2,0.10256410256410256,ok,,142.79368659999454,0.6466380569758949,0.9683231956295232,0.9948525123434653,0.4,1.524234046422265,0.0,6.923304403164976,18.404811993236656,9.999999399353555,1,0.662855304881334,9.999999399353555,1,0,5,2,3
shape_03_eeg-10_meg+20,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v3,-10,20,37,20,0.03508771929824561,ok,,0.7811196999973617,0.9461431701972243,0.91194981836614,0.9104858779165172,0.9333333333333333,1.7381556821167603,7.810651967024135,18.88757364949776,9.999999399353555,9.999999399353555,1,1.0,9.999999399353555,1,0,21,20,1
shape_03_eeg-10_meg+20,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v5,-10,20,37,3,0.0,ok,,704.2763737000059,0.5111760409057706,0.9459762467967672,0.9720021589744147,0.3666666666666667,2.0077276914398245,15.409889699588602,23.66022371146009,19.610869074755936,9.999999399353555,1,1.0,9.999999399353555,1,0,7,3,4
