method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,deep_sensitivity,deep_specificity,deep_balanced_accuracy
OASTER-ERP-v3,-10,-10,scenario_macro,188,4,0.9097968103920648,0.9107659063157861,0.8880827168153124,0.6065359477124183,1.69964950204746,40.35401086159311,42.49394167095735,22.25970137401556,17.99069334696163,40.35401086159311,74.32925952972234,234.02911185627738,234.02911185627738,0.059512151052672976,17.99069334696163,22.04289215686275,7.203839869281046,14.839052287581698,0.0,1.0,0.5
OASTER-ERP-v3,-10,-5,scenario_macro,188,4,0.9447506614014876,0.9417027858713829,0.921542179567072,0.6891793754538854,1.2876782307586474,29.487362044546042,28.169714784267043,16.472346521933336,14.193072250706,29.487362044546042,57.30116085610945,165.05752313587493,165.05752313587493,0.26468598375345787,14.193072250706,49.06617647058823,36.91421568627451,12.151960784313726,0.2962962962962963,1.0,0.6481481481481481
OASTER-ERP-v3,-10,0,scenario_macro,188,4,0.950580268716683,0.9529537866814004,0.9366123226242076,0.7169934640522877,1.0885310845837073,20.318553742972938,20.413350670942112,14.831059298823936,14.150577819276485,20.318553742972938,44.37544920378252,148.2340952389948,148.2340952389948,0.35389639197432454,14.150577819276485,113.43137254901961,102.61887254901961,10.8125,0.36764705882352944,0.9558823529411765,0.661764705882353
OASTER-ERP-v3,-10,5,scenario_macro,188,4,0.9541967521439155,0.9587311452309972,0.9443230422312348,0.7640522875816993,1.0072447395009356,13.536402310875259,11.974858846472953,12.93061162194447,12.378481150159809,13.536402310875259,42.99583141931865,125.68222151530692,125.68222151530692,0.4369679799995848,12.378481150159809,115.47630718954247,106.11968954248366,9.356617647058824,0.4656862745098039,0.8823529411764706,0.6740196078431372
OASTER-ERP-v3,-10,10,scenario_macro,188,4,0.9554695689504108,0.9600333674198225,0.9460479248393941,0.8336601307189543,0.8898613590100761,8.313504602135056,10.516505852620826,9.281481758785665,7.4221479494042955,8.313504602135056,34.896486070497495,96.85512448292947,96.85512448292947,0.5148813762583561,7.4221479494042955,116.35416666666667,108.74019607843138,7.613970588235294,0.5882352941176471,0.8235294117647058,0.7058823529411764
OASTER-ERP-v3,-10,15,scenario_macro,188,4,0.9530722634256871,0.9590231147550001,0.9445554327223901,0.8960784313725491,0.8294507352361948,5.935671029546774,8.130733754588292,6.240462846997235,5.479967413763806,5.935671029546774,32.81144203509981,64.88054050754137,64.88054050754137,0.5944514647776691,5.479967413763806,124.36887254901961,118.62990196078432,5.738970588235294,0.7254901960784315,0.7794117647058824,0.7524509803921569
OASTER-ERP-v3,-10,20,scenario_macro,188,4,0.9518533973507529,0.9612832815631115,0.9478237297000011,0.9209150326797385,0.7847009626184549,4.530687033218729,6.6467028165739395,4.800122248786663,4.405870639539955,4.530687033218729,35.710264185470315,51.96720602998775,51.96720602998775,0.6182485081104765,4.405870639539955,110.64011437908496,105.81290849673204,4.827205882352941,0.7794117647058824,0.7352941176470589,0.7573529411764706
OASTER-ERP-v3,-5,-10,scenario_macro,188,4,0.9326434267577443,0.9408568915294753,0.9273795068578067,0.6306463326071169,1.5592951894609666,34.539891035352504,36.53503480717759,21.37942841506499,17.731075002840488,34.539891035352504,50.66862976923128,221.3978649003342,221.3978649003342,0.0852654004666353,17.731075002840488,23.271650326797385,8.790441176470587,14.481209150326798,0.05555555555555555,1.0,0.5277777777777778
OASTER-ERP-v3,-5,-5,scenario_macro,188,4,0.9468122978320404,0.9508077552173944,0.9348261599022716,0.6865649963689179,1.2122004534625253,27.021027007305744,27.808738566853226,16.5117237700215,15.477460361971673,27.021027007305744,51.2209521304324,163.91032162178894,163.91032162178894,0.2675833055738385,15.477460361971673,126.06004901960785,114.19117647058823,11.868872549019608,0.30119825708061,1.0,0.650599128540305
OASTER-ERP-v3,-5,0,scenario_macro,188,4,0.9554324072103219,0.9569342668895536,0.9418391627788054,0.7494190268700073,1.0009923772773577,15.395980955356398,14.040643518761513,14.337730915457707,12.219787063867178,15.395980955356398,38.28406539188983,146.02683814971513,146.02683814971513,0.3290799284163709,12.219787063867178,119.24632352941177,108.22794117647058,11.018382352941178,0.37745098039215685,0.9852941176470589,0.6813725490196079
OASTER-ERP-v3,-5,5,scenario_macro,188,4,0.9548522511496054,0.958807502032903,0.9443602272179815,0.8133986928104576,0.9553138773781146,9.173995273129592,10.00563672631567,12.872529812379824,10.616979358712735,9.173995273129592,25.61455121499684,131.1241115069171,131.1241115069171,0.4311082605463344,10.616979358712735,92.4967320261438,83.08864379084967,9.408088235294116,0.4411764705882353,0.8970588235294118,0.6691176470588236
OASTER-ERP-v3,-5,10,scenario_macro,188,4,0.9565386289726953,0.9614243416063257,0.947904077173552,0.8225490196078432,0.8787911513618706,7.499045560357421,9.391696892968575,9.477844324674463,8.08242064845931,7.499045560357421,40.77534012099425,93.75665715010656,93.75665715010656,0.4998921974079598,8.08242064845931,102.02941176470588,94.05882352941177,7.970588235294118,0.6029411764705882,0.8823529411764706,0.7426470588235294
OASTER-ERP-v3,-5,15,scenario_macro,188,4,0.9509417050203177,0.9552121067141499,0.9394500017495718,0.8676470588235294,0.8806242028173011,7.450148917373984,8.816045863151738,8.448301825565228,7.188802000743372,7.450148917373984,28.82997749406587,79.99023880385668,79.99023880385668,0.5463990115077654,7.188802000743372,124.01021241830065,117.28227124183007,6.727941176470589,0.6617647058823529,0.8970588235294118,0.7794117647058824
OASTER-ERP-v3,-5,20,scenario_macro,188,4,0.954583824228912,0.9607741922716152,0.9469045948650324,0.911437908496732,0.7989134935955241,4.727830450051074,6.5593302810228105,4.665414318039808,4.5449963725527205,4.727830450051074,35.69675029413394,46.62335525415276,46.62335525415276,0.6402649832108877,4.5449963725527205,128.5441176470588,123.78676470588236,4.757352941176471,0.8039215686274509,0.8529411764705882,0.8284313725490196
OASTER-ERP-v3,0,-10,scenario_macro,188,4,0.9519678875302692,0.9618159827719304,0.9499164422047555,0.7352941176470589,1.2898517475185443,15.481950689399186,16.366660471811446,18.512584433379306,14.803856656822111,15.481950689399186,44.50414453551898,195.39463025759778,195.39463025759778,0.18899474157706833,14.803856656822111,94.34558823529412,81.3484477124183,12.997140522875817,0.16666666666666666,1.0,0.5833333333333334
