method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
OASTER-ERP-v3,-10,-10,case_weighted,188,4,0.9092913674759713,0.9141532261323011,0.9067993760785873,0.5511111111111112,1.614498516479762,41.98918498101419,46.20010438664137,23.029173691790614,20.2445905068489,0.05110037852234835,20.2445905068489,21.925531914893618,6.920212765957447,15.00531914893617,41.98918498101419,63.878128619077685,234.0291118562773,234.0291118562773,0.0,1.0,0.5
OASTER-ERP-v3,-10,-5,case_weighted,188,4,0.9389541701055879,0.9439459918448433,0.9375014683053332,0.6099999999999999,1.2969316982798211,31.209741328059376,30.134021164921577,20.04986276355214,17.744351865453734,0.13691227187885258,17.744351865453734,34.148936170212764,20.069148936170212,14.079787234042554,31.209741328059376,46.92538157479794,202.9918969320962,202.9918969320962,0.13333333333333333,1.0,0.5666666666666667
OASTER-ERP-v3,-10,0,case_weighted,188,4,0.9437053421451844,0.9544475734661821,0.9492705235183445,0.6538888888888889,1.170500508696761,22.159365117913964,22.841155404502175,18.843325313780174,17.365765546150833,0.2125551033065927,17.365765546150833,58.787234042553195,45.808510638297875,12.97872340425532,22.159365117913964,36.50625846902881,189.42353207838462,189.42353207838462,0.19166666666666668,0.9558823529411765,0.5737745098039216
OASTER-ERP-v3,-10,5,case_weighted,188,4,0.9485189095959891,0.9606913458868889,0.956140869941935,0.698888888888889,1.09207040317219,14.254528145935414,13.1919942375279,16.380210798301686,15.577216597945696,0.3081833040166249,15.577216597945696,58.526595744680854,47.23936170212766,11.287234042553191,14.254528145935414,31.378580394366093,160.5865597475663,160.5865597475663,0.31666666666666665,0.8823529411764706,0.5995098039215686
OASTER-ERP-v3,-10,10,case_weighted,188,4,0.9493628932181601,0.9616753703078617,0.9572477167773831,0.7905555555555556,0.9856432158293758,8.571291087193131,11.23998740107361,11.904413131215493,9.205656722256208,0.39156691479289013,9.205656722256208,56.83510638297872,47.47872340425532,9.356382978723405,8.571291087193131,25.655754277586794,125.39885965037341,125.39885965037341,0.4666666666666667,0.8235294117647058,0.6450980392156862
OASTER-ERP-v3,-10,15,case_weighted,188,4,0.9483313816933542,0.9609428484339437,0.9562343010768863,0.8755555555555555,0.9115437492880649,6.2584630262932555,8.968214513428654,7.92640204251892,6.635263357226323,0.4781260013892906,6.635263357226323,59.069148936170215,51.76063829787234,7.308510638297872,6.2584630262932555,23.530978459142393,82.66018914354048,82.66018914354048,0.65,0.7794117647058824,0.7147058823529412
OASTER-ERP-v3,-10,20,case_weighted,188,4,0.9463797185006099,0.9616425864617029,0.9571141372708359,0.9127777777777778,0.8609979929097098,4.345259307309624,6.842715202282144,5.5538629771091355,4.926948016890001,0.5163680122245872,4.926948016890001,52.680851063829785,46.51063829787234,6.170212765957447,4.345259307309624,24.215792593470017,60.95752053941887,60.95752053941887,0.7416666666666667,0.7352941176470589,0.7384803921568628
OASTER-ERP-v3,-5,-10,case_weighted,188,4,0.9299638690648225,0.943175094890303,0.9390661598500685,0.5666666666666667,1.4531233051012173,35.693489407587045,38.661147005439574,22.438846415533988,20.426797986469918,0.06018209894539669,20.426797986469918,22.93617021276596,8.117021276595745,14.819148936170214,35.693489407587045,46.70571026400348,228.34505072610287,228.34505072610287,0.025,1.0,0.5125
OASTER-ERP-v3,-5,-5,case_weighted,188,4,0.9435506510473777,0.9538011646559572,0.9488398677829329,0.615,1.212994839052536,29.137354933174564,30.88648326586036,19.87702237549271,18.493303206991694,0.13616283863262657,18.493303206991694,63.569148936170215,49.787234042553195,13.78191489361702,29.137354933174564,44.031006292299104,201.04165433987345,201.04165433987345,0.14166666666666666,1.0,0.5708333333333333
OASTER-ERP-v3,-5,0,case_weighted,188,4,0.9498774596567466,0.9588496009147665,0.954039365711611,0.6905555555555556,1.0582916031825933,16.674028993710447,15.403144702631531,18.338966047900225,15.443799848067028,0.17886044754914693,15.443799848067028,61.22872340425532,47.973404255319146,13.25531914893617,16.674028993710447,29.54953081257332,187.47328948616183,187.47328948616183,0.2,0.9852941176470589,0.5926470588235294
