dataset,case_id,label_posthoc,eeg_snr_db_posthoc,meg_snr_db_posthoc,candidate,family,score
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e0625,per_modality_exponent,0.015497698798113368
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e075,per_modality_exponent,0.01543859784735517
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e0875,per_modality_exponent,0.01537876531767483
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e10,per_modality_exponent,0.01531823497230793
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p5,sqrt_weight,0.007243907582873473
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p6,sqrt_weight,0.010568757914727245
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p666667,sqrt_weight,0.012785324802629758
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p75,sqrt_weight,0.015556033412507903
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,adaptive_balance_p0p5,adaptive_balance,0.014934764334094627
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,adaptive_balance_p1,adaptive_balance,0.01435993046079054
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,adaptive_balance_p2,adaptive_balance,0.013335945003493962
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,reference_global_sqrt_fixed_3_to_1,reference_global,0.014218058964119476
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,reference_snr_blind_consensus,reference_consensus,-0.009882471196513466
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e05,per_modality_exponent,0.001560816412042778
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e0625,per_modality_exponent,0.001556004383083183
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e075,per_modality_exponent,0.0015509096491905525
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e0875,per_modality_exponent,0.0015455431985118631
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e10,per_modality_exponent,0.0015399157264300335
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p5,sqrt_weight,-0.006198000679045897
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p6,sqrt_weight,-0.003094473842610428
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p666667,sqrt_weight,-0.0010254559516534485
current15,erp-v6-localization-v5-development-04-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p75,sqrt_weight,0.001560816412042777
