scenario,metric,cases,configurations,v3_mean,v4_mean,config_mean_change,ci95_low,ci95_high
ALL,auc_tie_corrected,20,4,0.9831222859984429,0.9208137279215292,-0.062308558076913524,-0.15414491280319892,-0.001817976777593145
ALL,surface_auc_tie_corrected,15,3,0.9772825099007634,0.9893068646124312,0.012024354711667823,0.009297385620915043,0.014950069482596964
ALL,deep_auc_tie_corrected,15,3,0.9688888888888889,0.6311111111111111,-0.3377777777777778,-0.49333333333333335,-0.10000000000000002
ALL,surface_sd_mm,15,3,16.345990720693937,13.912685458565468,-2.4333052621284708,-11.399576129415037,10.55528559896505
ALL,surface_dle_mm,15,3,23.790038658910785,19.040137289035822,-4.749901369874967,-19.707973303964597,14.500254772437586
ALL,deep_sd_mm,5,2,0.0,3.4641016796653874,8.660254199163468,0.0,17.320508398326936
ALL,deep_dle_mm,5,2,0.0,3.4641016796653874,8.660254199163468,0.0,17.320508398326936
surface_only,auc_tie_corrected,5,1,0.9811958970710306,0.993288272263726,0.01209237519269546,0.01209237519269546,0.01209237519269546
surface_only,surface_auc_tie_corrected,5,1,0.9814483065953654,0.9932739156268567,0.011825609031491458,0.011825609031491458,0.011825609031491458
surface_only,surface_sd_mm,5,1,25.560260717316858,19.104635461381434,-6.455625255935425,-6.455625255935425,-6.455625255935425
surface_only,surface_dle_mm,5,1,34.684084967781374,25.642099389683477,-9.04198557809789,-9.04198557809789,-9.04198557809789
deep_only,auc_tie_corrected,5,1,0.9996006921336351,0.8001996539331824,-0.19940103820045255,-0.19940103820045255,-0.19940103820045255
deep_only,deep_auc_tie_corrected,5,1,1.0,0.9,-0.1,-0.1,-0.1
deep_only,deep_sd_mm,4,1,0.0,0.0,0.0,0.0,0.0
deep_only,deep_dle_mm,4,1,0.0,0.0,0.0,0.0,0.0
deep_plus_surface,auc_tie_corrected,5,1,0.98458761981672,0.941038587128261,-0.04354903268845896,-0.04354903268845896,-0.04354903268845896
deep_plus_surface,surface_auc_tie_corrected,5,1,0.9839780154486037,0.9932754010695188,0.009297385620915043,0.009297385620915043,0.009297385620915043
deep_plus_surface,deep_auc_tie_corrected,5,1,0.9866666666666667,0.49333333333333335,-0.49333333333333335,-0.49333333333333335,-0.49333333333333335
deep_plus_surface,surface_sd_mm,5,1,15.790483021528015,4.390906892112978,-11.399576129415037,-11.399576129415037,-11.399576129415037
deep_plus_surface,surface_dle_mm,5,1,27.50303503763381,7.795061733669215,-19.707973303964597,-19.707973303964597,-19.707973303964597
deep_plus_surface,deep_sd_mm,1,1,0.0,17.320508398326936,17.320508398326936,17.320508398326936,17.320508398326936
deep_plus_surface,deep_dle_mm,1,1,0.0,17.320508398326936,17.320508398326936,17.320508398326936,17.320508398326936
deep_plus_two_surface,auc_tie_corrected,5,1,0.9671049349723855,0.9487283983609475,-0.01837653661143803,-0.01837653661143803,-0.01837653661143803
deep_plus_two_surface,surface_auc_tie_corrected,5,1,0.966421207658321,0.9813712771409181,0.014950069482596962,0.014950069482596962,0.014950069482596962
deep_plus_two_surface,deep_auc_tie_corrected,5,1,0.9199999999999999,0.5,-0.42000000000000004,-0.42000000000000004,-0.42000000000000004
deep_plus_two_surface,surface_sd_mm,5,1,7.687228423236943,18.242514022201995,10.55528559896505,10.55528559896505,10.55528559896505
deep_plus_two_surface,surface_dle_mm,5,1,9.182995971317183,23.68325074375477,14.500254772437586,14.500254772437586,14.500254772437586
