manifest_sha256,chunk_index,chunk_file,case_number,case_id,configuration_number,configuration_id,pair_index,eeg_snr_db,meg_snr_db,scenario,surface_centers,deep_index,deep_surface_ratio,correlation,method,status,error,elapsed_seconds,temporal_rank,selected_templates,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count,setting
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v5,ok,,68.61036430002423,10,0,1,0.6259104938271605,0.9859554725483222,0.9863265002970886,nan,1.9540935901184084,8.072080287697393,11.94345982554302,nan,nan,0,0.5623163798042566,nan,0,1,5,2,3,admm_layer_smooth
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v5,ok,,52.190842500014696,10,0,0,1.0,1.0,nan,1.0,0.021858772498091848,nan,nan,0.0,0.0,1,1.0,0.0,1,0,2,1,1,admm_layer_smooth
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4598,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,86,erp-v3-development-source-086-deep_plus_surface,24,5,5,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v5,ok,,76.03418959997362,10,0,1,0.8822530864197531,0.9937080860924827,0.9936051693404635,1.0,1.6581924268596195,6.039374040353783,4.2852815273583476,9.321420388786008,0.0,1,1.0,0.0,1,0,6,4,2,admm_layer_smooth
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4666,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,154,erp-v3-development-source-154-deep_plus_two_surface,24,5,5,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v5,ok,,129.18968759995187,10,0,1,0.7315943101044112,0.9818590771423481,0.9818698897973692,0.9333333333333333,1.9282669606101097,9.268604141328263,14.189386287490997,14.033742225571963,10.00000054854849,1,1.0,10.00000054854849,1,0,10,7,3,admm_layer_smooth
