version,configuration_count,snr_pair_count,solver_converged_cases,deep_decision_changes_after_standardization,true_deep_cases,true_surface_only_cases,deep_TP,deep_FP,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
v3,4,5,not_applicable,0,15,5,11,2,20,4,0.9671303757269666,0.9831222859984429,0.9772825099007634,0.9688888888888889,0.7982347207140486,16.345990720693937,23.790038658910785,6.912728400453469,3.4154038501226855,0.6526609681150937,3.4154038501226855,116.7,110.65,6.05,16.345990720693937,23.790038658910785,62.40776316167396,62.40776316167396,0.7333333333333333,0.6,0.6666666666666666
v4,4,5,8,0,15,5,4,0,20,4,0.7820038909720097,0.9208137279215292,0.9893068646124312,0.6311111111111111,1.2138605734923549,13.912685458565468,19.040137289035822,3.4641016796653874,3.4641016796653874,0.2194211844883105,3.4641016796653874,7.75,7.5,0.25,13.912685458565468,19.040137289035822,171.62134869460337,171.62134869460337,0.26666666666666666,1.0,0.6333333333333333
v5,4,5,17,0,15,5,11,5,20,4,0.8473665824915825,0.9880102271970868,0.9838358684455587,0.9777777777777779,1.2017250522806056,8.61946898138534,11.481901987855903,7.944254641337024,6.243831061048178,0.9139002721333531,6.243831061048178,5.8,3.6,2.2,8.61946898138534,11.481901987855903,65.68408930304764,63.07442986491053,0.7333333333333333,0.0,0.36666666666666664
