version,manifest_sha256,chunk_index,chunk_file,case_number,case_id,configuration_number,configuration_id,pair_index,eeg_snr_db,meg_snr_db,scenario,surface_centers,deep_index,deep_surface_ratio,correlation,method,status,error,elapsed_seconds,temporal_rank,selected_templates,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count,original_deep_detected,original_deep_false_positive,original_deep_threshold,comparison_deep_threshold,solver_converged,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7964,erp-v3-development-07964-deep_only-eeg+20-meg-10,68,erp-v3-development-source-068-deep_only,42,20,-10,deep_only,[],7498,,,OASTER-ERP-v4,ok,,17.448063399991952,3,0,0,1.0,1.0,nan,1.0,0.004260724684540168,nan,nan,0.0,0.0,1,1.0,0.0,1,0,4,3,1,1,0,0.14,0.14,0,nan,nan,0.0,0.0
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7964,erp-v3-development-07964-deep_only-eeg+20-meg-10,68,erp-v3-development-source-068-deep_only,42,20,-10,deep_only,[],7498,,,OASTER-ERP-v5,ok,,62.51932459999807,10,0,0,1.0,1.0,nan,1.0,0.004202813030551279,nan,nan,0.0,0.0,1,1.0,0.0,1,0,2,1,1,1,0,0.14,0.14,1,nan,nan,0.0,0.0
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7982,erp-v3-development-07982-deep_plus_surface-eeg+20-meg-10,86,erp-v3-development-source-086-deep_plus_surface,42,20,-10,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v3,ok,,2.414275600007386,3,4,1,0.9980246913580246,0.999269688564306,0.9992275698158052,1.0,0.5741178735052963,4.568727081843027,12.18186744690015,0.0,0.0,1,1.0,0.0,1,0,22,21,1,1,0,0.125,0.14,,4.568727081843027,12.18186744690015,0.0,0.0
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7982,erp-v3-development-07982-deep_plus_surface-eeg+20-meg-10,86,erp-v3-development-source-086-deep_plus_surface,42,20,-10,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v4,ok,,48.320104599988554,3,0,1,0.7211651234567901,0.94237912994628,0.9946672608437315,0.5,1.4436643451221018,8.370719396625386,7.28359507759414,nan,nan,1,0.0,nan,0,0,18,18,0,0,0,0.14,0.14,0,8.370719396625386,7.28359507759414,234.02911185627735,234.02911185627735
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7982,erp-v3-development-07982-deep_plus_surface-eeg+20-meg-10,86,erp-v3-development-source-086-deep_plus_surface,42,20,-10,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v5,ok,,322.44896939996397,10,0,1,0.8533179012345679,0.9863277272567677,0.9856654783125371,1.0,1.4501002523345807,11.391008179645699,27.054572893232315,0.0,0.0,1,1.0,0.0,1,0,16,15,1,1,0,0.14,0.14,0,11.391008179645699,27.054572893232315,0.0,0.0
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,8050,erp-v3-development-08050-deep_plus_two_surface-eeg+20-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,42,20,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v3,ok,,2.669118799996795,3,4,1,0.9489446655103221,0.9698512381970426,0.9689567453520529,1.0,0.7839194558389901,3.3176059728796434,8.447471541282145,0.0,0.0,1,1.0,0.0,1,0,14,13,1,1,0,0.125,0.14,,3.3176059728796434,8.447471541282145,0.0,0.0
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,8050,erp-v3-development-08050-deep_plus_two_surface-eeg+20-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,42,20,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v4,ok,,52.326333899982274,3,0,1,0.6104657687991022,0.9466394975948688,0.9792060055124399,0.5,1.8291581458652189,17.458260962825367,29.447914993105393,nan,nan,1,0.0,nan,0,0,21,21,0,0,0,0.14,0.14,0,17.458260962825367,29.447914993105393,234.02911185627735,234.02911185627735
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,8050,erp-v3-development-08050-deep_plus_two_surface-eeg+20-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,42,20,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v5,ok,,727.6291601999546,10,0,1,0.7374223718668164,0.8709825405309104,0.8666718990217034,0.9333333333333333,1.6033236716345756,21.908421272235735,25.051935779765806,18.45114161212093,14.142136204249597,1,1.0,14.142136204249597,0,0,10,6,4,0,0,0.14,0.14,0,21.908421272235735,25.051935779765806,234.02911185627735,234.02911185627735
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,48,eeg_+20_meg_+20.csv,9024,erp-v3-development-09024-surface_only-eeg+20-meg+20,0,erp-v3-development-source-000-surface_only,48,20,20,surface_only,[1317],,,,OASTER-ERP-v3,ok,,2.2962729999999283,3,4,1,0.9193672839506172,0.985525613660619,0.9858882947118242,nan,1.0331212978039053,12.19308477799359,24.559202384896793,nan,nan,0,0.8958352612068344,nan,0,1,11,10,1,0,1,0.125,0.14,,12.19308477799359,24.559202384896793,nan,nan
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,48,eeg_+20_meg_+20.csv,9024,erp-v3-development-09024-surface_only-eeg+20-meg+20,0,erp-v3-development-source-000-surface_only,48,20,20,surface_only,[1317],,,,OASTER-ERP-v4,ok,,40.53893010003958,3,0,1,0.9971913580246914,0.9988141823787502,0.9988116458704694,nan,1.00778721432085,1.4647967939517754,6.592432793018648,nan,nan,0,0.0,nan,0,0,2,2,0,0,0,0.14,0.14,0,1.4647967939517754,6.592432793018648,nan,nan
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,48,eeg_+20_meg_+20.csv,9024,erp-v3-development-09024-surface_only-eeg+20-meg+20,0,erp-v3-development-source-000-surface_only,48,20,20,surface_only,[1317],,,,OASTER-ERP-v5,ok,,672.8024556000018,10,0,1,0.8525,0.9955087157595162,0.9960710041592395,nan,1.3376031183640702,0.0,6.592432793018648,nan,nan,0,0.3116831609645207,nan,0,1,6,1,5,0,1,0.14,0.14,1,0.0,6.592432793018648,nan,nan
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,48,eeg_+20_meg_+20.csv,9092,erp-v3-development-09092-deep_only-eeg+20-meg+20,68,erp-v3-development-source-068-deep_only,48,20,20,deep_only,[],7498,,,OASTER-ERP-v3,ok,,1.5073206999950344,3,3,0,1.0,1.0,nan,1.0,0.2914521241089385,nan,nan,0.0,0.0,1,1.0,0.0,1,0,412,411,1,1,0,0.125,0.14,,nan,nan,0.0,0.0
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,48,eeg_+20_meg_+20.csv,9092,erp-v3-development-09092-deep_only-eeg+20-meg+20,68,erp-v3-development-source-068-deep_only,48,20,20,deep_only,[],7498,,,OASTER-ERP-v4,ok,,21.915308899944648,3,0,0,1.0,1.0,nan,1.0,0.0007146645522813976,nan,nan,0.0,0.0,1,1.0,0.0,1,0,23,22,1,1,0,0.14,0.14,0,nan,nan,0.0,0.0
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,48,eeg_+20_meg_+20.csv,9092,erp-v3-development-09092-deep_only-eeg+20-meg+20,68,erp-v3-development-source-068-deep_only,48,20,20,deep_only,[],7498,,,OASTER-ERP-v5,ok,,330.4505142000271,10,0,0,1.0,1.0,nan,1.0,0.0008281358283743225,nan,nan,0.0,0.0,1,1.0,0.0,1,0,2,1,1,1,0,0.14,0.14,1,nan,nan,0.0,0.0
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,48,eeg_+20_meg_+20.csv,9110,erp-v3-development-09110-deep_plus_surface-eeg+20-meg+20,86,erp-v3-development-source-086-deep_plus_surface,48,20,20,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v3,ok,,2.1946197999932338,3,4,1,0.9986882716049382,0.9993399108177381,0.9993018419489008,1.0,0.49524238905095014,3.344676273846768,11.506110153272395,0.0,0.0,1,1.0,0.0,1,0,26,25,1,1,0,0.125,0.14,,3.344676273846768,11.506110153272395,0.0,0.0
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,48,eeg_+20_meg_+20.csv,9110,erp-v3-development-09110-deep_plus_surface-eeg+20-meg+20,86,erp-v3-development-source-086-deep_plus_surface,48,20,20,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v4,ok,,38.56651919998694,3,0,1,0.7348533950617284,0.9462237983216881,0.9988636363636364,0.4666666666666667,1.2637067148899548,0.0,6.592432793018648,17.320508398326936,17.320508398326936,1,0.38842368976620995,17.320508398326936,0,0,2,1,1,0,0,0.14,0.14,0,0.0,6.592432793018648,234.02911185627735,234.02911185627735
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,48,eeg_+20_meg_+20.csv,9110,erp-v3-development-09110-deep_plus_surface-eeg+20-meg+20,86,erp-v3-development-source-086-deep_plus_surface,48,20,20,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v5,ok,,622.7398161999881,10,0,1,0.9566049382716049,0.998504266001896,0.9984848484848485,1.0,0.9213613749518076,0.0,6.592432793018648,0.0,0.0,1,0.5790794873178104,0.0,1,0,3,2,1,1,0,0.14,0.14,1,0.0,6.592432793018648,0.0,0.0
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,48,eeg_+20_meg_+20.csv,9178,erp-v3-development-09178-deep_plus_two_surface-eeg+20-meg+20,154,erp-v3-development-source-154-deep_plus_two_surface,48,20,20,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v3,ok,,2.642133000015747,3,4,1,0.9629237662823521,0.9890566541956173,0.9887211970397182,1.0,0.6020839625224819,1.9220636120113082,4.059672416888804,0.0,0.0,1,1.0,0.0,1,0,20,19,1,1,0,0.125,0.14,,1.9220636120113082,4.059672416888804,0.0,0.0
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,48,eeg_+20_meg_+20.csv,9178,erp-v3-development-09178-deep_plus_two_surface-eeg+20-meg+20,154,erp-v3-development-source-154-deep_plus_two_surface,48,20,20,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v4,ok,,29.43874490004964,3,0,1,0.8193780396558173,0.9646690717976123,0.9978947465616501,0.5,0.9214040679328619,1.214334305597673,7.2071419747509875,nan,nan,1,0.0,nan,0,0,7,7,0,0,0,0.14,0.14,0,1.214334305597673,7.2071419747509875,234.02911185627735,234.02911185627735
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,48,eeg_+20_meg_+20.csv,9178,erp-v3-development-09178-deep_plus_two_surface-eeg+20-meg+20,154,erp-v3-development-source-154-deep_plus_two_surface,48,20,20,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v5,ok,,704.3307808999671,10,0,1,0.968105975580723,0.9975904151077856,0.9976962248558409,1.0,0.6209268229055289,1.8649084623368104,7.2071419747509875,0.0,0.0,1,1.0,0.0,1,0,10,9,1,1,0,0.14,0.14,1,1.8649084623368104,7.2071419747509875,0.0,0.0
