eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
-10,-10,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.3800662428541284,nan,nan,0.0,0.0,1.0,0.0,269.125,nan,nan,0.0,0.0,1.0,nan,nan
-10,-10,deep_plus_surface,case_weighted_within_scenario,68,1,0.7002419559793973,0.9429551958797397,0.9420327787756049,5.811333993553425,6.679727053967092,20.588038935765045,19.52560159576927,0.0669011287099567,19.52560159576927,18.176470588235293,5.811333993553425,6.679727053967092,20.588038935765045,19.52560159576927,0.058823529411764705,nan,nan
-10,-10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7691956707608243,0.9007423807547293,1.1544956822261176,4.146780342840197,11.393332537503019,21.664707492286453,19.42563149811255,0.048616670170313354,19.42563149811255,17.38235294117647,4.146780342840197,11.393332537503019,21.664707492286453,19.42563149811255,0.058823529411764705,nan,nan
-10,-10,surface_only,case_weighted_within_scenario,68,1,0.9438889513666645,0.9786987664839728,0.7153891173683761,4.805558892027923,7.887915842994526,nan,nan,0.0025725648933654604,nan,16.779411764705884,4.805558892027923,7.887915842994526,nan,nan,nan,1.0,nan
-10,-5,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.30289924297530446,nan,nan,0.0,0.0,1.0,0.0,347.625,nan,nan,0.0,0.0,1.0,nan,nan
-10,-5,deep_plus_surface,case_weighted_within_scenario,68,1,0.7141997036965545,0.940391774023425,0.9231479447605371,4.5249544904017736,6.808525206512723,18.010341362666054,17.65852600326236,0.17734639464968732,17.65852600326236,15.705882352941176,4.5249544904017736,6.808525206512723,18.010341362666054,17.65852600326236,0.19117647058823528,nan,nan
-10,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7906921802263991,0.9100552893339777,1.131802752530723,4.523463691317245,12.071282009591252,15.860625157394907,14.223800184427455,0.19438368854850094,14.223800184427455,12.117647058823529,4.523463691317245,12.071282009591252,15.860625157394907,14.223800184427455,0.23529411764705882,nan,nan
-10,-5,surface_only,case_weighted_within_scenario,68,1,0.9408198452956296,0.9754089367207955,0.7187645085007411,2.955500688301821,5.028926925756298,nan,nan,0.0030453404258198075,nan,17.38235294117647,2.955500688301821,5.028926925756298,nan,nan,nan,1.0,nan
-10,0,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.3112713216225491,nan,nan,0.0,0.0,1.0,0.0,411.125,nan,nan,0.0,0.0,1.0,nan,nan
-10,0,deep_plus_surface,case_weighted_within_scenario,68,1,0.7614850746409662,0.9486388499740325,0.9323238983640636,3.6432234205230403,6.31230558514791,15.44714212668049,16.27085140089685,0.2596861806096399,16.27085140089685,16.014705882352942,3.6432234205230403,6.31230558514791,15.44714212668049,16.27085140089685,0.3235294117647059,nan,nan
-10,0,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7824790593321667,0.9000825523555512,1.126224841899617,4.9198557599976205,15.469925306884177,19.089501805015992,17.611260563519192,0.11847074766886809,17.611260563519192,16.235294117647058,4.9198557599976205,15.469925306884177,19.089501805015992,17.611260563519192,0.17647058823529413,nan,nan
-10,0,surface_only,case_weighted_within_scenario,68,1,0.9296157886442367,0.9728502552802262,0.7734454820629217,3.1770750704382533,5.633228439116133,nan,nan,0.004255053910578301,nan,18.16176470588235,3.1770750704382533,5.633228439116133,nan,nan,nan,1.0,nan
-10,5,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.29476130268425804,nan,nan,0.0,0.0,1.0,0.0,429.3125,nan,nan,0.0,0.0,1.0,nan,nan
-10,5,deep_plus_surface,case_weighted_within_scenario,68,1,0.7872547039696826,0.9491314580694459,0.9159175442571593,5.0515486517652155,6.699270557690996,11.504610900663046,11.230717710900047,0.31840874579741874,11.230717710900047,15.455882352941176,5.0515486517652155,6.699270557690996,11.504610900663046,11.230717710900047,0.4411764705882353,nan,nan
-10,5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7771968290294771,0.8946300991676582,1.1834156542968046,5.310112529534351,11.72756517387159,16.39613937473667,15.46888847795157,0.13952874554709305,15.46888847795157,16.823529411764707,5.310112529534351,11.72756517387159,16.39613937473667,15.46888847795157,0.17647058823529413,nan,nan
