eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_score,deep_peak_distance_mm,active_count,deep_sensitivity,deep_specificity,deep_balanced_accuracy
-10,-10,scenario_macro,186,4,0.8533316445267215,0.9555990857796105,0.7979959553060567,4.921224409473848,8.65365847815488,14.084248809350498,12.983744364627276,4.921224409473848,8.65365847815488,14.084248809350498,12.983744364627276,0.2795225909434089,12.983744364627276,80.36580882352942,0.37254901960784315,1.0,0.6862745098039216
-10,-5,scenario_macro,186,4,0.8614279323046459,0.9564640000195496,0.7691536121918264,4.001306290006947,7.969578047286759,11.290322173353653,10.62744206256327,4.001306290006947,7.969578047286759,11.290322173353653,10.62744206256327,0.343693855906002,10.62744206256327,98.20772058823529,0.4754901960784314,1.0,0.7377450980392157
-10,0,scenario_macro,186,4,0.8683949806543424,0.9553929144024524,0.7858163859872879,3.9133847503196377,9.138486443716074,11.512214643898828,11.294037321472013,3.9133847503196377,9.138486443716074,11.512214643898828,11.294037321472013,0.3456029955472716,11.294037321472013,115.3841911764706,0.5,1.0,0.75
-10,5,scenario_macro,186,4,0.8718175632413775,0.9533318010257225,0.8030032281796299,4.5600098031982155,8.25630700853449,9.300250091799905,8.899868729617205,4.5600098031982155,8.25630700853449,9.300250091799905,8.899868729617205,0.3656257607154339,8.899868729617205,119.83180147058823,0.5392156862745098,1.0,0.7696078431372548
-10,10,scenario_macro,186,4,0.8648148293966809,0.9486987405992919,0.8397894945638437,4.465577719987953,9.325904570112812,9.920599082782253,8.981707630698383,4.465577719987953,9.325904570112812,9.920599082782253,8.981707630698383,0.34238244541830376,8.981707630698383,122.20496323529412,0.5196078431372548,1.0,0.7598039215686274
-10,15,scenario_macro,186,4,0.8729322913315961,0.9538337883115607,0.8289801020454627,5.000813230419798,9.758817525497491,9.397176051294808,8.46545628140465,5.000813230419798,9.758817525497491,9.397176051294808,8.46545628140465,0.36727311166327203,8.46545628140465,113.90808823529412,0.5882352941176471,1.0,0.7941176470588236
-10,20,scenario_macro,186,4,0.8685649855277972,0.9500023016530278,0.8655478540322059,4.670792354460122,8.567090143769958,9.077384910787801,8.251274275371017,4.670792354460122,8.567090143769958,9.077384910787801,8.251274275371017,0.3500045120493233,8.251274275371017,133.85845588235296,0.5588235294117647,1.0,0.7794117647058824
-5,-10,scenario_macro,186,4,0.8797865645271964,0.9671872842706385,0.7042980521702894,3.4318488109392473,8.680600041023055,11.409126116860293,10.699958080895025,3.4318488109392473,8.680600041023055,11.409126116860293,10.699958080895025,0.3531637846428658,10.699958080895025,64.04595588235294,0.4901960784313726,1.0,0.7450980392156863
-5,-5,scenario_macro,186,4,0.880624360464368,0.9652846313898749,0.7200389416801455,2.7662863859706284,8.583366744798901,10.159559005540027,9.310318647844875,2.7662863859706284,8.583366744798901,10.159559005540027,9.310318647844875,0.37024729592701944,9.310318647844875,77.22702205882354,0.5343137254901961,1.0,0.767156862745098
-5,0,scenario_macro,186,4,0.886642593983237,0.9626670631696517,0.7391429574371748,3.354482229703411,8.467482761617873,8.709056298193945,8.312868084981107,3.354482229703411,8.467482761617873,8.709056298193945,8.312868084981107,0.3922910359938932,8.312868084981107,118.44577205882352,0.5833333333333334,1.0,0.7916666666666667
