eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
-10,-10,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,0.3381828942993127,nan,nan,0.0,0.0,1.0,0.0,299.0,nan,nan,0.0,0.0,1.0,nan,nan
-10,-10,deep_plus_surface,case_weighted_within_scenario,68,1,0.8219893773054872,0.957521086106488,0.8768933354500603,6.930900549573229,7.354936647357794,14.271747319563321,13.771588068958678,0.28127233637004684,13.771588068958678,17.147058823529413,6.930900549573229,7.354936647357794,14.271747319563321,13.771588068958678,0.29411764705882354,nan,nan
-10,-10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.844458127383344,0.9259432064625703,1.0980303510902027,5.725545122636691,16.12693136397609,17.18471013836451,15.555863850334894,0.14814274249403178,15.555863850334894,15.382352941176471,5.725545122636691,16.12693136397609,17.18471013836451,15.555863850334894,0.14705882352941177,nan,nan
-10,-10,surface_only,case_weighted_within_scenario,68,1,0.951523900435815,0.9822092822016097,0.6744089653836101,4.431600867963291,6.532098147109274,nan,nan,0.0031035209774486977,nan,18.63235294117647,4.431600867963291,6.532098147109274,nan,nan,nan,1.0,nan
-10,-5,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,0.27039470602786003,nan,nan,0.0,0.0,1.0,0.0,311.46666666666664,nan,nan,0.0,0.0,1.0,nan,nan
-10,-5,deep_plus_surface,case_weighted_within_scenario,68,1,0.8330313403173956,0.9579190345536395,0.8492508698367975,4.456463418088598,5.599452447536436,11.492649106532383,11.116451016851808,0.3734222341064705,11.116451016851808,15.117647058823529,4.456463418088598,5.599452447536436,11.492649106532383,11.116451016851808,0.4411764705882353,nan,nan
-10,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8438136454618704,0.9071271476643198,1.0563789169445748,5.195386631780692,12.622152512195768,13.265381734536634,13.48863372046047,0.35311100394011247,13.48863372046047,13.852941176470589,5.195386631780692,12.622152512195768,13.265381734536634,13.48863372046047,0.38235294117647056,nan,nan
-10,-5,surface_only,case_weighted_within_scenario,68,1,0.9401348667334566,0.9785759183685387,0.7225597381237695,3.826404086134146,7.773045042938473,nan,nan,0.003982078385772938,nan,18.044117647058822,3.826404086134146,7.773045042938473,nan,nan,nan,1.0,nan
-10,0,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,0.30228874950915036,nan,nan,0.0,0.0,1.0,0.0,404.3333333333333,nan,nan,0.0,0.0,1.0,nan,nan
-10,0,deep_plus_surface,case_weighted_within_scenario,68,1,0.8826107634548155,0.9645727209194912,0.7745141061502904,4.631499637355439,6.091959945199663,6.330261939868711,5.1646611005628,0.5572965277593102,5.1646611005628,14.838235294117647,4.631499637355439,6.091959945199663,6.330261939868711,5.1646611005628,0.6911764705882353,nan,nan
-10,0,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8719091211464839,0.9082122786642525,1.0141075041454957,3.857927516405325,16.702073406837847,8.69972973418907,7.573545085478743,0.45738596958639854,7.573545085478743,12.676470588235293,3.857927516405325,16.702073406837847,8.69972973418907,7.573545085478743,0.5588235294117647,nan,nan
-10,0,surface_only,case_weighted_within_scenario,68,1,0.9370922506112773,0.9737084761536549,0.7738266238888917,3.019089947565785,5.783135746055428,nan,nan,0.015240131658408347,nan,17.220588235294116,3.019089947565785,5.783135746055428,nan,nan,nan,0.9705882352941176,nan
-10,5,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,0.25084970699414577,nan,nan,0.0,0.0,1.0,0.0,302.06666666666666,nan,nan,0.0,0.0,1.0,nan,nan
-10,5,deep_plus_surface,case_weighted_within_scenario,68,1,0.8504171333285371,0.9588590973934972,0.9055978161059266,7.575481516550481,12.119029302187181,7.3226571363203465,6.726973552190021,0.5152350973789575,6.726973552190021,13.132352941176471,7.575481516550481,12.119029302187181,7.3226571363203465,6.726973552190021,0.6617647058823529,nan,nan
-10,5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8399553017468749,0.8922520038996484,1.1164429037713521,7.13169976217393,17.009611689749764,10.539259841213005,9.594214534392146,0.38565753077106824,9.594214534392146,13.529411764705882,7.13169976217393,17.009611689749764,10.539259841213005,9.594214534392146,0.47058823529411764,nan,nan
-10,5,surface_only,case_weighted_within_scenario,68,1,0.9196273812820175,0.9703669786773103,0.7964625945718554,2.744211044272377,6.203898018769935,nan,nan,0.010660398995830734,nan,17.044117647058822,2.744211044272377,6.203898018769935,nan,nan,nan,0.9852941176470589,nan
-10,10,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,0.29788117586356794,nan,nan,0.0,0.0,1.0,0.0,393.6666666666667,nan,nan,0.0,0.0,1.0,nan,nan
-10,10,deep_plus_surface,case_weighted_within_scenario,68,1,0.8611468602467901,0.9532853864270209,0.8593978155682811,6.196182576703067,7.538273443892756,6.700946396441906,6.814827452251366,0.549387162122255,6.814827452251366,12.970588235294118,6.196182576703067,7.538273443892756,6.700946396441906,6.814827452251366,0.7058823529411765,nan,nan
-10,10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8420410872375375,0.9045768806316709,1.1035894572317857,5.854600209083311,12.955162740876453,9.858010417259754,10.28980668048148,0.4241687046116478,10.28980668048148,14.205882352941176,5.854600209083311,12.955162740876453,9.858010417259754,10.28980668048148,0.5294117647058824,nan,nan
-10,10,surface_only,case_weighted_within_scenario,68,1,0.9154391908493105,0.9662629534076184,0.8508311634485846,2.7951624112197493,5.891727552082225,nan,nan,0.009299948786849378,nan,17.852941176470587,2.7951624112197493,5.891727552082225,nan,nan,nan,0.9852941176470589,nan
-10,15,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,0.28812404646705925,nan,nan,0.0,0.0,1.0,0.0,382.93333333333334,nan,nan,0.0,0.0,1.0,nan,nan
-10,15,deep_plus_surface,case_weighted_within_scenario,68,1,0.869278906064494,0.9577685971470956,0.8769297512189795,6.521208103848512,9.06937903606285,5.025573088517128,4.956981720839527,0.6101452085618079,4.956981720839527,13.75,6.521208103848512,9.06937903606285,5.025573088517128,4.956981720839527,0.75,nan,nan
-10,15,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.8474483111092563,0.8958593541262975,1.1239005493146488,6.66666127437725,16.91662209147043,7.483172358272815,6.6209772944251375,0.42438397966526853,6.6209772944251375,12.235294117647058,6.66666127437725,16.91662209147043,7.483172358272815,6.6209772944251375,0.5882352941176471,nan,nan
-10,15,surface_only,case_weighted_within_scenario,68,1,0.9238368725515032,0.9702343136853119,0.8235435244665591,3.1967324075681485,5.987888977979449,nan,nan,0.006566547115818664,nan,18.88235294117647,3.1967324075681485,5.987888977979449,nan,nan,nan,0.9852941176470589,nan
-10,20,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,0.3058866767704449,nan,nan,0.0,0.0,1.0,0.0,433.8,nan,nan,0.0,0.0,1.0,nan,nan
