eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
-10,-10,case_weighted,185,4,0.8881647525267148,0.964236400349611,0.7994288205851144,5.690109591541945,8.780200190582045,13.288538140467512,12.524507347013474,0.2128346569969015,12.524507347013474,40.22162162162162,5.690109591541945,8.780200190582045,13.288538140467512,12.524507347013474,0.3418803418803419,1.0,0.670940170940171
-10,-5,case_weighted,185,4,0.8879187352711434,0.9595890801042972,0.7938158113937945,4.352224328045236,7.873429498629117,10.534385625798699,10.380617227705802,0.28469874261316963,10.380617227705802,39.98918918918919,4.352224328045236,7.873429498629117,10.534385625798699,10.380617227705802,0.49572649572649574,1.0,0.7478632478632479
-10,0,case_weighted,185,4,0.9101876490566203,0.960445075003019,0.7800062487905324,3.831821337249554,8.090452957869607,6.207253186952996,5.202542630295279,0.3755871124667157,5.202542630295279,46.8972972972973,3.831821337249554,8.090452957869607,6.207253186952996,5.202542630295279,0.6923076923076923,0.9705882352941176,0.8314479638009049
-10,5,case_weighted,185,4,0.8860622013670889,0.9541834665156915,0.8511454716714991,5.55421697676393,10.7310932663328,7.318594186931845,6.697756373660293,0.34526080972811846,6.697756373660293,38.07027027027027,5.55421697676393,10.7310932663328,7.318594186931845,6.697756373660293,0.6495726495726496,0.9852941176470589,0.8174333836098542
-10,10,case_weighted,185,4,0.8888499915708711,0.9528913570282826,0.8555990797674652,4.76745803698579,7.963032946565283,6.759288112349413,6.950954648627891,0.36439167296548713,6.950954648627891,45.85945945945946,4.76745803698579,7.963032946565283,6.759288112349413,6.950954648627891,0.6923076923076923,0.9852941176470589,0.8388009049773756
-10,15,case_weighted,185,4,0.8959195433708245,0.9543968431183667,0.8549549303801111,5.220508459442115,9.406231623911006,5.095442993166158,4.805025513055918,0.38575921456593376,4.805025513055918,45.29189189189189,5.220508459442115,9.406231623911006,5.095442993166158,4.805025513055918,0.7350427350427351,0.9852941176470589,0.860168426344897
-10,20,case_weighted,185,4,0.8983597363075329,0.9528078018174425,0.854405954399353,5.45183252510914,9.307054088985174,6.517813757289229,6.223815280770216,0.35271017075582217,6.223815280770216,50.54054054054054,5.45183252510914,9.307054088985174,6.517813757289229,6.223815280770216,0.6495726495726496,0.9558823529411765,0.8027275012569131
-5,-10,case_weighted,185,4,0.8910083664371932,0.9683095153238137,0.7480538333302476,2.5160216821543426,7.42581838890869,12.783292696606356,12.602764756393501,0.23148228081608496,12.602764756393501,33.76216216216216,2.5160216821543426,7.42581838890869,12.783292696606356,12.602764756393501,0.4017094017094017,1.0,0.7008547008547008
-5,-5,case_weighted,185,4,0.9017657555071152,0.9697449415353209,0.7328804727009205,3.012135871354513,7.067017965969492,8.753658539669743,8.274132885216993,0.3323989376118021,8.274132885216993,33.497297297297294,3.012135871354513,7.067017965969492,8.753658539669743,8.274132885216993,0.5897435897435898,1.0,0.7948717948717949
-5,0,case_weighted,185,4,0.9217438103617109,0.9692550616157728,0.7234681877901368,3.343564845783333,7.175336823631866,5.996901038167952,5.566597353640325,0.3561714253257412,5.566597353640325,42.90810810810811,3.343564845783333,7.175336823631866,5.996901038167952,5.566597353640325,0.6752136752136753,1.0,0.8376068376068376
-5,5,case_weighted,185,4,0.9078389846432993,0.9630430976884797,0.7859723588452681,4.442431633204775,7.91685888370752,5.977597585695351,5.673600016072127,0.3737838552060614,5.673600016072127,45.32972972972973,4.442431633204775,7.91685888370752,5.977597585695351,5.673600016072127,0.6923076923076923,0.9705882352941176,0.8314479638009049
