subject,run,component,lock,method,n_trials,baseline_start_ms,baseline_stop_ms,window_start_ms,window_stop_ms,sensor_gfp_peak_ms,localization_available,aggregation,roi,roi_vertices,roi_mass_pct,roi_enrichment,peak_distance_to_roi_mm,peak_label,peak_hemi,roi_used_before_inverse,available_runs
sm09,2,MEFI_response_20_60ms,response,eLORETA,38,-1500.0,-1000.0,20.0,60.0,32.86799839511727,True,single_run,right_precentral,147,9.275509545666802,2.965008119393762,0.0,precentral-rh,right,False,
sm09,2,MEFI_response_20_60ms,response,eLORETA,38,-1500.0,-1000.0,20.0,60.0,32.86799839511727,True,single_run,right_postcentral,117,9.006234450032828,3.617119288949082,8.037659297043334,precentral-rh,right,False,
sm09,2,MEFII_response_120_180ms,response,OASTER-ERP,38,-1500.0,-1000.0,120.0,180.0,146.41199285097693,False,single_run,right_precentral,147,,,,not_localized,none,False,
sm09,2,MEFII_response_120_180ms,response,OASTER-ERP,38,-1500.0,-1000.0,120.0,180.0,146.41199285097693,False,single_run,right_postcentral,117,,,,not_localized,none,False,
sm09,2,MEFII_response_120_180ms,response,dSPM,38,-1500.0,-1000.0,120.0,180.0,146.41199285097693,True,single_run,right_precentral,147,5.369225716061486,1.7163259618893143,40.77424892769796,superiorfrontal-lh,left,False,
sm09,2,MEFII_response_120_180ms,response,dSPM,38,-1500.0,-1000.0,120.0,180.0,146.41199285097693,True,single_run,right_postcentral,117,2.5096831511440083,1.0079488142927946,49.91535583114979,superiorfrontal-lh,left,False,
sm09,2,MEFII_response_120_180ms,response,eLORETA,38,-1500.0,-1000.0,120.0,180.0,146.41199285097693,True,single_run,right_precentral,147,6.126520178527969,1.9584026067280904,40.77424892769796,superiorfrontal-lh,left,False,
sm09,2,MEFII_response_120_180ms,response,eLORETA,38,-1500.0,-1000.0,120.0,180.0,146.41199285097693,True,single_run,right_postcentral,117,3.124580836702945,1.254906440313431,49.91535583114979,superiorfrontal-lh,left,False,
sm09,3,MF_response_-80_-20ms,response,OASTER-ERP,37,-1500.0,-1000.0,-80.0,-20.0,-54.779997325195446,True,single_run,right_precentral,147,0.0,0.0,18.10901360534062,superiorfrontal-rh,right,False,
sm09,3,MF_response_-80_-20ms,response,OASTER-ERP,37,-1500.0,-1000.0,-80.0,-20.0,-54.779997325195446,True,single_run,right_postcentral,117,0.0,0.0,35.06929005623241,superiorfrontal-rh,right,False,
sm09,3,MF_response_-80_-20ms,response,dSPM,37,-1500.0,-1000.0,-80.0,-20.0,-54.779997325195446,True,single_run,right_precentral,147,4.825697662492996,1.5425818582350057,15.38657306925907,posteriorcingulate-rh,right,False,
sm09,3,MF_response_-80_-20ms,response,dSPM,37,-1500.0,-1000.0,-80.0,-20.0,-54.779997325195446,True,single_run,right_postcentral,117,1.2837670587448244,0.5155915734223873,27.998379251509547,posteriorcingulate-rh,right,False,
sm09,3,MF_response_-80_-20ms,response,eLORETA,37,-1500.0,-1000.0,-80.0,-20.0,-54.779997325195446,True,single_run,right_precentral,147,5.702059733446056,1.822719638602926,0.0,precentral-rh,right,False,
sm09,3,MF_response_-80_-20ms,response,eLORETA,37,-1500.0,-1000.0,-80.0,-20.0,-54.779997325195446,True,single_run,right_postcentral,117,1.587245496919414,0.6374757769251561,15.594080922392685,precentral-rh,right,False,
sm09,3,MEFI_response_20_60ms,response,OASTER-ERP,37,-1500.0,-1000.0,20.0,60.0,36.85199820058602,True,single_run,right_precentral,147,0.0,0.0,18.10901360534062,superiorfrontal-rh,right,False,
sm09,3,MEFI_response_20_60ms,response,OASTER-ERP,37,-1500.0,-1000.0,20.0,60.0,36.85199820058602,True,single_run,right_postcentral,117,0.0,0.0,35.06929005623241,superiorfrontal-rh,right,False,
sm09,3,MEFI_response_20_60ms,response,dSPM,37,-1500.0,-1000.0,20.0,60.0,36.85199820058602,True,single_run,right_precentral,147,9.048079742608648,2.8923079394910225,0.0,precentral-rh,right,False,
sm09,3,MEFI_response_20_60ms,response,dSPM,37,-1500.0,-1000.0,20.0,60.0,36.85199820058602,True,single_run,right_postcentral,117,5.682075269347792,2.2820574094585706,14.878107447067968,precentral-rh,right,False,
sm09,3,MEFI_response_20_60ms,response,eLORETA,37,-1500.0,-1000.0,20.0,60.0,36.85199820058602,True,single_run,right_precentral,147,10.186353276347958,3.256168302418984,6.218277396610623,postcentral-rh,right,False,
sm09,3,MEFI_response_20_60ms,response,eLORETA,37,-1500.0,-1000.0,20.0,60.0,36.85199820058602,True,single_run,right_postcentral,117,7.747346592860898,3.1115197982780654,0.0,postcentral-rh,right,False,
sm09,3,MEFII_response_120_180ms,response,OASTER-ERP,37,-1500.0,-1000.0,120.0,180.0,179.27999124609417,True,single_run,right_precentral,147,0.0,0.0,14.978703412200945,superiorfrontal-rh,right,False,
sm09,3,MEFII_response_120_180ms,response,OASTER-ERP,37,-1500.0,-1000.0,120.0,180.0,179.27999124609417,True,single_run,right_postcentral,117,0.0,0.0,32.429475091288936,superiorfrontal-rh,right,False,
sm09,3,MEFII_response_120_180ms,response,dSPM,37,-1500.0,-1000.0,120.0,180.0,179.27999124609417,True,single_run,right_precentral,147,4.289152151700326,1.3710697932544105,26.36727587551495,posteriorcingulate-lh,left,False,
sm09,3,MEFII_response_120_180ms,response,dSPM,37,-1500.0,-1000.0,120.0,180.0,179.27999124609417,True,single_run,right_postcentral,117,2.697626527295505,1.083431371945434,37.53890409934789,posteriorcingulate-lh,left,False,
sm09,3,MEFII_response_120_180ms,response,eLORETA,37,-1500.0,-1000.0,120.0,180.0,179.27999124609417,True,single_run,right_precentral,147,4.873670382304479,1.557916811323044,14.978703412200945,superiorfrontal-rh,right,False,
sm09,3,MEFII_response_120_180ms,response,eLORETA,37,-1500.0,-1000.0,120.0,180.0,179.27999124609417,True,single_run,right_postcentral,117,3.646152359567956,1.4643820459495576,32.429475091288936,superiorfrontal-rh,right,False,
sm09,pooled_1_2_3,MF_response_-80_-20ms,response,OASTER-ERP,75,-1500.0,-1000.0,-80.0,-20.0,,True,trial_weighted_source_power_RMS,right_precentral,147,0.0,0.0,18.10901360534062,superiorfrontal-rh,right,False,1;3
sm09,pooled_1_2_3,MF_response_-80_-20ms,response,OASTER-ERP,75,-1500.0,-1000.0,-80.0,-20.0,,True,trial_weighted_source_power_RMS,right_postcentral,117,0.0,0.0,35.06929005623241,superiorfrontal-rh,right,False,1;3
sm09,pooled_1_2_3,MF_response_-80_-20ms,response,dSPM,113,-1500.0,-1000.0,-80.0,-20.0,,True,trial_weighted_source_power_RMS,right_precentral,147,5.038304047876915,1.6105435864607909,12.055075490519611,superiorfrontal-rh,right,False,1;2;3
sm09,pooled_1_2_3,MF_response_-80_-20ms,response,dSPM,113,-1500.0,-1000.0,-80.0,-20.0,,True,trial_weighted_source_power_RMS,right_postcentral,117,1.8198719155241403,0.7309041137647809,32.78671951398107,superiorfrontal-rh,right,False,1;2;3
sm09,pooled_1_2_3,MF_response_-80_-20ms,response,eLORETA,113,-1500.0,-1000.0,-80.0,-20.0,,True,trial_weighted_source_power_RMS,right_precentral,147,5.805479534388836,1.8557787981015736,5.257108094875539,paracentral-rh,right,False,1;2;3
