subject,run,event32_total,event16_total,valid_pairs,isolated_event32,isolated_event16,invalid_rt_pairs,rt_min_ms,rt_median_ms,rt_mean_ms,rt_max_ms
sm09,1,40,41,40,0,1,0,172.30799158652385,252.48598767158265,273.00358666974677,764.9279626500019
sm09,2,40,45,40,0,5,0,214.13998954394583,273.40198665029357,275.07028656883364,348.59998297851644
sm09,3,40,38,38,2,0,0,200.19599022480517,285.3539860666999,310.0705111756278,717.1199649843767
