case_id,shape,parcel,method,eeg_snr_db,meg_snr_db,surface_true_count,surface_estimated_count,surface_dice_10pct_energy,elapsed_seconds,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,deep_sd_mm,surface_dle_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
shape_00_eeg-10_meg-10,uniform_1hop,postcentral-lh,OASTER-ERP-v3,-10,-10,7,2,0.0,0.7161720000440255,0.9395918367346938,0.9779634246132181,0.9792322215229705,nan,1.9069424338177101,60.18771957701271,nan,17.677392585802846,nan,0,0.041616223424899686,nan,0,0,18,2,16
shape_00_eeg-10_meg-10,uniform_1hop,postcentral-lh,OASTER-ERP-v4,-10,-10,7,20,0.0,6.379151000001002,0.4957142857142857,0.4959942149232145,0.49608101149951367,nan,2.000001446787299,71.9376375395429,nan,14.260313886858219,nan,0,3.931771829421183e-05,nan,0,0,33,20,13
shape_00_eeg+05_meg+05,uniform_1hop,postcentral-lh,OASTER-ERP-v3,5,5,7,9,0.875,0.6539145999704488,0.9993877551020408,0.999942910426459,0.999942788489044,nan,0.29042736340187253,1.3603343522025946,nan,0.7955892764969014,nan,0,0.04014624807165255,nan,0,0,25,9,16
shape_00_eeg+05_meg+05,uniform_1hop,postcentral-lh,OASTER-ERP-v4,5,5,7,5,0.8333333333333334,8.88760989997536,0.9282653061224491,0.9075339207216122,0.9073745637622289,nan,0.3553025045733816,0.0,nan,5.278166051369966,nan,0,8.075860964279411e-06,nan,0,0,16,5,11
shape_00_eeg-10_meg+20,uniform_1hop,postcentral-lh,OASTER-ERP-v3,-10,20,7,9,0.875,0.731066300009843,0.9993877551020408,0.999942910426459,0.999942788489044,nan,0.3688836998484412,1.3479375883485618,nan,0.7955892764969014,nan,0,0.0418682095244474,nan,0,0,25,9,16
shape_00_eeg-10_meg+20,uniform_1hop,postcentral-lh,OASTER-ERP-v4,-10,20,7,11,0.7777777777777778,10.520619700022507,0.9991836734693877,0.999923880568612,0.999923717985392,nan,0.2255093281707658,1.8698269682063489,nan,3.347747079379189,nan,0,1.2341239877659448e-06,nan,0,0,21,11,10
shape_01_eeg-10_meg-10,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v3,-10,-10,37,6,0.18604651162790697,0.7448030000086874,0.9389846603360117,0.9822735668663178,0.9833512644127843,nan,1.3973209156979156,51.95720043602012,nan,7.773499826938458,nan,0,0.040133358872829206,nan,0,0,22,6,16
shape_01_eeg-10_meg-10,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v4,-10,-10,37,17,0.0,6.9869549999712035,0.5482432432432433,0.39522644217040365,0.39530966430845804,nan,1.979474973872067,61.12315570017933,nan,70.76020938861551,nan,0,2.665245611294237e-05,nan,0,0,32,17,15
shape_01_eeg+05_meg+05,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v3,5,5,37,22,0.6101694915254238,0.7329588000429794,0.9787582176771366,0.9945309760743757,0.994646033246757,nan,0.5318816456468258,1.2674361859624277,nan,7.418741221472945,nan,0,0.03966981718720928,nan,0,0,34,22,12
shape_01_eeg+05_meg+05,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v4,5,5,37,26,0.25396825396825395,6.410071499994956,0.6010153396639883,0.3982483218807948,0.3977874134689575,nan,1.50555147008898,4.52083762782803,nan,15.913787998297543,nan,0,3.219850959840683e-05,nan,0,0,41,26,15
shape_01_eeg-10_meg+20,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v3,-10,20,37,19,0.5,0.7626669000019319,0.9662308254200147,0.9904066163261027,0.9909004299836628,nan,0.796716603818893,3.72721739611265,nan,18.190876395368083,nan,0,0.04480002520024208,nan,0,0,35,19,16
