method,case_count,configuration_count,snr_pair_count,auc_tie_corrected_mean,surface_auc_tie_corrected_mean,deep_auc_tie_corrected_mean,surface_sd_mm_penalized_mean,surface_dle_mm_penalized_mean,deep_sd_mm_penalized_mean,deep_dle_mm_penalized_mean,deep_sensitivity_mean,deep_specificity_mean,deep_balanced_accuracy_mean,an_auc_min_snr_cell,an_auc_max_snr_cell
OASTER-ERP-v4,20,4,5,0.9208137279215292,0.9893068646124312,0.631111111111111,13.912685458565468,19.040137289035822,171.62134869460337,171.62134869460337,0.26666666666666666,1.0,0.6333333333333332,0.7111652282006626,0.9774267631245127
MNE,20,4,5,0.8900546958260961,0.8618976231650057,0.8222222222222222,32.38874268556573,36.93958317540405,162.0464820602587,156.0194079041849,0.3333333333333333,0.2,0.26666666666666666,0.7345328152005577,0.9557616193936378
dSPM,20,4,5,0.9046105820004982,0.8770524077086048,0.5466666666666666,28.241392765416983,18.79535082775731,176.86040398697793,174.28801550754966,0.26666666666666666,0.0,0.13333333333333333,0.7865384773159787,0.9370998538410582
sLORETA,20,4,5,0.8635496987344556,0.8192294405436643,0.72,33.88729406825447,28.14290915604654,162.8293939959409,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666,0.6906621871533577,0.9402595286571416
eLORETA,20,4,5,0.9093525228029049,0.8924703722422297,0.7733333333333333,28.81914346925081,10.453625228636401,135.3042959446577,124.81552632334792,0.4666666666666666,0.0,0.2333333333333333,0.8003758587009288,0.9454560345083481
LCMV,20,4,5,0.6938346394420789,0.5826650818072474,0.8755555555555556,54.97078442609927,56.27610943994382,113.37974686186301,109.21358553292944,0.5333333333333333,0.6,0.5666666666666667,0.6549199058641236,0.7279129441303385
Dipole fitting (grid),20,4,5,0.6305610271638324,0.5076859706419419,0.6666666666666666,14.963725047403788,12.593625691742243,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666,0.6248498330688244,0.6425917027484176
RAP-MUSIC,20,4,5,0.6292490380985455,0.5058391906892565,0.6666666666666666,7.612457686553749,8.85245600500194,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666,0.6248498330688244,0.6425946690749997
