case_id,scenario,eeg_snr_db,meg_snr_db,gate_score,gate_eeg_score,gate_meg_score,gate_eeg_response_excess,gate_meg_response_excess,gate_reliability_balance,gate_reliability_eeg_weight,gate_formula,primary_channel_weight_min,primary_channel_weight_max,gate_threshold,deep_present_decision,selected_deep_index,secondary_surface_score,surface_threshold,surface_present_decision,null_converged,full_converged,selection_surface_converged,final_surface_converged,all_converged,status,error,elapsed_seconds
erp-v6-hierarchical-v2-gate-calibration-011-eeg-10-meg-10,surface_only,-10,-10,-0.025175355509389652,-0.02777579304668894,-0.021004708175047376,0.0,0.2241979860759893,0.8168613340113168,0.7042153335028292,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,45.38808010000503
erp-v6-hierarchical-v2-gate-calibration-012-eeg-10-meg-10,surface_only,-10,-10,-0.008248624207576515,-0.005263293477913313,-0.01899635394640829,0.12280605646253417,0.17944170188944097,0.9519809708812418,0.7379952427203105,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,45.95908239996061
erp-v6-hierarchical-v2-gate-calibration-013-eeg-10-meg-10,surface_only,-10,-10,-5.068147412916636e-05,-0.0001339840406292366,0.0001352578558986195,0.28250628550471624,0.14672986392115273,0.8941319640159656,0.7235329910039914,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,30.575089299993124
erp-v6-hierarchical-v2-gate-calibration-014-eeg-10-meg-10,surface_only,-10,-10,-0.0025337777793756682,-0.003834356708642957,5.232281255086506e-05,0.2502699751948765,0.2125391462686863,0.9698218547395661,0.7424554636848915,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,40.482188200054225
erp-v6-hierarchical-v2-gate-calibration-015-eeg-10-meg-10,surface_only,-10,-10,-0.007636572178812289,-0.004846058940744884,-0.01765981540690149,0.3397770470245134,0.16286255663601157,0.8679522904341376,0.7169880726085344,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,42.94884790002834
erp-v6-hierarchical-v2-gate-calibration-016-eeg-10-meg-10,surface_only,-10,-10,1.327670170446896e-05,1.8278234570053092e-05,-8.420851688079272e-07,0.033377875388689304,0.033018798674985916,0.9996525213842339,0.7499131303460584,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,23.4518323999946
erp-v6-hierarchical-v2-gate-calibration-017-eeg-10-meg-10,surface_only,-10,-10,-0.000325126911415102,-0.0005000934836962022,-0.00014672129293031246,0.5205860874041064,0.26203530347114223,0.8299663622634129,0.7074915905658532,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,24.558873300033156
erp-v6-hierarchical-v2-gate-calibration-018-eeg-10-meg-10,surface_only,-10,-10,-0.014442483341268011,-0.022378494689993422,0.0034872308763469655,0.15908787603764263,0.09847072953223046,0.9477027171463197,0.7369256792865799,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,40.76580589998048
erp-v6-hierarchical-v2-gate-calibration-019-eeg-10-meg+20,surface_only,-10,20,-0.030208873822108406,-0.02404831762947524,-0.37979697681259095,0.04411136627626577,104.65577199192774,0.00988219901848843,0.5024705497546221,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,848.3820205000229
erp-v6-hierarchical-v2-gate-calibration-020-eeg-10-meg+20,surface_only,-10,20,-0.0044803423483188035,-0.007325798573019435,-0.01588891349770913,0.0,96.9200189518743,0.010212416324096911,0.5025531040810243,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,331.0291009999928
erp-v6-hierarchical-v2-gate-calibration-021-eeg-10-meg+20,surface_only,-10,20,-0.005561881189946866,-0.0041937676766199035,-0.08427468143648427,0.24774981274283725,129.16219317859202,0.009586115463119414,0.5023965288657799,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,329.63779229996726
erp-v6-hierarchical-v2-gate-calibration-022-eeg-10-meg+20,surface_only,-10,20,-0.018710509610243304,-3.642059872104388e-05,-0.5731799855949757,0.27950819428921414,232.73289662585228,0.005474232394156248,0.5013685580985391,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,268.5259396000183
erp-v6-hierarchical-v2-gate-calibration-023-eeg-10-meg+20,surface_only,-10,20,-0.00038635035837215285,0.0019079482184749343,-0.0373758877071188,0.16273820323738608,213.18935165708695,0.005428552793319566,0.5013571381983299,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,80.05965240002843
erp-v6-hierarchical-v2-gate-calibration-024-eeg-10-meg+20,surface_only,-10,20,-0.0038821746178836145,0.0012871961058068242,-0.08116771382589638,0.04460017705018404,78.70515172087427,0.013105805013813303,0.5032764512534533,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,188.4797750999569
erp-v6-hierarchical-v2-gate-calibration-025-eeg-10-meg+20,surface_only,-10,20,-0.005015424727956534,-0.00013544041435711534,-0.12578295862022668,0.09687298622781992,159.28797492064095,0.006843139585305042,0.5017107848963263,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,359.0299248000374
erp-v6-hierarchical-v2-gate-calibration-026-eeg-10-meg+20,surface_only,-10,20,-0.002042864980299827,0.0005619219889412346,-0.06476705792507868,0.2020773589424978,196.04923271242708,0.006100390965220377,0.501525097741305,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,203.93690159998368
erp-v6-hierarchical-v2-gate-calibration-027-eeg-10-meg+20,surface_only,-10,20,-0.03607210178240377,0.00934940794449808,-1.3777242570490016,0.06610864167961683,285.6986669434014,0.003718568534153954,0.5009296421335385,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,257.6041475000093
erp-v6-hierarchical-v2-gate-calibration-028-eeg-10-meg+20,surface_only,-10,20,-0.003489313524355462,-0.002678300669842304,-0.06932261291903262,0.1700239771961236,235.51654499433582,0.004946901187078239,0.5012367252967695,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,162.42868010001257
erp-v6-hierarchical-v2-gate-calibration-029-eeg-10-meg+20,surface_only,-10,20,-0.0002469823244803781,0.00670901613649516,-0.09142703492401812,0.2637479195296619,196.73370699955467,0.0063911608127212634,0.5015977902031803,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,365.356912999996
erp-v6-hierarchical-v2-gate-calibration-030-eeg-10-meg+20,surface_only,-10,20,-0.02950871218231238,-0.010588657023663581,-0.7251846634374545,0.11542185566269203,217.21576536235284,0.005111554858607515,0.5012778887146518,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,269.2800336999935
erp-v6-hierarchical-v2-gate-calibration-031-eeg-10-meg+20,surface_only,-10,20,-0.008819526137345535,-0.0053475690214790554,-0.13592105058589526,0.08166112122888713,116.64757476859947,0.009194079209506885,0.5022985198023767,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,158.7752879000036
erp-v6-hierarchical-v2-gate-calibration-032-eeg-10-meg+20,surface_only,-10,20,0.006348868975392994,0.005589236896904439,0.08102435957948646,0.19704252289032675,112.58947917830464,0.01053832213643039,0.5026345805341076,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,439.7919812000473
erp-v6-hierarchical-v2-gate-calibration-033-eeg-10-meg+20,surface_only,-10,20,-0.0052583115002892596,-0.0034864121905612395,-0.11063640666594976,0.4747394707280652,207.4672939095301,0.007074200672303385,0.5017685501680759,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,212.85675679997075
erp-v6-hierarchical-v2-gate-calibration-034-eeg-10-meg+20,surface_only,-10,20,0.0006226032761469272,-0.000450067712581705,0.022203783520727365,0.19522939429484532,177.08550273672236,0.006711547969527007,0.5016778869923818,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,104.24165380001068
erp-v6-hierarchical-v2-gate-calibration-035-eeg-10-meg+20,surface_only,-10,20,-0.0035832302685474353,0.0010900671646966176,-0.0669902744121256,0.05091307092871489,64.05723332351764,0.016153669887908048,0.504038417471977,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,503.01732570002787
erp-v6-hierarchical-v2-gate-calibration-036-eeg-10-meg+20,surface_only,-10,20,-0.001422148905745823,-0.006602845131992591,0.03245281657022319,0.6421216125663811,191.28884332382313,0.008539869418221909,0.5021349673545554,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,106.48773920000531
erp-v6-hierarchical-v2-gate-calibration-037-eeg-10-meg+20,surface_only,-10,20,-0.07094547901547732,-0.06541347112324694,-0.8254478178063072,0.05373528939170602,110.31849586696801,0.009465949761403353,0.5023664874403508,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,514.7487547000055
erp-v6-hierarchical-v2-gate-calibration-038-eeg+20-meg-10,surface_only,20,-10,-0.005473133710843611,-0.0353752235451954,-0.006684948960985202,55.71362746376969,0.13869201212170346,0.02007792594203453,0.5050194814855087,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,171.62103620002745
erp-v6-hierarchical-v2-gate-calibration-039-eeg+20-meg-10,surface_only,20,-10,0.0010604880101447234,0.022535391682583727,-0.00013701873638373094,100.07289985271957,0.060835529437723856,0.01049574644621399,0.5026239366115535,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,225.69039300002623
erp-v6-hierarchical-v2-gate-calibration-040-eeg+20-meg-10,surface_only,20,-10,-0.00481225043944215,-0.12644895320422753,0.0008437513648905465,147.0524957828994,0.0881384474953053,0.007349679866869149,0.5018374199667173,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,314.2057660999708
erp-v6-hierarchical-v2-gate-calibration-041-eeg+20-meg-10,surface_only,20,-10,-0.000391241987459413,0.00043664002415046165,-0.0009207416600447119,241.16244766128023,0.28333305838890777,0.005299471783436645,0.5013248679458592,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,436.6287544000079
erp-v6-hierarchical-v2-gate-calibration-042-eeg+20-meg-10,surface_only,20,-10,-0.0011843415630834707,-0.02204668485112193,-0.0009859230945223963,216.5397679900294,0.27810971314078947,0.005875292250929355,0.5014688230627323,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,133.27103890001308
erp-v6-hierarchical-v2-gate-calibration-043-eeg+20-meg-10,surface_only,20,-10,-0.0031299569824451735,-0.08546624386941082,0.0013364839208909495,128.92786756422646,0.098529685970415,0.008454919691708059,0.502113729922927,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,166.2226278000162
erp-v6-hierarchical-v2-gate-calibration-044-eeg+20-meg-10,surface_only,20,-10,-0.05307395088386709,-0.5484078493730493,-0.044974640026954935,72.47757377989427,0.14671757680951747,0.01560636147628618,0.5039015903690716,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,192.23745869996492
erp-v6-hierarchical-v2-gate-calibration-045-eeg+20-meg-10,surface_only,20,-10,-0.006075643376684816,-0.04024797741319843,-0.00909975289333557,132.3530242422294,0.09719244231277613,0.008227728231493111,0.5020569320578733,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,128.20290229999227
erp-v6-hierarchical-v2-gate-calibration-046-eeg+20-meg-10,surface_only,20,-10,0.0056105075436230735,0.020015443430400574,0.010411914116310227,82.0742454705727,0.3150353977666247,0.01582963998430113,0.5039574099960753,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,135.88884440000402
erp-v6-hierarchical-v2-gate-calibration-047-eeg+20-meg-10,surface_only,20,-10,-0.0026602908984646534,-0.050666972644882576,-7.46609459838379e-05,93.22786471352015,0.16772905969614427,0.012392608738894561,0.5030981521847236,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,146.67456040001707
erp-v6-hierarchical-v2-gate-calibration-048-eeg+20-meg-10,surface_only,20,-10,-0.0015140829060373642,-0.058953209500553896,0.0006716772616034518,261.51420396750393,0.17391895236453503,0.004471830227174496,0.5011179575567937,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,170.39725270000054
erp-v6-hierarchical-v2-gate-calibration-049-eeg+20-meg-10,surface_only,20,-10,-0.024232730984333588,-0.19373738148015407,-0.02851802604910312,71.38888886886177,0.22943487036735588,0.01698375109189167,0.5042459377729729,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,247.71049490000587
erp-v6-hierarchical-v2-gate-calibration-050-eeg+20-meg-10,surface_only,20,-10,-0.02482748078373461,-0.2916594204950292,-0.018917219419771848,77.89735499808646,0.2850281569241786,0.01628734140650653,0.5040718353516266,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,251.3202971999999
erp-v6-hierarchical-v2-gate-calibration-051-eeg+20-meg-10,surface_only,20,-10,-0.012566273553725558,-0.22566795618933377,-0.006067889274975953,135.90684174745104,0.09761869164408243,0.00801726690671044,0.5020043167266776,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,187.12396050000098
erp-v6-hierarchical-v2-gate-calibration-052-eeg+20-meg-10,surface_only,20,-10,-0.002214564491844474,-0.03566281521519462,-0.0027022511530081826,332.9103090947412,0.1887782180009041,0.0035601722547104983,0.5008900430636776,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,148.86004160001175
erp-v6-hierarchical-v2-gate-calibration-053-eeg+20-meg-10,surface_only,20,-10,-0.005144654892940635,-0.11923984769702152,-0.0026712891369306286,231.10824052446696,0.1898984051918784,0.005126480656193889,0.5012816201640484,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,175.19236840005033
erp-v6-hierarchical-v2-gate-calibration-054-eeg+20-meg-10,surface_only,20,-10,0.00020929838556187102,0.014590830334006512,-0.0009305548890741094,123.31119795954268,0.0700942871343293,0.008608189002269881,0.5021520472505675,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,116.64622059999965
erp-v6-hierarchical-v2-gate-calibration-055-eeg+20-meg-10,surface_only,20,-10,8.767250417962844e-05,0.004258873537005843,-1.3367407612133493e-05,513.9681714476669,0.13455270301230127,0.0022031511186853983,0.5005507877796713,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,174.98894939996535
erp-v6-hierarchical-v2-gate-calibration-056-eeg+20-meg-10,surface_only,20,-10,-0.016662351808567042,-0.18260671834106995,-0.014914313880618498,90.61129564964129,0.1004871684112063,0.01201257072730327,0.5030031426818258,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,202.7409195000073
