case_id,shape,parcel,method,eeg_snr_db,meg_snr_db,surface_true_count,surface_estimated_count,surface_dice_10pct_energy,elapsed_seconds,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,deep_sd_mm,surface_dle_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
shape_00_eeg-10_meg-10,uniform_1hop,postcentral-lh,OASTER-ERP-v3,-10,-10,7,2,0.0,0.9412104999646544,0.9395918367346938,0.9779634246132181,0.9792322215229705,nan,1.9069424338177101,60.18771957701271,nan,17.677392585802846,nan,0,0.041616223424899686,nan,0,0,18,2,16
shape_00_eeg-10_meg-10,uniform_1hop,postcentral-lh,OASTER-ERP-v4,-10,-10,7,9,0.0,31.38316520000808,0.46714285714285714,0.9097984738054007,0.9096058126895132,nan,1.9984921244426261,48.45278204155793,nan,43.33932012276396,nan,0,0.0,nan,0,0,9,9,0
shape_00_eeg+05_meg+05,uniform_1hop,postcentral-lh,OASTER-ERP-v3,5,5,7,9,0.875,0.822714299953077,0.9993877551020408,0.999942910426459,0.999942788489044,nan,0.29042736340187253,1.3603343522025946,nan,0.7955892764969014,nan,0,0.04014624807165255,nan,0,0,25,9,16
shape_00_eeg+05_meg+05,uniform_1hop,postcentral-lh,OASTER-ERP-v4,5,5,7,10,0.8235294117647058,29.469896299997345,1.0,0.9999619402843061,0.9999618589926961,nan,0.3266942728833296,2.0718178518183605,nan,0.7955892764969014,nan,0,0.0,nan,0,0,10,10,0
shape_00_eeg-10_meg+20,uniform_1hop,postcentral-lh,OASTER-ERP-v3,-10,20,7,9,0.875,0.8485634000389837,0.9993877551020408,0.999942910426459,0.999942788489044,nan,0.3688836998484412,1.3479375883485618,nan,0.7955892764969014,nan,0,0.0418682095244474,nan,0,0,25,9,16
shape_00_eeg-10_meg+20,uniform_1hop,postcentral-lh,OASTER-ERP-v4,-10,20,7,12,0.631578947368421,29.187322100042365,0.9967346938775511,0.999524253553826,0.9995232374087,nan,0.7606375592287086,3.5722741197354924,nan,8.463833667521909,nan,0,0.0,nan,0,0,12,12,0
shape_01_eeg-10_meg-10,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v3,-10,-10,37,6,0.18604651162790697,0.9121480000321753,0.9389846603360117,0.9822735668663178,0.9833512644127843,nan,1.3973209156979156,51.95720043602012,nan,7.773499826938458,nan,0,0.040133358872829206,nan,0,0,22,6,16
shape_01_eeg-10_meg-10,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v4,-10,-10,37,6,0.0,34.61409869999625,0.6187216946676406,0.9604986824459876,0.9604139724766987,nan,1.8623834095553495,58.44328941683196,nan,57.35323139290279,nan,0,0.0,nan,0,0,6,6,0
shape_01_eeg+05_meg+05,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v3,5,5,37,22,0.6101694915254238,0.8180790999904275,0.9787582176771366,0.9945309760743757,0.994646033246757,nan,0.5318816456468258,1.2674361859624277,nan,7.418741221472945,nan,0,0.03966981718720928,nan,0,0,34,22,12
shape_01_eeg+05_meg+05,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v4,5,5,37,15,0.46153846153846156,29.29802159999963,0.9412052593133674,0.9980842150161396,0.9980801066446422,nan,0.8073002823834453,1.7744856706372536,nan,13.965758247787685,nan,0,0.0,nan,0,0,15,15,0
shape_01_eeg-10_meg+20,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v3,-10,20,37,19,0.5,0.8866592000122182,0.9662308254200147,0.9904066163261027,0.9909004299836628,nan,0.796716603818893,3.72721739611265,nan,18.190876395368083,nan,0,0.04480002520024208,nan,0,0,35,19,16
shape_01_eeg-10_meg+20,uniform_3hop,superiorfrontal-rh,OASTER-ERP-v4,-10,20,37,29,0.8787878787878788,43.97710909997113,0.9997224251278304,0.9999168621610778,0.999916683873258,nan,0.23142243887674963,0.0,nan,7.418741221472945,nan,0,0.0,nan,0,0,29,29,0
shape_02_eeg-10_meg-10,thin_path,lateraloccipital-lh,OASTER-ERP-v3,-10,-10,10,17,0.14814814814814814,0.8959253000211902,0.9145,0.9726412579957356,0.9731036324786324,nan,1.6393260634212352,51.99170973574437,nan,5.1164345184078375,nan,0,0.04424289856606593,nan,0,0,25,17,8
shape_02_eeg-10_meg-10,thin_path,lateraloccipital-lh,OASTER-ERP-v4,-10,-10,10,11,0.0,32.889078800042626,0.6748000000000001,0.9641257995735608,0.9640491452991453,nan,1.9462997694558601,74.93283110918678,nan,8.794984911911708,nan,0,0.0,nan,0,0,11,11,0
shape_02_eeg+05_meg+05,thin_path,lateraloccipital-lh,OASTER-ERP-v3,5,5,10,4,0.2857142857142857,0.7311678999685682,0.9591999999999998,0.9900053304904052,0.9907318376068376,nan,1.3566315324461617,6.238895410232134,nan,15.678064741129115,nan,0,0.04400894435443465,nan,0,0,19,4,15
shape_02_eeg+05_meg+05,thin_path,lateraloccipital-lh,OASTER-ERP-v4,5,5,10,2,0.0,22.8493178000208,0.4885,0.9864472281449894,0.9864182692307693,nan,1.99332477313089,8.31579160945784,nan,6.981376919260432,nan,0,0.0,nan,0,0,2,2,0
shape_02_eeg-10_meg+20,thin_path,lateraloccipital-lh,OASTER-ERP-v3,-10,20,10,11,0.19047619047619047,0.7306079000118189,0.9168500000000002,0.9868736673773988,0.9871527777777778,nan,1.714785877759111,7.454905819063507,nan,13.585738789770081,nan,0,0.6623397575867673,nan,0,1,12,11,1
shape_02_eeg-10_meg+20,thin_path,lateraloccipital-lh,OASTER-ERP-v4,-10,20,10,6,0.125,11.564971500018146,0.6786000000000001,0.9839418976545843,0.9839075854700855,nan,1.8024361809061562,10.402630789974602,nan,15.678064741129115,nan,0,0.0,nan,0,0,6,6,0
shape_03_eeg-10_meg-10,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v3,-10,-10,37,1,0.0,0.8791536000207998,0.8890430971512051,0.7741544873419504,0.7695946851556019,0.2666666666666667,1.9205314412069272,119.42258057463046,19.179554019557365,125.62441476735655,20.000000377798674,1,0.047792897543448974,20.000000377798674,0,0,17,1,16
shape_03_eeg-10_meg-10,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v4,-10,-10,37,12,0.0,24.165218800015282,0.4915248356464572,0.9192978936104305,0.9440043179488293,0.5,2.0008352254981836,49.77716483439194,nan,12.35097326717279,nan,1,0.0,nan,0,0,12,12,0
shape_03_eeg+05_meg+05,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v3,5,5,37,43,0.0,0.8457097000209615,0.8798027757487217,0.8899460730477879,0.8884505736134205,0.8,1.8705945785544782,10.882844971694448,14.31368259820868,26.514978250837117,9.999999399353555,1,0.04671262450201611,9.999999399353555,0,0,57,43,14
shape_03_eeg+05_meg+05,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v4,5,5,37,2,0.10256410256410256,16.81117770000128,0.7167896274653032,0.972450437892484,0.9987031663750602,0.5,1.1455167878336479,0.0,nan,6.923304403164976,nan,1,0.0,nan,0,0,2,2,0
shape_03_eeg-10_meg+20,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v3,-10,20,37,20,0.03508771929824561,0.8280157999834046,0.9461431701972243,0.91194981836614,0.9104858779165172,0.9333333333333333,1.7381556821167603,7.810651967024135,9.999999399353555,18.88757364949776,9.999999399353555,1,1.0,9.999999399353555,1,0,21,20,1
shape_03_eeg-10_meg+20,wide_path_plus_deep,superiorparietal-rh,OASTER-ERP-v4,-10,20,37,5,0.0,22.55886420002207,0.48831081081081085,0.9060414378643237,0.9303622078049099,0.5,1.9998027447393,10.964087359112574,nan,24.500735502022494,nan,1,0.0,nan,0,0,5,5,0
