subject,run,method,n_trials,band_hz,baseline_ms,movement_ms,roi,roi_mass_pct,roi_enrichment,peak_distance_to_roi_mm,peak_positive_erd_db,peak_label,peak_hemi,ground_truth_available,limitation
sm09,1,DICS,38,15-30,-1500:-1000,-400:200,right_precentral,5.503978256804427,1.759400940729524,15.432009628010524,0.45535696918880625,superiorfrontal-rh,right,False,
sm09,1,DICS,38,15-30,-1500:-1000,-400:200,right_postcentral,0.17852991479881927,0.07170188629398733,27.47376603118068,0.45535696918880625,superiorfrontal-rh,right,False,
sm09,1,LCMV,38,15-30,-1500:-1000,-400:200,right_precentral,7.711610439425704,2.465092343868121,15.432009628010524,0.535080430822883,superiorfrontal-rh,right,False,
sm09,1,LCMV,38,15-30,-1500:-1000,-400:200,right_postcentral,8.551080423759282e-05,3.4343185394226385e-05,27.47376603118068,0.535080430822883,superiorfrontal-rh,right,False,
sm09,1,MNE,38,15-30,-1500:-1000,-400:200,right_precentral,5.4543924783921796,1.7435503575486295,43.13036508196566,2.5174179046931613,precentral-lh,left,False,
sm09,1,MNE,38,15-30,-1500:-1000,-400:200,right_postcentral,0.3538077137603876,0.14209764503932149,44.906008229457655,2.5174179046931613,precentral-lh,left,False,
sm09,1,dSPM,38,15-30,-1500:-1000,-400:200,right_precentral,5.454392478389375,1.743550357547733,43.13036508196566,2.517417904695251,precentral-lh,left,False,
sm09,1,dSPM,38,15-30,-1500:-1000,-400:200,right_postcentral,0.35380771376005343,0.1420976450391873,44.906008229457655,2.517417904695251,precentral-lh,left,False,
sm09,1,sLORETA,38,15-30,-1500:-1000,-400:200,right_precentral,5.454392478388863,1.7435503575475693,43.13036508196566,2.517417904695869,precentral-lh,left,False,
sm09,1,sLORETA,38,15-30,-1500:-1000,-400:200,right_postcentral,0.35380771376026865,0.14209764503927372,44.906008229457655,2.517417904695869,precentral-lh,left,False,
sm09,1,eLORETA,38,15-30,-1500:-1000,-400:200,right_precentral,3.987701506453544,1.2747081210085172,43.13036508196566,2.5083745608391106,precentral-lh,left,False,
sm09,1,eLORETA,38,15-30,-1500:-1000,-400:200,right_postcentral,0.3267720363578669,0.13123946998680483,44.906008229457655,2.5083745608391106,precentral-lh,left,False,
sm09,2,DICS,38,15-30,-1500:-1000,-400:200,right_precentral,49.671949606359064,15.878128653080358,14.785998004122302,1.5448331623922105,superiorparietal-rh,right,False,
sm09,2,DICS,38,15-30,-1500:-1000,-400:200,right_postcentral,8.271891231085155,3.322189478193944,5.609517668170545,1.5448331623922105,superiorparietal-rh,right,False,
sm09,2,LCMV,38,15-30,-1500:-1000,-400:200,right_precentral,43.6718426325754,13.960135274181756,14.785998004122302,1.5362064403365305,superiorparietal-rh,right,False,
sm09,2,LCMV,38,15-30,-1500:-1000,-400:200,right_postcentral,9.257467347968602,3.718020433171321,5.609517668170545,1.5362064403365305,superiorparietal-rh,right,False,
sm09,2,MNE,38,15-30,-1500:-1000,-400:200,right_precentral,18.95537023899867,6.059271071636377,0.0,1.3216301308412195,precentral-rh,right,False,
