run,component,EEG_weight,MAG_weight,GRAD_weight
1,MF_response_-80_-20ms,1.0,0.7646282797871915,0.6564395819436709
1,MEFI_response_20_60ms,1.0,0.5432657755005933,0.4677864900648157
1,MEFII_response_120_180ms,1.0,0.4313473074065268,0.447391772885347
2,MF_response_-80_-20ms,0.9573781823332562,1.0,0.9135446243244868
2,MEFI_response_20_60ms,1.0,0.8919833625438932,0.6860584016629596
2,MEFII_response_120_180ms,1.0,0.8044014030321375,0.6329483556408253
3,MF_response_-80_-20ms,1.0,0.8557623008047749,0.8157132791123499
3,MEFI_response_20_60ms,1.0,0.8165739533012343,0.6604459414060668
3,MEFII_response_120_180ms,1.0,0.6431097059818374,0.6759085432914633
