case_id,configuration_id,scenario,eeg_snr_db,meg_snr_db,score,null_converged,full_converged,all_converged,p_value,deep_present_decision,elapsed_seconds
erp-v6-component-balanced-v2-calibration-00-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-00,surface_only,-10,-10,0.0002370161227937778,1,1,1,nan,,22.530917500000214
erp-v6-component-balanced-v2-calibration-01-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-01,surface_only,-10,-10,0.12418304019537504,1,1,1,nan,,50.871455600019544
erp-v6-component-balanced-v2-calibration-02-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-02,surface_only,-10,-10,0.00019692085647581958,1,1,1,nan,,22.33697029997711
erp-v6-component-balanced-v2-calibration-03-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-03,surface_only,-10,-10,0.005318149658627439,1,1,1,nan,,29.486596700007794
erp-v6-component-balanced-v2-calibration-04-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-04,surface_only,-10,-10,0.008206821951395733,1,1,1,nan,,20.917579000000842
erp-v6-component-balanced-v2-calibration-05-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-05,surface_only,-10,-10,0.12233139693209226,1,1,1,nan,,22.681779600010486
erp-v6-component-balanced-v2-calibration-06-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-06,surface_only,-10,-10,-0.007585124186870444,1,1,1,nan,,65.28916449999087
erp-v6-component-balanced-v2-calibration-07-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-07,surface_only,-10,-10,-4.6726638897552294e-05,1,1,1,nan,,27.388508799980627
erp-v6-component-balanced-v2-calibration-08-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-08,surface_only,-10,-10,0.08869669853973353,1,1,1,nan,,11.618789500003913
erp-v6-component-balanced-v2-calibration-09-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-09,surface_only,-10,-10,0.15546661615813662,1,1,1,nan,,47.946155099984026
erp-v6-component-balanced-v2-calibration-10-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-10,surface_only,-10,-10,0.10212151678840367,1,1,1,nan,,29.11005629997817
erp-v6-component-balanced-v2-calibration-11-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-11,surface_only,-10,-10,-0.046769954209090185,1,1,1,nan,,8.680844000016805
erp-v6-component-balanced-v2-calibration-12-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-12,surface_only,-10,-10,0.09736343316446615,1,1,1,nan,,32.91139339999063
erp-v6-component-balanced-v2-calibration-13-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-13,surface_only,-10,-10,-0.03983743491454721,1,1,1,nan,,36.03039520001039
erp-v6-component-balanced-v2-calibration-14-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-14,surface_only,-10,-10,0.0030356397349652906,1,1,1,nan,,18.97262299997965
erp-v6-component-balanced-v2-calibration-15-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-15,surface_only,-10,-10,0.08549743901290291,1,1,1,nan,,45.83085329999449
erp-v6-component-balanced-v2-calibration-16-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-16,surface_only,-10,-10,-0.05772152976550434,1,1,1,nan,,32.13060440000845
erp-v6-component-balanced-v2-calibration-17-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-17,surface_only,-10,-10,0.0016811698971624417,1,1,1,nan,,22.020780099992407
erp-v6-component-balanced-v2-calibration-18-eeg-10-meg-10,erp-v6-component-balanced-v2-calibration-18,surface_only,-10,-10,0.0004610260275730949,1,1,1,nan,,24.874019999988377
erp-v6-component-balanced-v2-calibration-00-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-00,surface_only,-10,20,0.0720104513200713,1,1,1,nan,,119.59175530000357
erp-v6-component-balanced-v2-calibration-01-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-01,surface_only,-10,20,0.3220469425671743,1,1,1,nan,,68.53836249999586
erp-v6-component-balanced-v2-calibration-02-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-02,surface_only,-10,20,-0.004761899134897239,1,1,1,nan,,62.01232370000798
erp-v6-component-balanced-v2-calibration-03-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-03,surface_only,-10,20,-0.23607566906464317,1,1,1,nan,,68.36276310001267
erp-v6-component-balanced-v2-calibration-04-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-04,surface_only,-10,20,0.05819238167520731,1,1,1,nan,,42.067537800001446
erp-v6-component-balanced-v2-calibration-05-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-05,surface_only,-10,20,-0.12529164822489788,1,1,1,nan,,58.53571090000332
erp-v6-component-balanced-v2-calibration-06-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-06,surface_only,-10,20,-0.02481715056281063,1,1,1,nan,,75.04744969998137
erp-v6-component-balanced-v2-calibration-07-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-07,surface_only,-10,20,0.002415432816302778,1,1,1,nan,,53.17264720000094
erp-v6-component-balanced-v2-calibration-08-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-08,surface_only,-10,20,-2.538446690748131,1,0,0,nan,,126.21056450001197
erp-v6-component-balanced-v2-calibration-09-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-09,surface_only,-10,20,-0.404843848633997,1,0,0,nan,,128.71922670002095
erp-v6-component-balanced-v2-calibration-10-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-10,surface_only,-10,20,-0.2682419671365301,1,0,0,nan,,125.28259909999906
erp-v6-component-balanced-v2-calibration-11-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-11,surface_only,-10,20,-0.0451918447525405,1,0,0,nan,,124.20960200001718
erp-v6-component-balanced-v2-calibration-12-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-12,surface_only,-10,20,0.019150639758900453,1,0,0,nan,,136.9121143000084
erp-v6-component-balanced-v2-calibration-13-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-13,surface_only,-10,20,0.048728030350502494,1,1,1,nan,,66.73161699998309
erp-v6-component-balanced-v2-calibration-14-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-14,surface_only,-10,20,-0.10308923799313123,1,1,1,nan,,60.157034200005
erp-v6-component-balanced-v2-calibration-15-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-15,surface_only,-10,20,-0.132345819593865,1,1,1,nan,,102.65206669998588
erp-v6-component-balanced-v2-calibration-16-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-16,surface_only,-10,20,0.0162235205931579,1,1,1,nan,,119.17114469999797
erp-v6-component-balanced-v2-calibration-17-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-17,surface_only,-10,20,0.047828226863299364,1,0,0,nan,,128.7626755000092
erp-v6-component-balanced-v2-calibration-18-eeg-10-meg+20,erp-v6-component-balanced-v2-calibration-18,surface_only,-10,20,0.0777952996388704,1,1,1,nan,,68.25517899999977
erp-v6-component-balanced-v2-calibration-00-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-00,surface_only,20,-10,0.01748372925916274,1,1,1,nan,,62.69041209999705
erp-v6-component-balanced-v2-calibration-01-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-01,surface_only,20,-10,-0.14246440715060527,1,1,1,nan,,67.2311090999865
erp-v6-component-balanced-v2-calibration-02-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-02,surface_only,20,-10,-0.04084936277333665,1,1,1,nan,,70.04533949997858
erp-v6-component-balanced-v2-calibration-03-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-03,surface_only,20,-10,0.10209936491315463,1,1,1,nan,,70.90727529997821
erp-v6-component-balanced-v2-calibration-04-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-04,surface_only,20,-10,0.0854203956948004,1,1,1,nan,,68.56733259998146
erp-v6-component-balanced-v2-calibration-05-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-05,surface_only,20,-10,0.04826913775514342,1,1,1,nan,,70.42056980001507
erp-v6-component-balanced-v2-calibration-06-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-06,surface_only,20,-10,-0.0865173846990854,1,1,1,nan,,70.68817190002301
erp-v6-component-balanced-v2-calibration-07-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-07,surface_only,20,-10,0.01095623909278308,1,1,1,nan,,61.9977940999961
erp-v6-component-balanced-v2-calibration-08-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-08,surface_only,20,-10,0.12513268005497916,1,1,1,nan,,70.1243606999924
erp-v6-component-balanced-v2-calibration-09-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-09,surface_only,20,-10,-0.12450723086647789,1,1,1,nan,,78.55668029998196
erp-v6-component-balanced-v2-calibration-10-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-10,surface_only,20,-10,-0.0910507241865365,1,1,1,nan,,89.36364789999789
erp-v6-component-balanced-v2-calibration-11-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-11,surface_only,20,-10,-0.06964514478463187,1,1,1,nan,,151.43913689997862
erp-v6-component-balanced-v2-calibration-12-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-12,surface_only,20,-10,0.03401015836437476,1,1,1,nan,,72.32551980001153
erp-v6-component-balanced-v2-calibration-13-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-13,surface_only,20,-10,0.0060807659607954225,1,1,1,nan,,61.403437699977076
erp-v6-component-balanced-v2-calibration-14-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-14,surface_only,20,-10,0.015877141359064827,1,1,1,nan,,53.24882949999301
erp-v6-component-balanced-v2-calibration-15-eeg+20-meg-10,erp-v6-component-balanced-v2-calibration-15,surface_only,20,-10,-0.024001658639894778,1,1,1,nan,,56.66660110000521
