manifest_sha256,chunk_index,chunk_file,case_number,case_id,configuration_number,configuration_id,pair_index,eeg_snr_db,meg_snr_db,scenario,surface_centers,deep_index,deep_surface_ratio,correlation,method,status,error,elapsed_seconds,temporal_rank,selected_templates,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7964,erp-v3-development-07964-deep_only-eeg+20-meg-10,68,erp-v3-development-source-068-deep_only,42,20,-10,deep_only,[],7498,,,LCMV,ok,,0.2973999999812804,,,0,1.0,1.0,nan,1.0,1.5253522290926236,nan,nan,0.0,0.0,1,0.0,nan,0,0,1097,1096,1
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7964,erp-v3-development-07964-deep_only-eeg+20-meg-10,68,erp-v3-development-source-068-deep_only,42,20,-10,deep_only,[],7498,,,Dipole fitting (grid),ok,,0.261954199988395,,,0,1.0,1.0,nan,1.0,0.004159291274730678,nan,nan,0.0,0.0,1,1.0,0.0,1,0,1,0,1
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7964,erp-v3-development-07964-deep_only-eeg+20-meg-10,68,erp-v3-development-source-068-deep_only,42,20,-10,deep_only,[],7498,,,RAP-MUSIC,ok,,0.3054544000187889,,,0,1.0,1.0,nan,1.0,0.004159291274730678,nan,nan,0.0,0.0,1,1.0,0.0,1,0,1,0,1
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7982,erp-v3-development-07982-deep_plus_surface-eeg+20-meg-10,86,erp-v3-development-source-086-deep_plus_surface,42,20,-10,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v4,ok,,48.320104599988554,3,0,1,0.7211651234567901,0.94237912994628,0.9946672608437315,0.5,1.4436643451221018,8.370719396625386,7.28359507759414,nan,nan,1,0.0,nan,0,0,18,18,0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7982,erp-v3-development-07982-deep_plus_surface-eeg+20-meg-10,86,erp-v3-development-source-086-deep_plus_surface,42,20,-10,deep_plus_surface,[1317],7498,0.5,0.0,MNE,ok,,1.0071824000333436,,,1,0.7913117283950617,0.9467785541238019,0.9601530005941772,0.8,1.7247632118302136,17.714775787645646,22.28269957055816,18.153645071224787,20.000001097096984,1,0.12975268321438488,20.000001097096984,0,0,300,292,8
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7982,erp-v3-development-07982-deep_plus_surface-eeg+20-meg-10,86,erp-v3-development-source-086-deep_plus_surface,42,20,-10,deep_plus_surface,[1317],7498,0.5,0.0,dSPM,ok,,0.993755700008478,,,1,0.8212345679012345,0.9359011270671675,0.9433303624480096,0.4666666666666667,1.7576757831667724,17.74312311625936,27.54469387881552,23.08960791162453,20.000001097096984,1,0.19602786510773806,20.000001097096984,0,0,249,233,16
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7982,erp-v3-development-07982-deep_plus_surface-eeg+20-meg-10,86,erp-v3-development-source-086-deep_plus_surface,42,20,-10,deep_plus_surface,[1317],7498,0.5,0.0,sLORETA,ok,,0.9873166000470519,,,1,0.8524845679012345,0.9310768582563815,0.9360219845513964,0.8,1.7759497394074348,21.537864846695292,15.816278383873863,19.597478764821577,20.000001097096984,1,0.2725926152695243,20.000001097096984,0,0,458,446,12
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7982,erp-v3-development-07982-deep_plus_surface-eeg+20-meg-10,86,erp-v3-development-source-086-deep_plus_surface,42,20,-10,deep_plus_surface,[1317],7498,0.5,0.0,eLORETA,ok,,0.9981325999833643,,,1,0.8549845679012346,0.9442575752255891,0.9510546642899584,0.8,1.7352407145060034,19.128419567102217,7.755141529980423,19.45486839786011,20.000001097096984,1,0.18803896760108632,20.000001097096984,0,0,488,476,12
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7982,erp-v3-development-07982-deep_plus_surface-eeg+20-meg-10,86,erp-v3-development-source-086-deep_plus_surface,42,20,-10,deep_plus_surface,[1317],7498,0.5,0.0,LCMV,ok,,0.4212538999854587,,,1,0.8978703703703704,0.6619360275271233,0.6444370172311349,1.0,1.9214137199849486,68.37688610117195,57.107618505776216,17.247400119463403,0.0,1,1.0,0.0,1,0,507,496,11
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7982,erp-v3-development-07982-deep_plus_surface-eeg+20-meg-10,86,erp-v3-development-source-086-deep_plus_surface,42,20,-10,deep_plus_surface,[1317],7498,0.5,0.0,Dipole fitting (grid),ok,,0.3594338000402786,,,1,0.4998611111111111,0.49979986657771847,0.4997994652406417,0.5,2.0000000000000004,8.102887450881932,12.401312126886046,nan,nan,1,0.0,nan,0,0,1,1,0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7982,erp-v3-development-07982-deep_plus_surface-eeg+20-meg-10,86,erp-v3-development-source-086-deep_plus_surface,42,20,-10,deep_plus_surface,[1317],7498,0.5,0.0,RAP-MUSIC,ok,,0.39540839998517185,,,1,0.4998611111111111,0.49979986657771847,0.4997994652406417,0.5,1.9999999999999996,8.102887450881932,12.401312126886046,nan,nan,1,0.0,nan,0,0,1,1,0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,8050,erp-v3-development-08050-deep_plus_two_surface-eeg+20-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,42,20,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v4,ok,,52.326333899982274,3,0,1,0.6104657687991022,0.9466394975948688,0.9792060055124399,0.5,1.8291581458652189,17.458260962825367,29.447914993105393,nan,nan,1,0.0,nan,0,0,21,21,0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,8050,erp-v3-development-08050-deep_plus_two_surface-eeg+20-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,42,20,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,MNE,ok,,0.9483705999446101,,,1,0.8497893922388872,0.9268572955638696,0.9349310483331101,0.8,1.7504101914458092,16.572504638578078,15.493148734765628,25.76257337753101,20.000001097096984,1,0.1433103651983459,20.000001097096984,0,0,368,352,16
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,8050,erp-v3-development-08050-deep_plus_two_surface-eeg+20-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,42,20,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,dSPM,ok,,0.9436442999867722,,,1,0.8102025303540454,0.8725770532691964,0.8762240248198301,0.0,1.7888773995621605,18.286263133577236,24.576438248590133,28.68362570729286,20.000001097096984,1,0.23279064691520232,20.000001097096984,0,0,278,262,16
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,8050,erp-v3-development-08050-deep_plus_two_surface-eeg+20-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,42,20,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,sLORETA,ok,,0.9416846999665722,,,1,0.8447486651022005,0.8991314804917157,0.9024750578252178,0.6,1.7831896803657137,21.23262622685355,10.029949193327115,26.901971496408397,20.000001097096984,1,0.30001602905057373,20.000001097096984,0,0,654,638,16
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,8050,erp-v3-development-08050-deep_plus_two_surface-eeg+20-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,42,20,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,eLORETA,ok,,0.9364451999426819,,,1,0.8295275141992313,0.90361660431142,0.9091832447680296,0.6,1.7673180758139382,18.88815443786456,7.45266418129377,27.580884258894226,20.000001097096984,1,0.21916948768036457,20.000001097096984,0,0,650,634,16
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,8050,erp-v3-development-08050-deep_plus_two_surface-eeg+20-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,42,20,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,LCMV,ok,,0.4599275999935344,,,1,0.858943560180934,0.720532691965081,0.7121342930088042,1.0,1.9010718227233865,38.06330069783547,37.01956789134749,14.30209945442602,0.0,1,1.0,0.0,1,0,699,690,9
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,8050,erp-v3-development-08050-deep_plus_two_surface-eeg+20-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,42,20,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,Dipole fitting (grid),ok,,0.4340423999237828,,,1,0.5151515151515151,0.5165330482807768,0.51710749257852,0.5,1.8258873720606545,6.794558390726098,9.775749479746581,nan,nan,1,0.0,nan,0,0,2,2,0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,8050,erp-v3-development-08050-deep_plus_two_surface-eeg+20-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,42,20,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,RAP-MUSIC,ok,,0.4303737999871373,,,1,0.4999074074074074,0.49979957242116513,0.4997991699022627,0.5,2.0000000000000004,10.134488433226563,13.71269917673758,nan,nan,1,0.0,nan,0,0,2,2,0
