case,scenario,variant,An_cal_AUC,An_auc,surface_An_auc,deep_An_auc,surface_SD_mm,surface_DLE_mm,deep_DLE_mm,deep_detected,deep_false_positive,all_converged
01,surface_only,convex group edge,0.5620973625140291,0.9454587335590722,0.9453418959284583,nan,7.2813638989574345,nan,nan,0,0,1
01,surface_only,SISSES per-mode edge,0.6444332210998878,0.9589477806187087,0.9588598390589147,nan,6.5708729246946245,8.590118035656378,nan,0,0,1
03,deep_plus_surface,convex group edge,0.7381944444444444,0.9642428285523681,0.9623143196672608,1.0,8.138029576321633,11.822374003563763,0.0,1,0,1
03,deep_plus_surface,SISSES per-mode edge,0.8511882716049382,0.9961588427372633,0.9960710041592394,1.0,7.2813609657722385,9.90334530420756,0.0,1,0,1
