case_number,case_id,scenario_posthoc,eeg_snr_db,meg_snr_db,frozen_gate_score,frozen_gate_threshold,frozen_deep_present_decision,selected_family,localization_target,known_family_error_not_fixed,solver_converged,truth_used_only_for_posthoc_metrics,old_global_An_auc,new_global_An_auc,global_An_auc_change,old_surface_An_auc,new_surface_An_auc,surface_An_auc_change,old_surface_DLE_mm,new_surface_DLE_mm,old_surface_component_DLE_mm,new_surface_component_DLE_mm,old_surface_SD_mm,new_surface_SD_mm,old_deep_peak_distance_mm,new_deep_peak_distance_mm,old_deep_false_positive,new_deep_false_positive,old_surface_patch_hit_count,new_surface_patch_hit_count,surface_patch_count,new_surface_active_count,new_deep_active_count
6,erp-v6-hierarchical-v1-validation-06-eeg-10-meg-10,deep_plus_two_surface,-10,-10,0.00831592659016219,0.006348868975392994,1,H1,1,0,1,1,0.5172413793103449,0.7645820376384955,0.24734065832815066,0.5,0.7560073627844712,0.2560073627844712,nan,nan,nan,nan,nan,6.95549082548329,0.0,0.0,0,0,0,0,2,3,1
13,erp-v6-hierarchical-v1-validation-13-eeg-10-meg+20,deep_plus_two_surface,-10,20,-0.017591228097569658,0.006348868975392994,0,H0,0,1,1,1,0.9698489102821228,0.9708765495769102,0.0010276392947873303,0.9983410566799067,0.9994010465922705,0.001059989912363779,6.107196602820721,2.8029735499246056,9.564381747274853,2.955935641482621,6.168988324597632,0.0,nan,nan,0,0,2,2,2,18,0
14,erp-v6-hierarchical-v1-validation-14-eeg+20-meg-10,surface_only,20,-10,0.004275068645239295,0.006348868975392994,0,H0,1,0,1,1,0.9412243689392256,0.9434747205566659,0.0022503516174403604,0.9410987967537576,0.9433539561727571,0.002255159418999453,23.27813180746822,23.70293115319796,23.27813180746822,23.70293115319796,26.508691638043075,22.8874289287447,nan,nan,0,0,0,0,1,14,0
15,erp-v6-hierarchical-v1-validation-15-eeg+20-meg-10,surface_only,20,-10,0.008292577727973802,0.006348868975392994,1,H1,0,1,1,1,0.9988246865830888,0.9990580821552415,0.0002333955721527392,0.9989558273188986,0.999248195669607,0.00029236835070833855,10.223173027935292,10.223173027935292,10.223173027935292,10.223173027935292,7.805196303755675,5.662560620641533,nan,nan,1,1,1,1,1,27,2
17,erp-v6-hierarchical-v1-validation-17-eeg+20-meg-10,surface_only,20,-10,-0.011585579146427587,0.006348868975392994,0,H0,1,0,1,1,0.9986214870152971,0.9973096762717895,-0.0013118107435076132,0.9986185383244207,0.9973039215686275,-0.001314616755793252,nan,5.129172818812595,nan,6.493869492787749,0.0,2.0520395699452307,nan,nan,0,0,1,2,2,11,0
