method,snr_pair_count,primary_metric,an_auc_mean,an_auc_sd,an_auc_min,an_auc_max,an_auc_ge_0_90_pairs,surface_auc_tie_corrected_mean,deep_auc_tie_corrected_mean,auc_mean,rmse_mean,surface_sd_mm_penalized_mean,surface_dle_mm_penalized_mean,deep_sd_mm_penalized_mean,deep_dle_mm_penalized_mean
OASTER-ERP,49,An_auc (auc_tie_corrected),0.9600565716115524,0.011277718817117578,0.906852737925729,0.9746128698082027,49,0.9458227782094761,0.890497150767438,0.9539248954156602,0.8465701932053367,8.850598698379292,33.9592560786046,82.20258231845152,82.20258231845152
MNE,49,An_auc (auc_tie_corrected),0.9036617241616517,0.0554031651895521,0.7194165316472911,0.9514103357765289,34,0.889829707213334,0.7132519973163394,0.8143449471677668,1.8334478519760147,35.28350830286935,39.7666931076392,172.38292470113592,168.7589386392603
dSPM,49,An_auc (auc_tie_corrected),0.9261323858683014,0.02596402084284401,0.8026375204011406,0.9481534059315392,44,0.9067460365764253,0.7604989159843042,0.8767329753815043,1.8294850961496898,28.138003095147976,29.008795114726926,134.47530216078312,127.66822715749228
sLORETA,49,An_auc (auc_tie_corrected),0.9175741361935076,0.03700195436435479,0.7775333267200875,0.9470270771507747,39,0.891638849403818,0.7613441363278313,0.8735457728659711,1.8369918076672909,33.02279850555223,23.331535151717254,126.15214061927394,118.35425653917324
eLORETA,49,An_auc (auc_tie_corrected),0.91595417322566,0.05242399799392808,0.699662256770742,0.9504045407616803,39,0.9014469570416216,0.7497148245699606,0.8566159813712696,1.8253983039944641,30.843154145913772,27.315329395344758,132.64091453643127,125.1310550760753
LCMV,49,An_auc (auc_tie_corrected),0.7651709357625165,0.006237311924819335,0.7376110742105015,0.7748753498087586,0,0.6784872856698696,0.8805069125494311,0.8146396744489319,1.8333164061122385,51.6949737897053,51.199366381500056,197.37522256206782,195.93243032021562
Dipole fitting (grid),49,An_auc (auc_tie_corrected),0.637760385222859,0.014888638642026848,0.552339490357202,0.6439283882737227,0,0.5204803363064344,0.6938710542260021,0.644241386583899,1.2916490657888968,6.262761272276537,21.09683244897589,138.03177349588915,138.03177349588915
RAP-MUSIC,49,An_auc (auc_tie_corrected),0.6425735085088677,0.014692039890428643,0.5569653943951633,0.6503838875533436,0,0.5249596897360497,0.7246432370626525,0.6566487059807604,1.247574626007268,5.355371201433848,21.51119091193195,127.08351884294184,127.07932344000571
