method,deep_sensitivity_mean,deep_specificity_mean,deep_balanced_accuracy_mean
OASTER-ERP,0.6510463887047356,0.8930072028811524,0.7720267957929441
MNE,0.28492660745890397,0.3778511404561825,0.3313888739575432
dSPM,0.46184906798540315,0.1523109243697479,0.3070799961775755
sLORETA,0.5003785096128003,0.08058223289315726,0.2904803712529788
eLORETA,0.47092429011405557,0.18967587034813924,0.3303000802310974
LCMV,0.16415630928988512,0.9305222088835534,0.5473392590867193
Dipole fitting (grid),0.4111036454382748,0.9962484993997598,0.7036760724190174
RAP-MUSIC,0.45731292517006805,0.9980492196878751,0.7276810724289714
