subject,run,method,epochs,sources,source_space,eeg_channels_whitened,mag_channels_whitened,coreg_mean_mm,n20_left_s1_mass_pct,n20_left_s1_enrichment,n20_postcentral_laterality,n20_peak_euclidean_distance_to_left_s1_mm,n20_peak_label,n20_peak_hemi,n20_hoyer_sparsity,n20_vertices_above_50pct,p30_left_s1_mass_pct,p30_left_s1_enrichment,p30_postcentral_laterality,p30_peak_euclidean_distance_to_left_s1_mm,p30_peak_label,p30_peak_hemi,p30_hoyer_sparsity,p30_vertices_above_50pct
sm09,1,OASTER-ERP-v3,40,4699,sample ico4 cortex only,68,99,2.890975380428058,0.26560358480445506,0.09827332637764838,0.9527862699427413,8.091261528970584,supramarginal-lh,left,0.9296051082419403,1,2.4262671287034054,0.8977188376202598,0.9995944781260381,8.054066133979616,precentral-lh,left,0.9375092475390543,1
sm09,1,MNE,40,4699,sample ico4 cortex only,68,99,2.890975380428058,9.372432640659206,3.4678000770439055,0.8533458855596499,14.717840541334736,superiorparietal-lh,left,0.4954392853520119,27,21.741586434550896,8.044386980783832,0.8967485678801244,7.275623433066325,precentral-lh,left,0.47064427598997977,44
sm09,1,dSPM,40,4699,sample ico4 cortex only,68,99,2.890975380428058,10.788538515475791,3.991759250726042,0.8753040783232988,0.0,postcentral-lh,left,0.4430248013934981,115,13.904002146718211,5.144480794285738,0.9067827977727764,5.79966985014513,precentral-lh,left,0.41292534975700795,62
sm09,1,sLORETA,40,4699,sample ico4 cortex only,68,99,2.890975380428058,9.374021260000927,3.468387866200342,0.8688094217956949,0.0,postcentral-lh,left,0.4362153672615421,67,14.501988490546326,5.36573574150214,0.9015233266749525,5.79966985014513,precentral-lh,left,0.40958733920934987,44
sm09,1,eLORETA,40,4699,sample ico4 cortex only,68,99,2.890975380428058,9.957253057595734,3.684183631310421,0.8475453934290271,0.0,postcentral-lh,left,0.44676243537075716,93,18.89115277222567,6.989726525723499,0.9060851426699726,5.79966985014513,precentral-lh,left,0.45300197769127415,54
sm09,1,LCMV,40,4699,sample ico4 cortex only,68,99,2.890975380428058,0.0,0.0,0.0,61.797468753799656,superiorparietal-lh,left,0.0,0,0.0,0.0,0.0,61.797468753799656,superiorparietal-lh,left,0.0,0
sm09,1,Dipole fitting (grid),40,4699,sample ico4 cortex only,68,99,2.890975380428058,0.0,0.0,0.0,42.30023387915741,cuneus-lh,left,0.991712941985347,2,0.0,0.0,0.0,8.740402790803927,insula-lh,left,0.9929660779357568,2
sm09,1,RAP-MUSIC,40,4699,sample ico4 cortex only,68,99,2.890975380428058,0.0,0.0,0.0,8.091261528970584,supramarginal-lh,left,0.9904531783948869,2,13.625091746293919,5.0412839461287495,1.0,8.054066133979616,precentral-lh,left,0.9912388989021267,1
