case_id,scenario,eeg_snr_db,meg_snr_db,gate_score,gate_eeg_score,gate_meg_score,gate_eeg_response_excess,gate_meg_response_excess,gate_reliability_balance,gate_reliability_eeg_weight,gate_formula,primary_channel_weight_min,primary_channel_weight_max,gate_threshold,deep_present_decision,selected_deep_index,secondary_surface_score,surface_threshold,surface_present_decision,null_converged,full_converged,selection_surface_converged,final_surface_converged,all_converged,status,error,elapsed_seconds
erp-v6-hierarchical-v2-surface-calibration-010-eeg-10-meg-10,deep_only,-10,-10,0.0343500190562735,0.030548511503883748,0.04740880492314143,0.0052292866198855315,0.1451036292711938,0.8778500573434285,0.7194625143358571,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7508,0.0,,,1,1,1,,1,ok,,77.72719730000244
erp-v6-hierarchical-v2-surface-calibration-011-eeg-10-meg-10,deep_only,-10,-10,0.020822577780098023,0.019569939069898123,0.0270342442880262,0.047086385017341525,0.12690843344872915,0.9291672277337525,0.7322918069334381,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7508,0.0,,,1,1,1,,1,ok,,34.87972169998102
erp-v6-hierarchical-v2-surface-calibration-012-eeg-10-meg-10,deep_only,-10,-10,0.030662803903341973,0.017905948869509775,0.06772214388059226,0.0,0.12083231371695735,0.8921941201746338,0.7230485300436584,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7505,0.0,,,1,1,1,,1,ok,,82.07212470000377
erp-v6-hierarchical-v2-surface-calibration-013-eeg-10-meg-10,deep_only,-10,-10,0.04455072699488905,0.03383060839164455,0.08213312267079087,0.06426776451764438,0.11216080954813945,0.9569369423744094,0.7392342355936024,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7498,0.0,,,1,1,1,,1,ok,,70.89480030001141
erp-v6-hierarchical-v2-surface-calibration-014-eeg-10-meg-10,deep_only,-10,-10,0.015649474912886957,0.014238873018628792,0.020111333662588594,0.008726980528058093,0.006043431861844306,0.997339667999354,0.7493349169998385,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7498,0.0,,,1,1,1,,1,ok,,78.57047769997735
erp-v6-hierarchical-v2-surface-calibration-015-eeg-10-meg-10,deep_only,-10,-10,0.008549480973339445,0.012281943630465897,-0.0005439580222283399,0.07923888039975302,0.015534221650278734,0.940972605873986,0.7352431514684965,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7507,0.0,,,1,1,1,,1,ok,,63.60579830000643
erp-v6-hierarchical-v2-surface-calibration-016-eeg-10-meg-10,deep_only,-10,-10,0.01898175912796561,0.008910102164705676,0.052913573796283524,0.11352435145453077,0.14650226555619428,0.971236067217307,0.7428090168043268,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7505,0.0,,,1,1,1,,1,ok,,119.19105079997098
erp-v6-hierarchical-v2-surface-calibration-017-eeg-10-meg-10,deep_only,-10,-10,0.018413801073456637,0.011847086108742404,0.039238077630413815,0.06512471659526509,0.037639203211193184,0.9741950280978072,0.7435487570244518,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7498,-0.00497919491937884,,,1,1,1,,1,ok,,85.84632660000352
erp-v6-hierarchical-v2-surface-calibration-018-eeg-10-meg-10,deep_only,-10,-10,0.015944269958421246,0.009373726936768311,0.038125409395923,0.14904125830209902,0.09967025519397144,0.9570328717516362,0.739258217937909,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7511,0.0,,,1,1,1,,1,ok,,74.02055429999018
erp-v6-hierarchical-v2-surface-calibration-019-eeg-10-meg+20,deep_only,-10,20,0.07887008982442305,0.014922081885395124,1.1767285441138848,0.11447397567418571,65.1275580049736,0.016853396818167152,0.5042133492045417,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7499,0.0,,,1,1,1,,1,ok,,118.21461590001127
