case_id,scenario,eeg_snr_db,meg_snr_db,temporal_rank,mrf_strength,layer,source_count,global_lambda,layer_only_lambda,global_over_layer_lambda,global_null_winner_fraction,matched_16_surface_lambda_median,gain_norm_before_median,gain_norm_after_median,gain_norm_amplification_median,source_penalty_min,source_penalty_median,source_penalty_max,max_observed_kkt_ratio
erp-v3-development-00000-surface_only-eeg-10-meg-10,surface_only,-10,-10,3,0.0,surface,7498,5.402330854144195,5.402330854144195,1.0,1.0,3.9503275072777315,1.0014110226171746,1.0014110226171746,1.0,1.016118528356339,5.408428238738623,13.946365163554098,6.6630621274209325
erp-v3-development-00000-surface_only-eeg-10-meg-10,surface_only,-10,-10,3,0.0,deep,16,5.402330854144195,2.330583890782578,2.318016045468402,0.0,3.9503275072777315,0.22094464636113637,0.22094464636113637,1.0,1.384733586070764,1.614388137988716,2.3149564206403896,1.7135167166696648
erp-v3-development-00000-surface_only-eeg-10-meg-10,surface_only,-10,-10,3,0.5,surface,7498,9.331326215510902,9.331326215510902,1.0,1.0,6.3850570264409185,1.0014110226171746,1.4575941031685138,1.539297568933767,1.755118988027975,9.341858092629906,24.08924710006049,6.798581143413732
erp-v3-development-00000-surface_only-eeg-10-meg-10,surface_only,-10,-10,3,0.5,deep,16,9.331326215510902,2.330583890782578,4.00385768236713,0.0,6.3850570264409185,0.22094464636113637,0.22094464636113637,1.0,2.391819598255145,2.7884968101255523,3.998572860289756,0.9920330737306189
erp-v3-development-00068-deep_only-eeg-10-meg-10,deep_only,-10,-10,3,0.0,surface,7498,5.16422589887121,5.16422589887121,1.0,1.0,3.8550703083993594,1.002045195968026,1.002045195968026,1.0,0.8184746471452355,5.172673643315109,12.307145154662674,5.36731893144436
erp-v3-development-00068-deep_only-eeg-10-meg-10,deep_only,-10,-10,3,0.0,deep,16,5.16422589887121,2.7505845887145455,1.877501211945877,0.0,3.8550703083993594,0.18121705334332547,0.18121705334332547,1.0,1.108838103400439,1.3169268124996805,2.191945702169952,3.7603321813614397
erp-v3-development-00068-deep_only-eeg-10-meg-10,deep_only,-10,-10,3,0.5,surface,7498,9.784250996860676,9.784250996860676,1.0,1.0,6.0430880216975,1.002045195968026,1.4420420392425308,1.5388120955063864,1.5506992798255348,9.80025627114864,23.3173760416518,5.5440822344214755
erp-v3-development-00068-deep_only-eeg-10-meg-10,deep_only,-10,-10,3,0.5,deep,16,9.784250996860676,2.7505845887145455,3.557153281889518,0.0,6.0430880216975,0.18121705334332547,0.18121705334332547,1.0,2.100827990681864,2.495077235255911,4.152906426151611,1.9847410747717291
erp-v3-development-00086-deep_plus_surface-eeg-10-meg-10,deep_plus_surface,-10,-10,3,0.0,surface,7498,4.904050526097786,4.904050526097786,1.0,1.0,3.7942359218081414,1.0019934314284866,1.0019934314284866,1.0,0.9746347720334244,4.911869678591315,12.719006637505837,6.7203843615532195
erp-v3-development-00086-deep_plus_surface-eeg-10-meg-10,deep_plus_surface,-10,-10,3,0.0,deep,16,4.904050526097786,2.7283013211397162,1.7974739403231221,0.0,3.7942359218081414,0.20908930860617964,0.20908930860617964,1.0,1.2491062766316294,1.402217207424596,2.111546261867954,1.6902727636118853
