case_id,scenario,eeg_snr_db,meg_snr_db,temporal_rank,group,layer,group_size,temporal_retained_energy,smooth_temporal_rank,smooth_temporal_retained_energy,smooth_projected_snr_db,smooth10_temporal_retained_energy,smooth12_temporal_retained_energy,raw_eeg_component_snr_db,raw_meg_component_snr_db,sensor_active_snr_db,projected_snr_db,sensor_fraction_of_joint_clean_energy,projected_fraction_of_joint_clean_energy
erp-v3-development-00000-surface_only-eeg-10-meg-10,surface_only,-10,-10,3,0,surface,18,0.6965063040532617,8,0.9903817565202506,-2.348786726212702,0.9998964535674971,0.9999759546018732,-9.999999999999998,-9.999999999999998,-10.95875046792431,-4.575150869856352,0.9999999999999997,1.0000000000000002
erp-v3-development-00068-deep_only-eeg-10-meg-10,deep_only,-10,-10,3,0,deep,1,0.5517226298089762,8,0.990381756520251,-6.589390996618626,0.9998964535674976,0.9999759546018736,-10.000000000000002,-10.0,-15.382549156679733,-10.104061629578709,1.0,1.0
erp-v3-development-00086-deep_plus_surface-eeg-10-meg-10,deep_plus_surface,-10,-10,3,0,surface,18,0.7969137776125589,8,0.9903817565202508,-3.6247046091963098,0.9998964535674973,0.9999759546018733,-10.390151733000184,-10.092366465100003,-11.795199888088836,-4.908184083698153,0.988878784634616,1.003162382283856
erp-v3-development-00086-deep_plus_surface-eeg-10-meg-10,deep_plus_surface,-10,-10,3,1,deep,1,0.004976914951753923,8,0.9848472858611124,-23.13895008897681,0.9999115866179822,0.9999617066559132,-20.659123275387582,-26.768801259900993,-31.285107974017183,-46.44260332899223,0.011121215365383916,7.045783814303918e-05
erp-v3-development-00154-deep_plus_two_surface-eeg-10-meg-10,deep_plus_two_surface,-10,-10,3,0,surface,18,0.7753040751835184,8,0.9903817565202508,-3.1099528224184825,0.9998964535674973,0.9999759546018733,-12.375111651699811,-11.113178491325414,-11.392554482022737,-4.731544574064099,0.727251693026454,0.919148584492368
erp-v3-development-00154-deep_plus_two_surface-eeg-10-meg-10,deep_plus_two_surface,-10,-10,3,1,surface,11,0.14888491774404278,8,0.9567510233122418,-7.721950410170974,0.9986458319131065,0.9999954020159422,-15.052129392762971,-17.14817317147061,-15.854515106213778,-16.359718812308657,0.260308697152842,0.0631783528281286
erp-v3-development-00154-deep_plus_two_surface-eeg-10-meg-10,deep_plus_two_surface,-10,-10,3,2,deep,1,0.03780651879588457,8,0.5367682233169673,-23.438890987262617,0.9933328946346671,0.9998543577697478,-19.633783237447403,-24.779313329486598,-29.06133430610577,-35.51937816946874,0.012439609820704028,0.0007666592203812256
erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,5,5,3,0,surface,18,0.9965069519791891,8,0.9903817565202506,13.145826230124273,0.9998964535674971,0.9999759546018732,5.000000000000001,4.999999999999999,4.357555046526796,17.614600012055494,1.0,1.0
erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,5,5,3,0,deep,1,0.9844206668516468,8,0.990381756520251,7.856933633040971,0.9998964535674976,0.9999759546018736,5.000000000000001,5.000000000000001,-1.0123296232378256,11.335165069892884,1.0,1.0
erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,deep_plus_surface,5,5,3,0,surface,18,0.9954213093081375,8,0.9903817565202508,13.200484492888851,0.9998964535674973,0.9999759546018733,4.609848266999817,4.907633534900001,4.316137942959443,17.30948789040735,0.9920199557451914,0.9977303259587845
erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,deep_plus_surface,5,5,3,1,deep,1,0.2756907048638304,8,0.9848472858611124,-7.769003989075252,0.9999115866179822,0.9999617066559132,-5.659123275387582,-11.768801259900991,-16.629013145152506,-9.211511296001845,0.007980044254808544,0.0022228658516696437
erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,deep_plus_two_surface,5,5,3,0,surface,18,0.9924465230230464,8,0.9903817565202508,10.877050146882539,0.9998964535674973,0.9999759546018733,2.62488834830019,3.8868215086745863,2.157747894767468,15.191541309759645,0.6791920976354396,0.6900549108664454
erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,deep_plus_two_surface,5,5,3,1,surface,11,0.980915949459053,8,0.9567510233122418,7.25488980908759,0.9986458319131065,0.9999954020159422,-0.05212939276297201,-2.14817317147061,-1.3143754794660298,11.668664751217971,0.30533759943663563,0.3066168340706635
erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,deep_plus_two_surface,5,5,3,2,deep,1,0.09600694391836215,8,0.5367682233169673,-8.20804625846539,0.9933328946346671,0.9998543577697478,-4.633783237447401,-9.779313329486598,-14.26719016981936,-11.377441445277842,0.015470302927924656,0.0015204963272047096
