normalization_exponent,An_auc,second_largest_H0_threshold,H0_above_threshold,H1_above_threshold
0.0,0.9849624060150376,0.020617772375271237,1,53
0.125,0.987781954887218,0.020260121161837636,1,53
0.25,0.9890350877192982,0.017744873824928526,1,54
0.375,0.9884085213032582,0.009832106575157299,1,54
0.5,0.9855889724310777,0.005447788508332252,1,54
1.0,0.9783834586466166,0.0005134697775601541,1,54
