method,case,family,local_An_cal_AUC,An_auc,surface_An_auc,deep_An_auc,surface_SD_mm,surface_DLE_mm,deep_DLE_mm,deep_detected,held_out_score,all_converged,wall_seconds
MRF 0.8,01,v6-surface-only,0.6454576063666972,0.9407781079400179,0.9406512435307315,nan,23.743236524891454,11.557318679391829,nan,0,-0.01067979489331411,1,123.98288239999965
MRF 0.8,03,v6-full-ungated,0.73625,0.962403005512447,0.9607694592988711,1.0,8.013854136919885,11.822374003563763,0.0,1,0.01120824632133633,1,162.75150980000035
Physical current,01,v6-surface-only,0.5054657687991021,0.5462695505954438,0.5462578658454947,nan,15.567912618484536,13.85302058700423,nan,0,-0.0023729705896196737,1,42.41738400000031
Physical current,03,v6-full-ungated,0.7760648148148148,0.5759137670727853,0.5526440879382056,1.0,17.889602091467054,46.5287597949003,0.0,1,-0.0029204019565060393,1,56.8661848000047
