method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),20,20,surface_only,case_weighted_within_scenario,1,1,0.49916666666666665,0.4997998932764141,0.4997994652406417,nan,2.0000000000000004,13.29122594735072,7.755141529980423,nan,nan,0.0,nan,2.0,2.0,0.0,13.29122594735072,7.755141529980423,nan,nan,nan,1.0,nan
LCMV,-10,-10,deep_only,case_weighted_within_scenario,1,1,0.98,0.9968055370690803,nan,0.8666666666666667,1.9470385330764826,nan,nan,24.758076698114795,17.320508398326936,0.0,nan,742.0,726.0,16.0,nan,nan,234.02911185627735,234.02911185627735,0.0,nan,nan
LCMV,-10,-10,deep_plus_surface,case_weighted_within_scenario,1,1,0.8122067901234569,0.5761525227344545,0.5560531788472964,0.19999999999999996,1.9901101273250572,63.22373158721996,83.5988610302862,26.77901227731272,17.320508398326936,0.0,nan,1250.0,1234.0,16.0,63.22373158721996,83.5988610302862,234.02911185627735,234.02911185627735,0.0,nan,nan
LCMV,-10,-10,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.7353187599904771,0.5335515766969535,0.5202284384651964,0.5333333333333333,1.9767925377843805,47.33550360060955,29.94114592687662,28.519448662902608,37.41657376384551,0.0,nan,1679.0,1663.0,16.0,47.33550360060955,29.94114592687662,234.02911185627735,234.02911185627735,0.0,nan,nan
LCMV,-10,-10,surface_only,case_weighted_within_scenario,1,1,0.37083333333333335,0.5131699869560062,0.5142676767676767,nan,1.9881224044094217,61.97893738331776,53.07615907001969,nan,nan,0.0,nan,1163.0,1147.0,16.0,61.97893738331776,53.07615907001969,nan,nan,nan,1.0,nan
LCMV,-10,20,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,1.1073620730269913,nan,nan,0.0,0.0,1.0,0.0,245.0,244.0,1.0,nan,nan,0.0,0.0,1.0,nan,nan
LCMV,-10,20,deep_plus_surface,case_weighted_within_scenario,1,1,0.9440740740740741,0.7479723324321477,0.7353906714200832,1.0,1.9293514511088754,47.6666847946254,46.20104038024019,16.326946756454998,0.0,0.907007639179969,0.0,175.0,167.0,8.0,47.6666847946254,46.20104038024019,16.326946756454998,0.0,1.0,nan,nan
LCMV,-10,20,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.8262353331292726,0.6469445929093176,0.6360035272228661,1.0,1.9169042888926906,45.111194131221154,45.56254437432342,9.220548999779982,0.0,1.0,0.0,295.0,292.0,3.0,45.111194131221154,45.56254437432342,9.220548999779982,0.0,1.0,nan,nan
LCMV,-10,20,surface_only,case_weighted_within_scenario,1,1,0.37932098765432104,0.5167348511798886,0.5178327391562686,nan,1.9995977107059404,54.62995412840494,65.65176164771285,nan,nan,0.3455419871234679,nan,404.0,388.0,16.0,54.62995412840494,65.65176164771285,nan,nan,nan,0.0,nan
LCMV,5,5,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,1.6990677123692859,nan,nan,0.0,0.0,0.0,nan,680.0,679.0,1.0,nan,nan,234.02911185627735,234.02911185627735,0.0,nan,nan
