case_id,configuration_id,scenario,has_deep_true_posthoc,eeg_snr_db_posthoc_not_used,meg_snr_db_posthoc_not_used,baseline_samples,eeg_channels,meg_channels,eeg_gain,meg_gain,eeg_response_excess_ratio,meg_response_excess_ratio,eeg_loss_improvement,meg_loss_improvement,eeg_diagonal_variance,meg_diagonal_variance,eeg_full_covariance_variance,meg_full_covariance_variance,eeg_diagonal_studentized,meg_diagonal_studentized,eeg_full_covariance_studentized,meg_full_covariance_studentized,raw_fixed_3_to_1,global_energy_normalized_fixed_3_to_1,per_modality_energy_normalized_fixed_3_to_1,snr_blind_consensus,diagonal_studentized_fixed_3_to_1,full_covariance_studentized_fixed_3_to_1
erp-v6-localization-v5-development-00-eeg-10-meg-10,erp-v6-localization-v5-geometry-00,surface_only,0,-10,-10,97,58,99,-0.028714814431907525,0.03517491656466574,0.09146994787095042,0.058699025198768906,-18.80561076814024,39.49446420662048,19.13409353586052,156.68966671819274,23.777780381065444,176.16446819000384,-4.299158894216908,3.1551212091448706,-3.856575049944498,2.9756172512815753,-0.012742381682764209,-0.012196766749290409,-0.012067486874077864,-0.02809332014853098,-2.4355888683764633,-2.14852697463798
erp-v6-localization-v5-development-01-eeg-10-meg-10,erp-v6-localization-v5-geometry-01,surface_only,0,-10,-10,97,58,99,-0.07515769837321452,-0.04542409336407999,0.0,0.2534173347481741,-49.11115925134618,-50.05590946965458,89.95954780219114,103.88451658446235,92.62145300383625,105.94011777018181,-5.177934516477336,-4.911113203287493,-5.1029861633694695,-4.863233598839148,-0.06772429712093089,-0.06049182095324252,-0.06651155410748948,-0.07103126475832257,-5.111229188179875,-5.043048022236889
erp-v6-localization-v5-development-02-eeg-10-meg-10,erp-v6-localization-v5-geometry-02,deep_only,1,-10,-10,97,58,99,0.028225648371117594,0.024227968801329505,0.13369748612235544,0.05921667358098226,17.781087591362052,26.768535708016998,42.38588462931814,135.91124578761247,56.57137245781089,160.79429328695562,2.731163473072355,2.296132355566147,2.364067996457965,2.111005182250023,0.02722622847867057,0.025570480729900313,0.025767086953535273,0.048822600845068356,2.622405693695803,2.3008022929059795
erp-v6-localization-v5-development-03-eeg-10-meg-10,erp-v6-localization-v5-geometry-03,deep_plus_surface,1,-10,-10,97,58,99,0.024511795053958726,-0.0104114770369327,0.0546597700837983,0.23193318329463897,15.416725639780907,-11.46913867326657,66.22907341193043,218.78871236130507,73.62090888398839,229.49569506931542,1.8943830715056476,-0.775386700457623,1.796766146487585,-0.7570830658249467,0.01578097703123587,0.014218058964119476,0.015556033412507903,-0.009882471196513466,1.22694062851483,1.1583038434094521
erp-v6-localization-v5-development-04-eeg-10-meg-10,erp-v6-localization-v5-geometry-04,deep_plus_two_surface,1,-10,-10,97,58,99,0.009910530035999026,-0.023423561809644937,0.13082680984799744,0.16348505423831483,6.060553031322115,-25.593370897512614,40.80090382559901,92.02953798353798,46.61707061235829,97.51705129609977,0.9488058722112228,-2.6678651234817274,0.8876459300789924,-2.5917148081995482,0.0015770070745880355,0.001462019742497853,0.001560816412042778,-0.022553436886814902,0.04463812328798522,0.017805745509357207
erp-v6-localization-v5-development-05-eeg-10-meg+20,erp-v6-localization-v5-geometry-00,surface_only,0,-10,20,97,58,99,-0.04560371878830852,-1.3795565213708418,0.005554366374962871,151.36412253760153,-29.000000041322323,-1516.2775178490087,27.1497150266066,7885.965531011058,21.632064400180948,7473.535977681066,-5.5656431934003106,-17.07462830690542,-6.235180280221829,-17.53943627605722,-0.3790919194339418,-0.030711651417921683,-0.062048951359842876,-0.3926619507114937,-8.442889471776589,-9.061244279180677
erp-v6-localization-v5-development-06-eeg-10-meg+20,erp-v6-localization-v5-geometry-01,surface_only,0,-10,20,97,58,99,0.0013595317573223983,-0.11693965093052906,0.09925295560645764,158.18818929344567,0.8746001394448513,-126.7443058110241,2.6116036755464473,1507.6106267183238,2.352298511361152,1558.0456771557576,0.5411976556671959,-3.264253376939034,0.5702474151842976,-3.2109856464734103,-0.02821526391464047,-0.002236292953933307,-0.0013445812583342868,-0.0329218386729456,-0.41016510248436155,-0.3750608502301294
erp-v6-localization-v5-development-07-eeg-10-meg+20,erp-v6-localization-v5-geometry-02,deep_only,1,-10,20,97,58,99,0.02460532151924866,1.2472681616094954,0.0,37.85030949342238,16.21210692320915,1344.4694261643954,43.23544831978223,4524.031470094331,49.723130338262365,5070.883340096295,2.465582143223315,19.988864405858315,2.299112530244427,18.880310006305944,0.33027103154181037,0.05298747704689665,0.06848077730357634,0.08002462598875662,6.846402708882065,6.444411899259807
erp-v6-localization-v5-development-08-eeg-10-meg+20,erp-v6-localization-v5-geometry-03,deep_plus_surface,1,-10,20,97,58,99,0.014275653765240388,0.6890078537704468,0.19300028619579845,162.8077408182796,9.314569356906077,758.6049140680716,31.296698761886034,3848.707909796664,22.222826952533435,4239.70030174887,1.6649972325243576,12.228077299095556,1.975891662177567,11.650594117907417,0.182958703766542,0.014295056109429188,0.023261012928751542,0.031712485836623394,4.3057672491671575,4.394567276110029
erp-v6-localization-v5-development-09-eeg-10-meg+20,erp-v6-localization-v5-geometry-04,deep_plus_two_surface,1,-10,20,97,58,99,0.003618066449779189,0.44547360402291025,0.07724317563720828,92.34341361162907,2.3444827465151548,498.6335257814376,23.499088818262322,6888.654787110397,20.751793982327378,7496.730430403926,0.4836392395786765,6.007783369861989,0.5146585800273309,5.758979435847571,0.11408195084306195,0.011807966152347341,0.014141555753456573,0.014080016026873997,1.8646752721495046,1.825738793982391
