source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
115,11184,-26.000000000000007,-88.0,-48.00000000000001,1.072774965010825e-24,1.2049154064310182e-24,0.5044792746479471,-0.5044792746479471
116,11186,-18.0,-88.0,-48.00000000000001,1.0760640896488808e-24,1.2650040167247335e-24,0.7025376612851942,-0.7025376612851942
117,11188,-10.0,-88.0,-48.00000000000001,9.215248819293757e-25,1.0655422355719611e-24,0.6306360277511097,-0.6306360277511097
118,11194,14.000000000000002,-88.0,-48.00000000000001,8.322004871763769e-25,9.531199131699348e-25,0.5891957749383563,-0.5891957749383563
119,11196,22.0,-88.0,-48.00000000000001,8.397468051242604e-25,9.428702963493421e-25,0.5030359397284718,-0.5030359397284718
120,11256,-42.0,-80.0,-48.00000000000001,1.1608400941138486e-24,1.2800229784540432e-24,0.42445366263777423,-0.42445366263777423
121,11258,-34.0,-80.0,-48.00000000000001,1.2165210549194883e-24,1.364604105136489e-24,0.49887043556275157,-0.49887043556275157
122,11260,-26.000000000000007,-80.0,-48.00000000000001,1.2300697734768447e-24,1.4072798576107984e-24,0.5845072495173058,-0.5845072495173058
123,11262,-18.0,-80.0,-48.00000000000001,1.1856032531609302e-24,1.3988238846174677e-24,0.7182365689374912,-0.7182365689374912
124,11264,-10.0,-80.0,-48.00000000000001,1.0655265433777881e-24,1.290210033125574e-24,0.8309614188363228,-0.8309614188363228
125,11266,-2.0,-80.0,-48.00000000000001,1.045608397381208e-24,1.2066707582473157e-24,0.6221972597508927,-0.6221972597508927
126,11268,6.000000000000001,-80.0,-48.00000000000001,1.0397561799128308e-24,1.2029557664190831e-24,0.6331814797644242,-0.6331814797644242
127,11270,14.000000000000002,-80.0,-48.00000000000001,9.774362190219002e-25,1.127782556339276e-24,0.6213694514906469,-0.6213694514906469
128,11272,22.0,-80.0,-48.00000000000001,9.186091088561416e-25,1.0564405258464226e-24,0.6071430518115575,-0.6071430518115575
129,11274,30.000000000000004,-80.0,-48.00000000000001,9.308039441371187e-25,1.0870942342973796e-24,0.6740897747486309,-0.6740897747486309
130,11276,38.0,-80.0,-48.00000000000001,7.217610742599898e-25,8.081983746411893e-25,0.4912451655009946,-0.4912451655009946
131,11332,-42.0,-72.0,-48.00000000000001,1.2186587994303521e-24,1.3818010345302242e-24,0.5456338479918226,-0.5456338479918226
132,11334,-34.0,-72.0,-48.00000000000001,1.3244471545251947e-24,1.5170590056363217e-24,0.5896783827389358,-0.5896783827389358
133,11336,-26.000000000000007,-72.0,-48.00000000000001,1.365997221479921e-24,1.5849602313736742e-24,0.6456855373548693,-0.6456855373548693
134,11338,-18.0,-72.0,-48.00000000000001,1.3198393533471139e-24,1.555593204297045e-24,0.7137496375973629,-0.7137496375973629
