method,case,scenario,selected_family,local_An_cal_AUC,An_auc,surface_An_auc,deep_An_auc,surface_SD_mm,surface_DLE_mm,deep_DLE_mm,deep_detected,negative_H1_deep_false_positive,held_out_score,all_converged,wall_seconds
Convex group,01,surface_only,v6-surface-only,0.5620973625140291,0.9454587335590722,0.9453418959284583,nan,7.2813638989574345,nan,nan,0,1,0.002934726510010349,1,56.53872870000487
Convex group,03,deep_plus_surface,v6-full-ungated,0.7381944444444444,0.9642428285523681,0.9623143196672608,1.0,8.138029576321633,11.822374003563763,0.0,1,0,0.0312714741896405,1,68.22013600000355
Per-mode edge,01,surface_only,v6-surface-only,0.6444332210998878,0.9589477806187087,0.9588598390589147,nan,6.5708729246946245,8.590118035656378,nan,0,1,0.0011409809794305148,1,139.53189870000642
Per-mode edge,03,deep_plus_surface,v6-full-ungated,0.8511882716049382,0.9961588427372633,0.9960710041592394,1.0,7.2813609657722385,9.90334530420756,0.0,1,0,0.02648673395770265,1,121.20188300000154
Per-mode source,01,surface_only,v6-surface-only,0.6099137843077238,0.9583765231612651,0.9582873578607669,nan,21.561597415758904,17.21976185001905,nan,0,1,0.040437822777805714,1,507.284585299989
Per-mode source,03,deep_plus_surface,v6-full-ungated,0.834429012345679,0.9790035462237981,0.9783422459893047,0.8666666666666667,14.904171470720353,9.90334530420756,20.000001097096984,0,0,-0.04394132547439009,1,318.6869674000045
Full SISSES,01,surface_only,v6-surface-only,0.5823201714110805,0.9367424504180775,0.9366069408728492,nan,32.93688572437691,23.380842895296702,nan,0,1,0.021245660751400396,1,1261.9822905000037
Full SISSES,03,deep_plus_surface,v6-full-ungated,0.8298302469135802,0.9561110916049296,0.9541221033868093,0.9333333333333333,26.958190725995763,30.92848499628079,20.000001097096984,0,0,0.006682521915948879,1,1329.2752113999886
