subject,method,n20_left_s1_enrichment_median,n20_peak_euclidean_distance_to_left_s1_mm_median,p30_left_s1_enrichment_median,p30_peak_euclidean_distance_to_left_s1_mm_median,n20_run_map_spearman_mean,p30_run_map_spearman_mean
sm04,OASTER Joint,0.023235323913357173,47.51272630034156,0.021204331741909124,47.51272630034156,0.2483471310025164,0.2408088343209951
sm04,OASTER EEG,0.022675586344517742,18.328614852472473,0.02237257925083153,18.328614852472473,0.24453437492496,0.23428102189655972
sm04,OASTER MAG,0.013861150971911445,35.50712244257161,0.013070958612797395,35.50712244257161,0.3036992460822709,0.29542379322554224
sm04,dSPM Joint,2.6721433001161627,20.24312271090311,8.001924429092282,0.0,0.5456162187667898,0.4718318743127057
sm04,eLORETA Joint,2.441391248573466,20.24312271090311,8.906134549117462,0.0,0.5467075265372272,0.44962239388438013
sm06,OASTER Joint,0.013423225662870622,34.91133840749168,0.013718334303870544,34.91133840749168,0.2608224291001701,0.2544939015601588
sm06,OASTER EEG,0.023840359327311073,34.91133840749168,0.02439888603892831,34.91133840749168,0.2657360027813702,0.24804434770122427
sm06,OASTER MAG,0.03531859341934532,43.02247357773753,0.029341537491832215,43.02247357773753,0.39711589235369543,0.3968856858775663
sm06,dSPM Joint,1.2324259376219808,36.87408758497901,7.859192391905906,0.0,0.5767760720481334,0.7165840380589837
sm06,eLORETA Joint,1.423176026021442,36.87408758497901,8.884187391003344,0.0,0.5526197864294946,0.6917939051667182
sm07,OASTER Joint,0.004871515039295098,22.775528673167774,0.004910044793329492,22.775528673167774,0.11422529467535876,0.11012427440777206
sm07,OASTER EEG,4.995164039625923,36.8214461863153,4.872968162410262,36.8214461863153,0.10161159734237807,0.09619213891750523
sm07,OASTER MAG,34.697336187610084,0.0,35.04910140351239,0.0,0.4470191589039021,0.5308548225662572
sm07,dSPM Joint,2.562624133110755,11.689380535119328,3.662233167578095,4.172139973530336,0.22349070727427967,0.13117979789052456
sm07,eLORETA Joint,2.5072602037420655,15.05897151005291,3.563474325509161,0.0,0.21297421586499157,0.1265180815510247
sm09,OASTER Joint,0.1042050856585672,8.054066133979623,0.11902355152910388,8.054066133979623,0.3072032595426956,0.3028995411659304
sm09,OASTER EEG,0.0014487342461214148,55.04904886979191,0.0016523536905748736,55.04904886979191,0.34296633567372387,0.331995404915397
sm09,OASTER MAG,0.00510106966340587,44.13741449429225,0.0052347509155977676,44.13741449429225,0.29457490455324326,0.29140914017843556
sm09,dSPM Joint,2.1713271005813564,0.0,5.619075039364918,5.799669850145132,0.3863105214749038,0.5767964158478943
sm09,eLORETA Joint,2.282640124294569,0.0,6.041349736861814,5.799669850145132,0.35532523708572605,0.5509356224812131
sm12,OASTER Joint,18.140348425412874,0.0,19.44650614938767,0.0,0.24080305855425252,0.24419134359064035
sm12,OASTER EEG,0.03191109986684556,32.31151421400146,0.03691460928221237,32.31151421400146,0.25786524142999817,0.25283562205638116
sm12,OASTER MAG,9.230669106602406,40.189439816174215,6.636357565573934,40.189439816174215,0.150603343608568,0.1620902986817134
sm12,dSPM Joint,2.0580115484739414,31.215053676906894,5.528989621250188,4.927584399979452,0.7340822532733712,0.5674953371148724
sm12,eLORETA Joint,1.7060543915950026,31.215053676906894,6.813604244784329,4.927584399979452,0.71617366825142,0.5320169713823028
