case,oracle_family,best_single_local_AUC,consensus_local_AUC,An_auc,surface_SD_mm,surface_DLE_mm,deep_DLE_mm,deep_detected,deep_false_positive,active_count
01,null,0.6454576063666972,0.9163936077951229,0.9793610208923594,19.91332321624212,9.71679803811902,nan,0,0,44
03,full,0.8511882716049382,0.959320987654321,0.9807661247849444,8.470822228091228,14.705401729725724,0.0,1,0,36
