case,family,method,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,deep_sd_mm,surface_dle_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
01,null,rank-product-consensus,0.9163936077951229,0.9793610208923594,0.9793168083249846,nan,1.9999999999999996,19.91332321624212,nan,9.71679803811902,nan,0,0.0,nan,0,0,44,44,0
01,full,rank-product-consensus,0.919542903785328,0.9798862092000091,0.9800277930388133,nan,1.9999999999999996,19.363411975737534,nan,9.708282821663236,nan,0,0.7959901444449514,nan,0,1,56,55,1
03,null,rank-product-consensus,0.6916512345679012,0.9339665039851128,0.985769459298871,0.5,2.0000000000000004,8.032810704886465,nan,11.506110153272395,nan,1,0.0,nan,0,0,16,16,0
03,full,rank-product-consensus,0.959320987654321,0.9807661247849444,0.9798351158645277,1.0,1.9999999999999996,8.470822228091228,0.0,14.705401729725724,0.0,1,0.7078978127855625,0.0,1,0,36,35,1
