eeg_meg_snr_db,case_count,minimum_local_AUC,mean_local_AUC,mean_surface_SD_mm,mean_surface_DLE_mm,maximum_surface_DLE_mm,maximum_deep_DLE_mm
−10/−10,5,0.9109362565044383,0.9498715267149611,11.387725319127778,10.294409454854268,12.641081973653314,0.0
−10/+20,5,0.9599631840288406,0.9764901115532428,10.461148936134466,8.198686271291788,11.592156564316303,0.0
+20/−10,5,0.9890123456790124,0.9925844131551201,9.348742755214753,9.46905147942541,9.582599556323082,0.0
+5/+5,5,0.9432489031731457,0.9753256045301499,9.30631420636691,8.804494138462772,13.132546972484306,0.0
