case,scenario,development_family,old_An_cal_AUC,old_An_auc,new_An_cal_AUC,new_An_auc,surface_An_auc,deep_An_auc,surface_SD_mm,surface_DLE_mm,deep_SD_mm,deep_DLE_mm,deep_detected,deep_false_positive,held_out_score,all_converged
00,surface_only,v6-surface-only,0.9416512345679012,0.9908099134353137,0.8874382716049383,0.9917956243329777,0.9917780748663101,,10.582628505915464,11.246353654562752,,,0,0,0.004414793855750179,1
01,surface_only,v6-surface-only,0.5623246352413018,0.9548338055421187,0.5620973625140291,0.9454587335590722,0.9453418959284583,,7.2813638989574345,,,,0,0,0.002934726510010349,1
02,deep_only,v6-full-ungated,1.0,0.9997337947557567,1.0,1.0,,1.0,,,7.010854772716157,0.0,1,0,0.029886523363805047,1
03,deep_plus_surface,v6-full-ungated,0.7381944444444444,0.9690741195884974,0.7381944444444444,0.9642428285523681,0.9623143196672608,1.0,8.138029576321633,11.822374003563763,16.496557927949695,0.0,1,0,0.0312714741896405,1
04,deep_plus_two_surface,v6-full-ungated,0.732913393191171,0.7230068590771423,0.8712880488385538,0.9873151612328522,0.9872530597735006,1.0,7.281364429849933,,3.311982945248381,0.0,1,0,0.014177475347699062,1
