manifest_sha256,chunk_index,chunk_file,case_number,case_id,configuration_number,configuration_id,pair_index,eeg_snr_db,meg_snr_db,scenario,surface_centers,deep_index,deep_surface_ratio,correlation,method,status,error,elapsed_seconds,temporal_rank,selected_templates,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count,edge_fraction,noise_multiplier
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4666,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,154,erp-v3-development-source-154-deep_plus_two_surface,24,5,5,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v4,ok,,3.998419599956833,3,0,1,0.4942929292929293,0.5190896133974701,0.5125184094256259,0.7333333333333334,2.000005124196189,11.482266584069892,14.718179028730232,23.892146978862545,14.142136204249597,1,1.0,14.142136204249597,0,0,5,2,3,5.0,0.5
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v4,ok,,4.518567399994936,3,0,1,0.4872222222222222,0.2702774813233725,0.26980837789661316,nan,1.999990227981783,11.886446487539969,12.18186744690015,nan,nan,0,1.0,nan,0,1,4,3,1,5.0,1.0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v4,ok,,3.2211000000243075,3,0,0,1.0,1.0,nan,1.0,0.01961406905717168,nan,nan,0.0,0.0,1,1.0,0.0,1,0,131,130,1,5.0,1.0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4598,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,86,erp-v3-development-source-086-deep_plus_surface,24,5,5,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v4,ok,,5.0032081999816,3,0,1,0.49388888888888893,0.3913345739264773,0.40612745098039216,0.06666666666666665,1.9999908502591035,11.442008656935904,12.18186744690015,19.189441218287104,14.142136204249597,1,1.0,14.142136204249597,0,0,4,2,2,5.0,1.0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4666,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,154,erp-v3-development-source-154-deep_plus_two_surface,24,5,5,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v4,ok,,5.4980488999863155,3,0,1,0.4957491582491582,0.26118831284518085,0.2554743514572878,0.5333333333333333,2.0000048336996072,11.428932337892741,14.718179028730232,27.97697466678514,33.166248402824905,1,1.0,33.166248402824905,0,0,4,2,2,5.0,1.0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v4,ok,,3.9924982999800704,3,0,1,0.4875,0.15196993952330132,0.15181224004753419,nan,1.999997984817587,9.39756022572036,12.18186744690015,nan,nan,0,1.0,nan,0,1,2,1,1,10.0,0.5
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v4,ok,,2.193459400034044,3,0,0,1.0,1.0,nan,1.0,0.020196505135138352,nan,nan,0.0,0.0,1,1.0,0.0,1,0,1086,1085,1,10.0,0.5
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4598,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,86,erp-v3-development-source-086-deep_plus_surface,24,5,5,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v4,ok,,4.207983199972659,3,0,1,0.7342283950617285,0.9536673571854921,0.9921122994652407,0.19999999999999996,1.8228641923103859,11.267099018001765,12.18186744690015,19.766417695984853,14.142136204249597,1,1.0,14.142136204249597,0,0,5,3,2,10.0,0.5
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4666,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,154,erp-v3-development-source-154-deep_plus_two_surface,24,5,5,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v4,ok,,4.546794100024272,3,0,1,0.4935606060606061,0.6878407268840193,0.6869358867225912,0.7333333333333334,1.9994504942430273,11.437188268427988,14.718179028730232,23.192638503038562,14.142136204249597,1,1.0,14.142136204249597,0,0,5,2,3,10.0,0.5
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v4,ok,,4.450031399959698,3,0,1,0.48611111111111116,0.7189982805644493,0.7185903149138443,nan,1.9999969468447611,9.39756022572036,12.18186744690015,nan,nan,0,1.0,nan,0,1,2,1,1,10.0,1.0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v4,ok,,3.1542130999732763,3,0,0,1.0,1.0,nan,1.0,0.019715600752088832,nan,nan,0.0,0.0,1,1.0,0.0,1,0,25,24,1,10.0,1.0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4598,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,86,erp-v3-development-source-086-deep_plus_surface,24,5,5,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v4,ok,,4.632628099992871,3,0,1,0.4930555555555556,0.6516976229767213,0.6674836601307189,0.4666666666666667,1.9999884613625734,9.39756022572036,12.18186744690015,19.114855213924958,14.142136204249597,1,1.0,14.142136204249597,0,0,3,1,2,10.0,1.0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4666,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,154,erp-v3-development-source-154-deep_plus_two_surface,24,5,5,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v4,ok,,5.361944199947175,3,0,1,0.4949158249158249,0.48185462319615174,0.47378359287353244,0.6666666666666667,2.000000178289577,11.565194184766899,14.718179028730232,22.257266767089956,14.142136204249597,1,1.0,14.142136204249597,0,0,5,2,3,10.0,1.0
