eeg_meg_snr_db,case_count,minimum_local_AUC,mean_local_AUC,mean_surface_SD_mm,mean_surface_DLE_mm,maximum_surface_DLE_mm,maximum_deep_DLE_mm
−10/−10,5,0.9109362565044383,0.9493968302554162,11.694714228459581,10.294409454854268,12.641081973653314,0.0
−10/+20,5,0.9599631840288406,0.9764901115532428,10.461148936134466,8.198686271291788,11.592156564316303,0.0
+20/−10,5,0.9333950617283949,0.9669641448151548,16.82773200317484,22.05737289925583,27.054572893232315,0.0
+5/+5,5,0.9432489031731457,0.9737700489745944,9.817773796280456,8.804494138462772,13.132546972484306,0.0
